column,protocol,method,n_train,unique_compounds,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,compound,CENTER_CONDITIONED_WIDTH,315.8,61.0,7.344658946935037,4.5411502314103185,0.463129225436557,11.048150663166089,7.072558768211986,0.5963608425895025,0.8190264121036126,0.8190264121036126,0.8096634350436791,0.8096634350436791,1.0
25g,compound,CENTER_MAGNITUDE,315.8,61.0,7.653350529147066,4.750611530927509,0.4164774357948363,10.746407666116236,7.106234675883163,0.6178791984450925,0.833820338715735,0.833820338715735,0.8198667189645835,0.8198667189645835,1.0
25g,compound,M3_CENTER_WIDTH,315.8,61.0,7.715808177323206,4.522992576856468,0.4067924911894509,10.716970336256129,6.980989257987689,0.619568971156083,0.8376509885815459,0.8376509885815459,0.8229144006015746,0.8229144006015746,1.0
25g,row,CENTER_CONDITIONED_WIDTH,321.6,77.4,7.174370535724168,4.535420256772544,0.4910525554449293,9.971725724349561,6.67028139690869,0.6912921672816047,0.7790763477174594,0.7790763477174594,0.7653796735115527,0.7653796735115527,1.0
25g,row,CENTER_MAGNITUDE,321.6,77.4,7.250992943648271,4.617212084278164,0.47845952501221295,9.926071486408663,6.813746515392379,0.6943628270897101,0.7836477891989361,0.7836477891989361,0.7688218066382835,0.7688218066382835,1.0
25g,row,M3_CENTER_WIDTH,321.6,77.4,7.222391024792276,4.4406832645838765,0.48340568530623296,9.906463844520584,6.7063301052997515,0.6956322219724967,0.7810251416421917,0.7810251416421917,0.7663970628102058,0.7663970628102058,1.0
40g,compound,CENTER_CONDITIONED_WIDTH,360.8,63.0,14.664546812605812,9.520953555843146,0.6985619826777538,18.817534833684288,13.623407083919233,0.7417220319380609,1.554730492873944,1.554730492873944,1.5157812033246862,1.5157812033246862,1.0
40g,compound,CENTER_MAGNITUDE,360.8,63.0,14.75134855274384,9.579964830260636,0.6950036847774288,18.922161243780977,13.67573032097248,0.7388557303526643,1.5637408180453174,1.5637408180453174,1.5245431813935295,1.5245431813935295,1.0
40g,compound,M3_CENTER_WIDTH,360.8,63.0,14.555948081569841,9.456839951113867,0.7029937736579144,18.760286365636425,13.575757544416302,0.7432902771727731,1.5451357087636004,1.5451357087636004,1.5071096221783085,1.5071096221783085,1.0
40g,row,CENTER_CONDITIONED_WIDTH,357.2,79.8,14.68296673287928,9.643170200951655,0.7034533718000425,19.12412291952847,13.573506163689036,0.7351607108740972,1.563271690570558,1.563271690570558,1.5264853119914321,1.5264853119914321,1.0
40g,row,CENTER_MAGNITUDE,357.2,79.8,14.718256273073687,9.676350988947835,0.7020226164942327,19.168872008666558,13.63551686277915,0.7339363571652483,1.5670304848208416,1.5670304848208416,1.5301163467882781,1.5301163467882781,1.0
40g,row,M3_CENTER_WIDTH,357.2,79.8,14.647763631431747,9.61086787264303,0.7047650297841888,19.128326331748134,13.589641106449196,0.7350130859618161,1.5607486133428972,1.5607486133428972,1.524382247499135,1.524382247499135,1.0
