column,protocol,seed,fold,method,selected_penalty,free_coefficients,fit_center_scale,fit_width_scale,fit_center_scale_expected,projection_frequency,raw_v2_lt_v1_rate,extra_coefficient,extra_coefficient_std,extra_coefficient_positive_fraction
25g,compound,769539383,4,CENTER_MAGNITUDE,0.1,7,2.8361704479515333,3.352323882086886,2.8361704479515333,0.0,0.0,-0.07009712156322838,,
25g,compound,769539383,4,CENTER_CONDITIONED_WIDTH,0.1,7,2.8361704479515333,3.352323882086886,2.8361704479515333,0.0,0.0,-0.026504235437046008,,
25g,compound,1425370602,0,M3_CENTER_WIDTH,0.1,6,2.914331639170073,3.544581986335243,2.914331639170073,0.0,0.0,,,
25g,compound,1425370602,0,CENTER_MAGNITUDE,0.1,7,2.914331639170073,3.544581986335243,2.914331639170073,0.0,0.0,-0.07109396506303788,,
25g,compound,1425370602,0,CENTER_CONDITIONED_WIDTH,0.1,7,2.914331639170073,3.544581986335243,2.914331639170073,0.0,0.0,-0.031451790304456426,,
25g,compound,1425370602,1,M3_CENTER_WIDTH,0.0,6,2.6536876537654,3.1409728219523596,2.6536876537654,0.0,0.0,,,
25g,compound,1425370602,1,CENTER_MAGNITUDE,0.1,7,2.6536876537654,3.1409728219523596,2.6536876537654,0.0,0.0,-0.017226186277782028,,
25g,compound,1425370602,1,CENTER_CONDITIONED_WIDTH,0.0,7,2.6536876537654,3.1409728219523596,2.6536876537654,0.0,0.0,0.07958958939200504,,
25g,compound,1425370602,2,M3_CENTER_WIDTH,0.0,6,2.992976653723405,3.2989888702411414,2.992976653723405,0.0,0.0,,,
25g,compound,1425370602,2,CENTER_MAGNITUDE,0.1,7,2.992976653723405,3.2989888702411414,2.992976653723405,0.0,0.0,-0.07549390207462602,,
25g,compound,1425370602,2,CENTER_CONDITIONED_WIDTH,0.0,7,2.992976653723405,3.2989888702411414,2.992976653723405,0.0,0.0,0.016137620976809663,,
25g,compound,1425370602,3,M3_CENTER_WIDTH,0.0,6,2.9782833096534698,3.548089103771041,2.9782833096534698,0.0,0.0,,,
25g,compound,1425370602,3,CENTER_MAGNITUDE,0.1,7,2.9782833096534698,3.548089103771041,2.9782833096534698,0.0,0.0,-0.07123521436775067,,
25g,compound,1425370602,3,CENTER_CONDITIONED_WIDTH,0.0,7,2.9782833096534698,3.548089103771041,2.9782833096534698,0.0,0.0,0.020433492136604677,,
25g,compound,1425370602,4,M3_CENTER_WIDTH,0.1,6,2.965562330592417,3.4949296310727425,2.965562330592417,0.0,0.0,,,
25g,compound,1425370602,4,CENTER_MAGNITUDE,0.1,7,2.965562330592417,3.4949296310727425,2.965562330592417,0.0,0.0,-0.07086720440787231,,
25g,compound,1425370602,4,CENTER_CONDITIONED_WIDTH,0.0,7,2.965562330592417,3.4949296310727425,2.965562330592417,0.0,0.0,0.014695186807777363,,
25g,compound,536279090,0,M3_CENTER_WIDTH,0.1,6,2.9395101116464364,3.4774391660976938,2.9395101116464364,0.0,0.0,,,
25g,compound,536279090,0,CENTER_MAGNITUDE,0.0,7,2.9395101116464364,3.4774391660976938,2.9395101116464364,0.0,0.0,-0.19033029620543293,,
25g,compound,536279090,0,CENTER_CONDITIONED_WIDTH,0.0,7,2.9395101116464364,3.4774391660976938,2.9395101116464364,0.0,0.0,0.016281786962772805,,
25g,compound,536279090,1,M3_CENTER_WIDTH,0.0,6,2.8327680320113164,3.3229506806557545,2.8327680320113164,0.0,0.0,,,
25g,compound,536279090,1,CENTER_MAGNITUDE,0.1,7,2.8327680320113164,3.3229506806557545,2.8327680320113164,0.0,0.0,-0.028168445640769663,,
25g,compound,536279090,1,CENTER_CONDITIONED_WIDTH,0.0,7,2.8327680320113164,3.3229506806557545,2.8327680320113164,0.0,0.0,0.03701638341052616,,
25g,compound,536279090,2,M3_CENTER_WIDTH,0.1,6,2.847972157593615,2.98857369478556,2.847972157593615,0.0,0.0,,,
25g,compound,536279090,2,CENTER_MAGNITUDE,0.1,7,2.847972157593615,2.98857369478556,2.847972157593615,0.0,0.0,-0.06470615015757908,,
25g,compound,536279090,2,CENTER_CONDITIONED_WIDTH,0.1,7,2.847972157593615,2.98857369478556,2.847972157593615,0.0,0.0,-0.002961974718780704,,
25g,compound,536279090,3,M3_CENTER_WIDTH,0.1,6,3.0094696786215853,3.538433873504737,3.0094696786215853,0.0,0.0,,,
25g,compound,536279090,3,CENTER_MAGNITUDE,0.0,7,3.0094696786215853,3.538433873504737,3.0094696786215853,0.0,0.0,-0.19129715213337206,,
25g,compound,536279090,3,CENTER_CONDITIONED_WIDTH,0.1,7,3.0094696786215853,3.538433873504737,3.0094696786215853,0.0,0.0,-0.026645849851049157,,
25g,compound,536279090,4,M3_CENTER_WIDTH,0.1,6,3.1232146802985805,3.5532321675746403,3.1232146802985805,0.0,0.0,,,
25g,compound,536279090,4,CENTER_MAGNITUDE,0.0,7,3.1232146802985805,3.5532321675746403,3.1232146802985805,0.0,0.0,-0.1943137404445515,,
25g,compound,536279090,4,CENTER_CONDITIONED_WIDTH,0.0,7,3.1232146802985805,3.5532321675746403,3.1232146802985805,0.0,0.0,0.012787807981089406,,
25g,compound,2767143051,0,M3_CENTER_WIDTH,0.0,6,2.9545914162686295,3.447014803621364,2.9545914162686295,0.0,0.0,,,
25g,compound,2767143051,0,CENTER_MAGNITUDE,0.1,7,2.9545914162686295,3.447014803621364,2.9545914162686295,0.0,0.0,-0.07042898456693855,,
25g,compound,2767143051,0,CENTER_CONDITIONED_WIDTH,0.0,7,2.9545914162686295,3.447014803621364,2.9545914162686295,0.0,0.0,0.020422405174899023,,
25g,compound,2767143051,1,M3_CENTER_WIDTH,0.0,6,2.9514569943382725,3.434078395119279,2.9514569943382725,0.0,0.0,,,
25g,compound,2767143051,1,CENTER_MAGNITUDE,0.1,7,2.9514569943382725,3.434078395119279,2.9514569943382725,0.0,0.0,-0.06458531776037207,,
25g,compound,2767143051,1,CENTER_CONDITIONED_WIDTH,0.0,7,2.9514569943382725,3.434078395119279,2.9514569943382725,0.0,0.0,0.013504282297662276,,
25g,compound,2767143051,2,M3_CENTER_WIDTH,0.0,6,2.605646330902614,3.258572747450372,2.605646330902614,0.0,0.0,,,
25g,compound,2767143051,2,CENTER_MAGNITUDE,0.1,7,2.605646330902614,3.258572747450372,2.605646330902614,0.0,0.0,-0.020560488594986367,,
25g,compound,2767143051,2,CENTER_CONDITIONED_WIDTH,0.0,7,2.605646330902614,3.258572747450372,2.605646330902614,0.0,0.0,0.0789274794338157,,
25g,compound,2767143051,3,M3_CENTER_WIDTH,0.0,6,2.906943797022736,3.160057151583891,2.906943797022736,0.0,0.0,,,
25g,compound,2767143051,3,CENTER_MAGNITUDE,0.1,7,2.906943797022736,3.160057151583891,2.906943797022736,0.0,0.0,-0.06979290713494583,,
25g,compound,2767143051,3,CENTER_CONDITIONED_WIDTH,0.0,7,2.906943797022736,3.160057151583891,2.906943797022736,0.0,0.0,0.024590720323982847,,
25g,compound,2767143051,4,M3_CENTER_WIDTH,0.1,6,2.861391799843146,3.4317385783813465,2.861391799843146,0.0,0.0,,,
25g,compound,2767143051,4,CENTER_MAGNITUDE,0.1,7,2.861391799843146,3.4317385783813465,2.861391799843146,0.0,0.0,-0.06895909068177328,,
25g,compound,2767143051,4,CENTER_CONDITIONED_WIDTH,0.0,7,2.861391799843146,3.4317385783813465,2.861391799843146,0.0,0.0,0.006795878486790247,,
25g,compound,1362771960,0,M3_CENTER_WIDTH,0.0,6,2.966343703229631,3.4232230109459763,2.966343703229631,0.0,0.0,,,
25g,compound,1362771960,0,CENTER_MAGNITUDE,0.0,7,2.966343703229631,3.4232230109459763,2.966343703229631,0.0,0.0,-0.1864143006635301,,
25g,compound,1362771960,0,CENTER_CONDITIONED_WIDTH,0.0,7,2.966343703229631,3.4232230109459763,2.966343703229631,0.0,0.0,0.012391763210182543,,
25g,compound,1362771960,1,M3_CENTER_WIDTH,0.1,6,2.5191267223911726,3.1534928739381423,2.5191267223911726,0.0,0.0,,,
25g,compound,1362771960,1,CENTER_MAGNITUDE,0.1,7,2.5191267223911726,3.1534928739381423,2.5191267223911726,0.0,0.0,-0.019136510556037902,,
25g,compound,1362771960,1,CENTER_CONDITIONED_WIDTH,0.0,7,2.5191267223911726,3.1534928739381423,2.5191267223911726,0.0,0.0,0.026996869121531614,,
25g,compound,1362771960,2,M3_CENTER_WIDTH,0.0,6,2.9358129349584634,3.3367860341252213,2.9358129349584634,0.0,0.0,,,
25g,compound,1362771960,2,CENTER_MAGNITUDE,0.0,7,2.9358129349584634,3.3367860341252213,2.9358129349584634,0.0,0.0,-0.19166922612644183,,
25g,compound,1362771960,2,CENTER_CONDITIONED_WIDTH,0.0,7,2.9358129349584634,3.3367860341252213,2.9358129349584634,0.0,0.0,0.027937737526985553,,
25g,compound,1362771960,3,M3_CENTER_WIDTH,0.1,6,2.881640455558639,2.853965204674305,2.881640455558639,0.0,0.0,,,
25g,compound,1362771960,3,CENTER_MAGNITUDE,0.1,7,2.881640455558639,2.853965204674305,2.881640455558639,0.0,0.0,-0.0680308343759714,,
