outer_seed,strategy,NRMSE_50,NRMSE_60,delta_NRMSE_50_to_60,delta_V1_RMSE,delta_V2_RMSE,direction,delta_AULC_vs_random,first_batch_uncertainty,first_batch_latent_distance,first_batch_pairwise_distance,first_batch_source_residual,aggregate_median_source_residual,first_batch_label_extremeness,aggregate_median_label_extremeness,aggregate_queried_union_top_decile_source_residual_fraction,aggregate_queried_union_top_decile_label_extremeness_fraction,best_epoch_shift,initial_recovery,initially_saturated_90,initially_saturated_95,labels_to_90,labels_to_95,labels_to_90_initially_saturated,labels_to_95_initially_saturated
42,pretrained_random,0.8585966605121703,0.8006435584749305,-0.0579531020372398,-0.6150652820873379,-0.5880135754679134,improvement,,0.1549403009230553,8.102034422592867,14.546069220836342,0.6987751219102953,0.5357513732732175,0.5062508226042176,0.5376349570166286,0.0,0.0,0.6666666666666643,0.7421652616708768,False,False,,,False,False
42,pretrained_coverage,0.8585966605121703,0.8407373684911226,-0.017859292021047746,0.009774027727171841,-0.5907706956942445,improvement,-0.1006486038194462,3.66780484936992,30.52398694561321,38.91440063558601,4.928222139880969,4.508977249001921,3.4680924048655752,3.4810603880978124,0.2,0.2,234.66666666666669,0.7421652616708768,False,False,120.0,120.0,False,False
42,pretrained_ensemble,0.8585966605121703,0.7034113860077822,-0.15518527450438813,-1.2634472850913703,-2.36271431513965,improvement,-0.1776732579317668,6.175890963457645,21.33779298054558,25.15636410121656,3.851419968402535,2.9085420803781172,2.3294430072639223,1.4789539209541007,0.2,0.2,29.33333333333333,0.7421652616708768,False,False,100.0,110.0,False,False
42,pretrained_hybrid,0.8585966605121703,0.8800182926659978,0.02142163215382753,0.36832400441618063,-0.07232368171389325,degradation,-0.1239859592705784,3.827106518271088,31.165150587916504,34.12061386137525,5.890262854052165,5.665398569877572,4.103049545507864,4.666300290528423,0.3,0.3,242.0,0.7421652616708768,False,False,100.0,130.0,False,False
42,pretrained_quantile_width,0.8585966605121703,0.961579969942158,0.10298330942998768,1.2827192076921463,0.6550203095937075,degradation,-0.0315541759385537,2.299017619159299,32.47915946604631,27.54539335778887,6.26102183979196,5.701437240249563,4.4102980503308915,4.666300290528423,0.3,0.3,64.33333333333333,0.7421652616708768,False,False,110.0,,False,False
525,pretrained_random,0.837835147294058,0.8372726427717809,-0.0005625045222770186,-0.06059843737506032,0.10654493657220776,improvement,,0.1645971084584435,5.879860272134163,10.372169592101551,0.4681824296947298,0.5098528245294267,0.4982844627018883,0.5207840203256058,0.0,0.0,-15.333333333333332,0.9300064416633872,True,False,50.0,80.0,True,False
525,pretrained_coverage,0.837835147294058,1.0582802608090196,0.22044511351496165,1.855213133579201,3.2320882237131237,degradation,0.0587544897081286,1.3909750984488871,15.796556726467848,21.52467796255988,5.7902888599788955,6.9076679994885914,2.8049556039811283,3.194948260345441,0.3,0.3,26.0,0.9300064416633872,True,False,50.0,190.0,True,False
525,pretrained_ensemble,0.837835147294058,1.117241770485581,0.2794066231915231,2.135374770497898,4.540495474639638,degradation,0.0905178398347192,2.341483749421544,13.427408080989167,18.907704042046444,5.987724015476265,6.110369621250231,2.7917679177759216,2.9187130770387233,0.4,0.4,62.33333333333333,0.9300064416633872,True,False,50.0,,True,False
525,pretrained_hybrid,0.837835147294058,1.0334975952598322,0.19566244796577426,1.5855767368885223,2.9942250337979672,degradation,0.0371783005290818,1.5705168133639096,14.840190636508895,21.83434042830785,5.711373159366113,6.9076679994885914,2.800804021346225,3.194948260345441,0.3,0.3,33.66666666666667,0.9300064416633872,True,False,50.0,150.0,True,False
525,pretrained_quantile_width,0.837835147294058,1.1550966114840264,0.3172614641899685,2.322093051952396,5.366457655476054,degradation,0.0784798450540812,1.4928241259973127,15.651701138660206,14.594460791371896,7.503414039000445,8.266131141365168,3.6452077819199573,3.9929010419944193,0.4,0.4,66.0,0.9300064416633872,True,False,50.0,190.0,True,False
1101,pretrained_random,0.8892642720320152,0.8287421261227703,-0.06052214590924487,-0.4543557112384464,-1.0003373847250465,improvement,,0.1557224982366843,6.417244496843116,12.017433503347148,0.9992694898203288,0.8137937490087361,0.5912524473241139,0.6183517344583324,0.0,0.0,261.6666666666667,0.9117370071985478,True,False,50.0,60.0,True,False
1101,pretrained_coverage,0.8892642720320152,0.8986796764830142,0.009415404450998976,-0.04575819056153829,0.39489093171489564,degradation,0.1420968586253475,1.27101013234937,33.93136755497756,44.06975333992333,5.657804225179854,6.385404405861866,5.183023031639053,6.370367185846801,0.3,0.3,124.00000000000001,0.9117370071985478,True,False,50.0,,True,False
1101,pretrained_ensemble,0.8892642720320152,1.1189268350849215,0.22966256305290633,1.7302825144384455,3.7833395462444397,degradation,0.0943887967399718,2.4798000221160064,21.461914247555217,27.44691491688517,6.078217099836012,6.142436026527146,4.87048756788972,4.5720108307163,0.3,0.3,283.0,0.9117370071985478,True,False,50.0,150.0,True,False
1101,pretrained_hybrid,0.8892642720320152,0.931815368718493,0.04255109668647783,0.22723132890257958,0.8927817351154399,degradation,0.1890042581517638,1.296940116157144,34.74646402956053,42.97683224003043,5.560705753829502,6.385404405861866,5.207391354670581,6.370367185846801,0.3,0.3,309.0,0.9117370071985478,True,False,50.0,,True,False
1101,pretrained_quantile_width,0.8892642720320152,1.061659742074319,0.17239547004230382,1.3233357023497048,2.78959883196622,degradation,0.1290261806091348,1.4315217689580324,30.118568643854964,28.494496431320993,7.275083828174962,7.213080381992399,6.499130989571306,6.924373657852882,0.4,0.4,348.0,0.9117370071985478,True,False,50.0,,True,False
