outer_seed,strategy,NRMSE_50,NRMSE_60,delta_NRMSE_50_to_60,delta_V1_RMSE,delta_V2_RMSE,direction
42,pretrained_random,0.8585966605121703,0.8006435584749305,-0.0579531020372398,-0.6150652820873379,-0.5880135754679134,improvement
42,pretrained_coverage,0.8585966605121703,0.8407373684911226,-0.017859292021047746,0.009774027727171841,-0.5907706956942445,improvement
42,pretrained_ensemble,0.8585966605121703,0.7034113860077822,-0.15518527450438813,-1.2634472850913703,-2.36271431513965,improvement
42,pretrained_hybrid,0.8585966605121703,0.8800182926659978,0.02142163215382753,0.36832400441618063,-0.07232368171389325,degradation
42,pretrained_quantile_width,0.8585966605121703,0.961579969942158,0.10298330942998768,1.2827192076921463,0.6550203095937075,degradation
525,pretrained_random,0.837835147294058,0.8372726427717809,-0.0005625045222770186,-0.06059843737506032,0.10654493657220776,improvement
525,pretrained_coverage,0.837835147294058,1.0582802608090196,0.22044511351496165,1.855213133579201,3.2320882237131237,degradation
525,pretrained_ensemble,0.837835147294058,1.117241770485581,0.2794066231915231,2.135374770497898,4.540495474639638,degradation
525,pretrained_hybrid,0.837835147294058,1.0334975952598322,0.19566244796577426,1.5855767368885223,2.9942250337979672,degradation
525,pretrained_quantile_width,0.837835147294058,1.1550966114840264,0.3172614641899685,2.322093051952396,5.366457655476054,degradation
1101,pretrained_random,0.8892642720320152,0.8287421261227703,-0.06052214590924487,-0.4543557112384464,-1.0003373847250465,improvement
1101,pretrained_coverage,0.8892642720320152,0.8986796764830142,0.009415404450998976,-0.04575819056153829,0.39489093171489564,degradation
1101,pretrained_ensemble,0.8892642720320152,1.1189268350849215,0.22966256305290633,1.7302825144384455,3.7833395462444397,degradation
1101,pretrained_hybrid,0.8892642720320152,0.931815368718493,0.04255109668647783,0.22723132890257958,0.8927817351154399,degradation
1101,pretrained_quantile_width,0.8892642720320152,1.061659742074319,0.17239547004230382,1.3233357023497048,2.78959883196622,degradation
