outer_seed,strategy,round0_mean_best_epoch,round1_mean_best_epoch,best_epoch_shift,round0_hit_max_fraction,round1_hit_max_fraction,round0_best_epoch_ge_490_fraction,round1_best_epoch_ge_490_fraction,round0_mean_validation_score,round1_mean_validation_score,validation_score_shift,overall_mean_best_epoch,overall_hit_max_fraction,overall_best_epoch_ge_490_fraction
42,pretrained_random,46.0,46.666666666666664,0.6666666666666643,0.0,0.0,0.0,0.0,0.5278374412619153,0.5699816413733018,0.04214420011138642,123.97777777777777,0.07407407407407407,0.014814814814814815
42,pretrained_coverage,46.0,280.6666666666667,234.66666666666669,0.0,0.0,0.0,0.0,0.5278374412619153,0.134439771697523,-0.39339766956439237,256.7925925925926,0.24444444444444444,0.0962962962962963
42,pretrained_ensemble,46.0,75.33333333333333,29.33333333333333,0.0,0.0,0.0,0.0,0.5278374412619153,0.28703869851284886,-0.24079874274906649,211.11851851851853,0.14074074074074075,0.05925925925925926
42,pretrained_hybrid,46.0,288.0,242.0,0.0,0.3333333333333333,0.0,0.0,0.5278374412619153,0.12476228929041845,-0.4030751519714969,256.1111111111111,0.25925925925925924,0.13333333333333333
42,pretrained_quantile_width,46.0,110.33333333333333,64.33333333333333,0.0,0.0,0.0,0.0,0.5278374412619153,0.2351459362143369,-0.29269150504757846,220.17777777777778,0.1259259259259259,0.02962962962962963
525,pretrained_random,38.0,22.666666666666668,-15.333333333333332,0.0,0.0,0.0,0.0,0.0966442657949272,0.10858566859111907,0.011941402796191866,123.97777777777777,0.07407407407407407,0.014814814814814815
525,pretrained_coverage,38.0,64.0,26.0,0.0,0.0,0.0,0.0,0.0966442657949272,0.03882054773180177,-0.05782371806312543,256.7925925925926,0.24444444444444444,0.0962962962962963
525,pretrained_ensemble,38.0,100.33333333333333,62.33333333333333,0.0,0.0,0.0,0.0,0.0966442657949272,0.0304364807379352,-0.066207785056992,211.11851851851853,0.14074074074074075,0.05925925925925926
525,pretrained_hybrid,38.0,71.66666666666667,33.66666666666667,0.0,0.0,0.0,0.0,0.0966442657949272,0.04484574516193823,-0.05179852063298897,256.1111111111111,0.25925925925925924,0.13333333333333333
525,pretrained_quantile_width,38.0,104.0,66.0,0.0,0.0,0.0,0.0,0.0966442657949272,0.04139276868719917,-0.05525149710772803,220.17777777777778,0.1259259259259259,0.02962962962962963
1101,pretrained_random,81.33333333333333,343.0,261.6666666666667,0.0,0.6666666666666666,0.0,0.0,0.0399248189577238,0.07620327718300134,0.03627845822527754,123.97777777777777,0.07407407407407407,0.014814814814814815
1101,pretrained_coverage,81.33333333333333,205.33333333333334,124.00000000000001,0.0,0.0,0.0,0.0,0.0399248189577238,0.0066056025325303,-0.0333192164251935,256.7925925925926,0.24444444444444444,0.0962962962962963
1101,pretrained_ensemble,81.33333333333333,364.3333333333333,283.0,0.0,0.3333333333333333,0.0,0.0,0.0399248189577238,0.009673622994911433,-0.030251195962812366,211.11851851851853,0.14074074074074075,0.05925925925925926
1101,pretrained_hybrid,81.33333333333333,390.3333333333333,309.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0399248189577238,0.005539391149721333,-0.03438542780800247,256.1111111111111,0.25925925925925924,0.13333333333333333
1101,pretrained_quantile_width,81.33333333333333,429.3333333333333,348.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0399248189577238,0.005689295201465434,-0.034235523756258365,220.17777777777778,0.1259259259259259,0.02962962962962963
