seed,method,round,budget_before,new_molecule_rows,existing_molecule_new_condition_rows,within_batch_same_molecule_pairs,numeric_reference_overlap,eligible_full_pool_count,LLM_viewed_candidate_count,LLM_outside_128_count,unique_molecules_after_batch,unique_condition_tuples_after_batch
157,cw16_random16_full_pool,0,333,12,20,2,0,2981,0,0,180,364
157,cw16_random16_full_pool,1,365,5,27,2,1,2949,0,0,185,396
157,cw16_random16_full_pool,2,397,5,27,3,3,2917,0,0,189,428
157,cw16_random16_full_pool,3,429,2,29,2,0,2885,0,0,191,459
157,cw16_random16_full_pool,4,461,2,30,1,1,2853,0,0,193,491
157,cw16_random16_full_pool,5,493,3,29,0,2,2821,0,0,196,523
157,cw16_llm16_full_pool,0,333,10,22,13,11,2981,125,5,175,364
157,cw16_llm16_full_pool,1,365,2,30,6,14,2949,95,2,177,396
157,cw16_llm16_full_pool,2,397,4,28,6,8,2917,152,8,180,428
157,cw16_llm16_full_pool,3,429,5,27,3,10,2885,141,6,184,460
157,cw16_llm16_full_pool,4,461,4,28,8,7,2853,132,9,187,492
157,cw16_llm16_full_pool,5,493,3,28,2,16,2821,20,0,190,523
6101,cw16_random16_full_pool,0,333,9,22,2,0,2981,0,0,175,361
6101,cw16_random16_full_pool,1,365,6,26,0,1,2949,0,0,181,393
6101,cw16_random16_full_pool,2,397,3,29,1,1,2917,0,0,184,425
6101,cw16_random16_full_pool,3,429,4,28,3,1,2885,0,0,188,457
6101,cw16_random16_full_pool,4,461,5,26,3,2,2853,0,0,192,488
6101,cw16_random16_full_pool,5,493,4,28,3,3,2821,0,0,196,520
6101,cw16_llm16_full_pool,0,333,10,22,7,13,2981,78,3,174,362
6101,cw16_llm16_full_pool,1,365,6,26,4,15,2949,101,1,180,394
6101,cw16_llm16_full_pool,2,397,4,28,6,9,2917,114,7,183,426
6101,cw16_llm16_full_pool,3,429,3,29,5,8,2885,113,8,186,458
6101,cw16_llm16_full_pool,4,461,4,28,3,12,2853,86,4,190,490
6101,cw16_llm16_full_pool,5,493,2,30,3,11,2821,115,5,192,522
