method,label_AULC_333_525,NRMSE_525
center_width_lcmd,0.7274987126749108,0.6141688160139871
cw16_llm16_full_pool,0.7405235499832197,0.6409287203532812
cw16_random16_full_pool,0.7998360097655243,0.7155601987518336
