method,budget,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2,combined_normalized_RMSE
center_width_lcmd,333,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396,0.8529759142704674
center_width_lcmd,365,5.313025149741723,2.6126643925262014,0.5125943863963276,9.720618242370195,4.88413611075861,0.5574779616617164,0.8378089720227784
center_width_lcmd,397,5.060288641089693,2.4985051918372836,0.5583027326866815,9.029157330974167,4.522405533767719,0.6258670876148718,0.7871895094405318
center_width_lcmd,429,4.762994118414589,2.3477317818063055,0.6085763883419879,8.101989120367215,4.137517123485355,0.6974693332230609,0.7267688636247089
center_width_lcmd,461,4.3599235173708975,2.137841781838049,0.6721067382115153,7.135693354137972,3.6437595885434595,0.7624198238172992,0.65701190197231
center_width_lcmd,493,4.11030361584722,2.0096050921103936,0.7085563730386955,6.849234038708982,3.3708380926713097,0.7826911410175423,0.6226406638469082
center_width_lcmd,525,4.0747176138653725,2.041655661962587,0.7135329739847264,6.665967167888227,3.2717743634605867,0.792874217350706,0.6141688160139871
cw16_llm16_full_pool,333,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396,0.8529759142704674
cw16_llm16_full_pool,365,5.112461370095642,2.607064410365171,0.5482557516765361,9.613847188103122,4.709747693521513,0.5748788524883095,0.8119209962146379
cw16_llm16_full_pool,397,5.077810423407334,2.6004261781843443,0.5551024376327413,8.953368873957778,4.651292149111521,0.6326829381275713,0.7855810935299188
cw16_llm16_full_pool,429,4.662112921761713,2.474524722110739,0.6251099368911983,8.326384110810167,4.348070959393069,0.681698829812968,0.7258682756780785
cw16_llm16_full_pool,461,4.560603334742983,2.351985309478476,0.6409807020536327,8.089207028216563,4.170601063495059,0.6990833321133253,0.7071436171595298
cw16_llm16_full_pool,493,4.35486721376512,2.1738607457501713,0.672313502907588,7.449657423117171,3.7587148308468095,0.7423120645603498,0.665675000005279
cw16_llm16_full_pool,525,4.230248396773234,2.0940737226884143,0.6906440981057989,7.08884233024793,3.6372227857438784,0.7682507232776103,0.6409287203532812
cw16_random16_full_pool,333,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396,0.8529759142704674
cw16_random16_full_pool,365,5.418620984457333,2.6258779046632688,0.4935744861311961,10.073840956210315,4.961049619624369,0.5305037941370603,0.8583852101152065
cw16_random16_full_pool,397,5.157776468519691,2.55302156704507,0.541050387235575,9.30136479209741,4.727721217010233,0.5993795177668965,0.8072780702931227
cw16_random16_full_pool,429,5.178871814636679,2.4424327900655554,0.5371128099791791,9.16353550847841,4.50189874612456,0.6149320119286594,0.8021759845653764
cw16_random16_full_pool,461,5.0261103227510375,2.425748883677329,0.5640418116189376,8.890429768499626,4.32914619908916,0.6361605761046041,0.7786627443308314
cw16_random16_full_pool,493,4.957094095198881,2.349947032168043,0.5758377835934567,8.788987332201643,4.145056822888857,0.646378124005663,0.7682459927774579
cw16_random16_full_pool,525,4.6412529523505945,2.2402665141960982,0.6284309250536361,8.06933958569851,3.928596207849699,0.6977869758852933,0.7155601987518336
