method,AULC_333_653,AULC_333_525,AULC_429_653,AULC_525_653,AULC_333_429,AULC_429_525,combined_normalized_RMSE_653,V1_RMSE_653,V2_RMSE_653,V1_R2_653,V2_R2_653
center_width_lcmd,0.6698842331932788,0.7274987126749108,0.6119959230745556,0.5834625139708307,0.8049569568036328,0.6500404685461888,0.5510906541240508,3.757951408552139,5.737281436467621,0.7563301920324346,0.8497168576521814
cw_ivr_portfolio,0.6549221084953434,0.7012499513915463,0.605699284632524,0.5854303441510391,0.7697753641752557,0.632724538607837,0.5681525842382582,3.806349582085436,6.136675110619832,0.7475610054768171,0.8243357522316589
gradient_maxdet,0.6848670630171543,0.7258923606898313,0.6504325220650363,0.6233291165081388,0.7652143252387629,0.6865703961408998,0.6016638342558401,4.01475862432576,6.418679388994675,0.7215302857670094,0.8025726219705833
hybrid,0.6865175844199507,0.7364221811964865,0.6420917930105057,0.6116606892551472,0.7901777643753227,0.6826665980176505,0.5561414661874629,3.848189741012302,5.7922254128522805,0.7334022805181161,0.8475216015508574
kernel_ivr,0.6838445788263808,0.7240379672681627,0.6420021235656259,0.6235544961637081,0.7814769744348087,0.6665989601015168,0.6216284192880587,4.194715415844391,6.523694417545057,0.6964607419556106,0.7949924217329691
lcmd,0.7113281442970669,0.7770089658695631,0.6627026347155794,0.6128069119383227,0.8247876666538712,0.7292302650852551,0.5630152019016498,3.761454071823156,6.201317398212682,0.7490539078339269,0.8245497272916373
