outer_seed,method,oracle_AULC,regret
157,cw_ivr_portfolio,0.5795743452237005,0.00040249526379987355
157,center_width_lcmd,0.5795743452237005,0.0
157,kernel_ivr,0.5795743452237005,0.025184727587757805
6101,cw_ivr_portfolio,0.760194121162857,-0.030326744659670557
6101,center_width_lcmd,0.760194121162857,0.0
6101,kernel_ivr,0.760194121162857,0.002735963678446307
