outer_seed,method,round,reuse_status,source_checkpoint,fit_contract_hash,initialization_seed,initialization_hash,train_ids_hash,validation_ids_hash,train_rows,validation_rows,best_epoch,epochs_run,best_validation_combined_normalized_rmse,checkpoint_sha256,checkpoint_state_hash,prediction_sha256,prediction_rows,training_seconds,test_labels_used_for_fit_or_checkpoint_selection,test_graph_label_state,model_variant,parameter_count
157,cw_ivr_portfolio,10,new_fit,,75fb10f076ecea41b6721a8ebb8d7fafd2160e2e2bd083991dba767d67ab94a3,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,ccc5dd7c555efd61b139b5fd1e8f5fb0006012c848e33fbc93f3f463941592fd,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,653,416,291,391,0.4168094671638386,416cf210551eb06288bda2b52161678d2eb2f47286808ee99b13ba0e71653d57,3bb9f79db05be42001453ce330253f5480094be6c9dd4331af249a8bc7f6f553,66698a98a08ce9f2fffc98d27e958aff0d35725be426380ae8dbcbc01112a754,417,353.9679119999928,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,0,reused_historical_round0,/Users/fish/Documents/GitHub/column_chromatography_prediction/studies/active_learning/qgeognn_v2_row_sequential_b32/runtime/seed_6101/lcmd/round_00/model/best.pt,7bfcaffe72fc612426d8ff1bc8a26351e720c7ec953f992e232cd71d7050afac,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,38793e6f1eda734757c562de4973830b27cf13b2c0e97fbf110c5a1e61fb860e,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,333,416,136,236,1.020886747122585,bcfffa247c3d24c8c74993ddb66cb59741ae14b1e67e8ed9543a8d1af7c6c494,f317616f55957cd2879553c4f5017c6fcd59e942e0557eb54b6c2f9a3224ed70,89765310b8808be70c1741341e8aa8bb48d81c8c7b0a0fc4986ea04c3413639c,417,291.06843587500043,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,1,new_fit,,7bc3aa96e4b94213af81f1dff15906abdc3b6a346ea86ed9e70fb53e8b464b93,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,4fb5976675028ae8b0e7ffe064e0d2ac083815da5be7777a7ba6c5eb2c912124,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,365,416,506,606,0.9621755109708638,aabc82ba234e945205ec04a60cef146969feba8a2f2230ebbd69e6c458394f45,35bfba6c61890eacb0ecc94935b6402f5503763e4b322c58d2f7b51f37e8ff30,4794ae02897b660aa89d901257a279c58cfea487fb93d98c3f7faef89c777e45,417,283.30011620899313,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,2,new_fit,,177a98a14055ffd20a66b87f4f4981e6fbf07eb7ba9c93a3fccdcd3ba3d4b9ec,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,0c7274f3be3cb260eeff8236e2bf81562b72f49ae89a93f0c622ee915cd336d5,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,397,416,93,193,0.8811028625823741,11ea920a4abd6ce74212d2a83fab778a25bbb499b03493d74280e3018f800dba,d19c8aa9fab58319c356bba94584a3d8d42fd0fc91adeb74b91e4067afa490c5,d612881acaba34ce940478b24d9e13b73228a230ae5c6acd22028ddd04c8a9e8,417,84.03933279200282,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,3,new_fit,,52f4c91c6ed4684d64d9d492f9507ee37dddd7160102245c77dc8053500713e4,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,e6e690554bf1283c833e9a796e1a50fa2b174dc82c1c021273c2b12b035be424,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,429,416,121,221,0.8504323978465681,407783116137e53f8b72f0d476a1dd7ab70751384c454d2d9bbb21b0d6d64d02,84672b5bf332ae97335d0c86539c2fc7138397b7934241d96e29e85f0fb598aa,ef48eb1639574b8fd9a8442871c31c01cba20aa5be549c60d15227868e832516,417,103.95984575001056,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,4,new_fit,,bf83de4ed35a425153ce79825673f11cf5f545e73e0109872c9311c17c6dcefa,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,d6c5c1c0379d3f7547245a707462e0cfe21fdf52ba9d28fbf3f8ed8386549cfd,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,461,416,108,208,0.7262555953555448,08a4ca8fe5bfc8f4873b5fda9189f6c34b8b5f7d3b07224383474950f5aa52f6,a9fda40b706f36f43737908fdd7681fba1c4d1bc8efd228edef4e0343b637eb5,2d9c496fa15faf525833ece3a52a51c9b6df160825f114b5f867ea6f5a50c5b0,417,102.59917195800516,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,5,new_fit,,362407b4246a037a613560d547e6477a76be036a61fec74367a67354845a8f6d,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,e266cdf2c3c49fb1ed876410c0661d7c050a5461cc3bb26ba916827bf1e2dbdf,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,493,416,271,371,0.6850425306380155,6d7eadab2f8ef2d18b7577f3de37bb3213a0c384c6ef0a8f277c4da3431e6ef0,5dfcfeb55ead23d8bdb76c7f0ebac19dcdcb2b1e533090358f3475c36deadc97,6466b780feeaa57ef53d3cb795b4f24310af32826c440c6f7cc6108ccc2b05e7,417,197.59134175001236,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,6,new_fit,,5f1ed2a2ae7b6b4cf7100f4ff41e816288b6e19aeb6724e18ae40c372f394aae,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,76021565dd9995d18b10956c4d638b07abd7294e58fc43a683248de49c3348a2,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,525,416,131,231,0.6721609587030337,711c37829d236f1a7088bd4f76ec3448eba0220b029dcb48207afe801d1e59f5,c5efeac0754a56e9dc1b0c55c2632ed60f2899cfd90fc29763d9d3465bf24c8e,ab2c4cc631a3c8f6de3477246f28a9762a43018e72aa6e68a70a7b6914792290,417,127.20298133300092,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,7,new_fit,,3405d33402631727a8f7066e508f6e711b2e67ab9c438718aa5732c3c75f9606,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,ac6cab6a9318fc0bd1aabd10cb5f4b3b1e2bc9db472c3ebd3339791f359c224b,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,557,416,143,243,0.6692377897490579,a0031dcb806f483f7aa92ef2fa3679588a9d146ae652025cdd2a1a5e0ebc5aee,005bcd789fe839c43d25e09b419459465f41794679bf2acf681b0c8a64e5faeb,cfd0be478b0898621daae1b1a2d7b2914cc65516113c60e3d4524dda4675f361,417,142.86086641698785,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,8,new_fit,,4410b0956469eb66d24ef3f8bd118333cf285f41512cbdc706fa7a2fc9093ef2,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,ac85d80076a95749552bb4f653e22780756a9c6cdd567b8b9876ec88e79db3e6,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,589,416,148,248,0.6551269770517825,d6a4ad9da0428e059256ecb19e2639e084d7b44a548adc3cd1bffc670e79157f,931ecf4753fd5bdfe9cd102a97382e1908450c495e75524735666775acb021a4,1520a428b963bd1b73debb38e66a97535a88816fa8a7f8f719273e91802d638d,417,154.2318526670133,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,9,new_fit,,3c28afd570c9389bea8a84024e9dd7c2f158aab2de6b4bec58721b3a85d7f07c,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,6d0bd2d0acf8d45a50b487aa518b4a79af0c583f7dc63644b3e3745ec9c514bb,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,621,416,88,188,0.6117846445044741,a432a4c5c1d36c80f0d5487d325354fe31bb6de85c26d38be128330c0773c618,9b9ede02975ec75a27ff8cb4c533f5a3dab9454bc154982e9dd307750c32a38f,4c63930eb7f64566ee7b2daeafd8ff79f9403e7927b8fe95a00d2161fa66e3e1,417,120.40699741600838,0,zero_sentinel,qgeognn_v2,458952
6101,cw_ivr_portfolio,10,new_fit,,e849b054c128f95bd4c3d66f616c44871e5e9ac88da164f736c9bba7a21ef408,2006104,ef0ea4900be1f13286fc526f0879dd94042983508662334d8032785ced026f7d,d6297a9fb045b627827ed0bc5d2419a1aea40bf56585889f758dd197a66ecef5,247750c1d939b88b0869fc235e77b9db721b357703d85933996189915abaeb8d,653,416,107,207,0.5191637035440398,f9a58450b35bf92d945f8740e5ce0b505a181ea02400d6342813e4e5e7c317e8,816ba94dbd00406c8cbf0ac21fbfc7acb9fb59d925e87a6637b714502cf15cbf,c4cfe4495432d8d83bb6953ed0d123fe42c54930cdba2c4db3b968c804f87f3e,417,144.25724691699725,0,zero_sentinel,qgeognn_v2,458952
