portfolio_step,expert,pool_position,shared_context_count,coverage_center_count,cw_proposal_pool_position,ivr_proposal_pool_position,proposals_agree,proposal_cw_sq_distance,nearest_center_sq_distance_before_selection,largest_cluster_score,selected_from_center,integrated_variance_before,selected_marginal_variance_reduction,integrated_variance_after,conditional_variance,selected_sample_id,selected_canonical_index,outer_seed,round,active_labels_before,active_labels_after,checkpoint_sha256,gradient_bank_sha256
10,cw,933,10,343,933,1623,False,200914.5215637325,57226.53790953418,396956.69945735653,76.0,0.1757312660379368,0.0012259135328197,0.1745053525051172,1.321431203278511,51f4126a3aadb3239225,1269,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
11,ivr,1623,11,344,77,1623,False,237527.1400643929,53276.195074774616,,,0.1745053525051171,0.0014994872435138,0.1730058652616031,1.7529728894625904,9ed7c1fb1c2cc499bbf9,2249,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
12,cw,77,12,345,77,1557,False,380336.6609058124,74731.87635101425,393060.8055514541,7.0,0.1730058652616033,0.0008293026253864,0.1721765626362167,1.0283524786752605,9249ed2c527f70995033,114,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
13,ivr,1557,13,346,1938,1557,False,395784.2086007358,88428.7788347305,,,0.1721765626362168,0.001480748845602,0.1706958137906148,1.4534575256038855,a17bcdddcf0799baeee2,2152,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
14,cw,1938,14,347,1938,2364,False,115459.55812395643,39970.77738317002,380405.6761320775,125.0,0.1706958137906147,0.0009366578861395,0.1697591559044752,0.6736911748370695,5d530b2f228ed39ff952,2689,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
15,ivr,2364,15,348,2364,2364,True,0.0,66595.63553296326,,,0.1697591559044752,0.0014417997544101,0.168317356150065,1.123036682746149,8641d0ec9c4b21727b9a,3273,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
16,cw,1757,16,349,1757,256,False,227957.11085316705,60972.22825736103,363772.9743511515,11.0,0.168317356150065,0.0011183869257528,0.1671989692243121,1.0004167273805686,6a4e95d2a3cca31094a1,2442,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
17,ivr,257,17,350,1450,257,False,284313.8769755742,14074.944178758247,,,0.1671989692243122,0.0013074416267347,0.1658915275975774,0.7209152110564043,4c469be3d7348703d469,346,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
18,cw,1450,18,351,1450,1695,False,143269.35850585913,47371.1166393912,356149.74718224246,163.0,0.1658915275975774,0.0008328894413314,0.1650586381562459,1.0623004295846092,95d1d257dfea69f178f8,2008,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
19,ivr,1695,19,352,1397,1695,False,176594.48957075318,35345.05342314867,,,0.1650586381562459,0.0012493878555279,0.163809250300718,0.8993988524200114,c449ecc5ee6acf61bddb,2349,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
20,cw,1397,20,353,1397,1397,True,0.0,49280.96059917688,352296.85716868704,339.0,0.163809250300718,0.0012113916436204,0.1625978586570976,1.1296400827250304,38e6b8bf0f089fcadd80,1935,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
21,ivr,1573,21,354,201,1573,False,138368.64319438185,27426.821352762243,,,0.1625978586570976,0.0010766705611859,0.1615211880959116,0.9048979381487738,a60552f4d1a5ced4641f,2175,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
22,cw,201,22,355,201,2739,False,175339.82078045723,37711.58247400611,292568.5562859926,34.0,0.1615211880959116,0.0006415259953493,0.1608796621005623,0.4485779918452224,ac81adfab5ec8ce768db,271,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
23,ivr,2739,23,356,631,2739,False,155702.66669647463,65489.05427034251,,,0.1608796621005622,0.0010497991499261,0.1598298629506361,0.9821337162820654,156594686f5cf7182bcc,3811,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
24,cw,631,24,357,631,631,True,0.0,46349.60907543918,269720.4298088369,163.0,0.1598298629506361,0.0010387222462392,0.1587911407043968,0.7707376880498822,beda2205eedbe1688e1f,865,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
25,ivr,1011,25,358,2282,1011,False,88487.64726279271,48772.357180980965,,,0.1587911407043969,0.0009104538754472,0.1578806868289495,1.1505860398027306,80f546c47198fa7c6dbf,1381,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
26,cw,2282,26,359,2282,2882,False,104376.32651437688,37194.195775448214,265515.92474810465,15.0,0.1578806868289496,0.0006405576527476,0.157240129176202,0.5161226203400483,483022b02f8329c323ac,3151,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
27,ivr,2882,27,360,2481,2882,False,119296.02583088249,22239.250612000964,,,0.157240129176202,0.0008924575869919,0.15634767158921,0.7143095298381699,0dccaa29989ef4956786,4011,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
28,cw,2481,28,361,2481,810,False,98087.31017837768,23860.31815871329,257672.76854280804,258.0,0.15634767158921,0.0005907717460296,0.1557568998431804,0.5107320028015494,00043aebb2540e369a7b,3453,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
29,ivr,810,29,362,2810,810,False,142337.92243206062,28554.91087371594,,,0.1557568998431804,0.0008141730751521,0.1549427267680282,0.7410206260129676,97b105f90c11a10a2cac,1099,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
30,cw,2810,30,363,2810,1317,False,125517.686860922,39478.08002137038,253735.38198363013,339.0,0.1549427267680282,0.0005383150803133,0.1544044116877148,0.5446489771174183,fcb9019ffbdb889489f7,3910,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
31,ivr,1317,31,364,2156,1317,False,82562.06110620817,42458.52158369375,,,0.1544044116877148,0.0007611882847209,0.153643223402994,1.127264648929826,0ae541927703401945de,1823,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
0,cw,2134,0,365,2134,2131,False,127786.75713514537,192181.9695614772,1475782.3169135526,343.0,0.1730854572688925,0.0025424554464211,0.1705430018224712,2.627013018167811,b51a88b6dc4049704214,2985,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
1,ivr,1897,1,366,717,1897,False,319665.37334904284,98585.61097639229,,,0.1705430018224713,0.0016231366054818,0.1689198652169895,1.2366366907289563,eb3bc3fba39e57adbc2f,2665,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
2,cw,717,2,367,717,1092,False,468254.31503335014,137385.01245240588,802896.1973947415,343.0,0.1689198652169894,0.0012790033984171,0.1676408618185724,1.566131551114041,449b809e4efaaf2af86a,984,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
3,ivr,1092,3,368,615,1092,False,598662.6039538665,75190.73191618075,,,0.1676408618185724,0.0015539062580056,0.1660869555605667,1.2805038518045002,cdc8c1db00222994a1aa,1520,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
4,cw,615,4,369,615,1346,False,580745.3094562637,121267.20260723948,562613.6245178839,192.0,0.1660869555605667,0.0008497923733779,0.1652371631871887,1.1425931999260888,2d178efe0181baca2bd5,853,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
5,ivr,1346,5,370,2130,1346,False,307462.7305110326,63511.99930630121,,,0.1652371631871887,0.0014516981472159,0.1637854650399728,1.210977521010723,75232f4ee5de52a0499e,1881,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
6,cw,2130,6,371,2130,880,False,137268.92790226403,124737.51030621876,528126.8333699112,343.0,0.1637854650399728,0.0011832252874508,0.1626022397525219,1.3077553281303946,de3442604a546992b1e1,2979,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
7,ivr,844,7,372,2825,844,False,399358.26853641466,103325.67021297885,,,0.1626022397525219,0.0013097813488969,0.1612924584036249,1.122946754526327,e47aebe2660b9e1528de,1153,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
8,cw,2825,8,373,2825,315,False,244915.85205058096,41131.19202786128,523981.3377098448,332.0,0.1612924584036249,0.0007995758330946,0.1604928825705303,0.4175212884582702,3fa513c053678904d89c,3978,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
9,ivr,315,9,374,2624,315,False,129764.41430605276,41532.35309705755,,,0.1604928825705303,0.001158859291344,0.1593340232791864,0.7205409598263447,7394fdb0a8cd53255d4a,438,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
10,cw,2624,10,375,2624,2101,False,335240.5475794566,24335.694443313012,402814.4734695982,213.0,0.1593340232791863,0.0002807910145617,0.1590532322646246,0.2613406730791612,195a292d7c8874415285,3694,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
11,ivr,1565,11,376,921,1565,False,159015.18800723908,95693.2558554585,,,0.1590532322646245,0.0011097272412529,0.1579435050233717,1.3299431343512127,bae9d67e095423d8edd2,2191,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
12,cw,921,12,377,921,2101,False,279070.19176038424,93320.77423477484,390312.2086981111,97.0,0.1579435050233716,0.0007688079521782,0.1571746970711934,1.0147918480692883,434ffacb33eccce497c5,1263,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
13,ivr,2101,13,378,1057,2101,False,95797.90003579984,104039.14868593264,,,0.1571746970711934,0.0010296714711352,0.1561450256000582,0.8973790504552217,c698067a7f9c576a34a2,2941,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
14,cw,1057,14,379,1057,1539,False,315049.51506166847,67700.16829699196,372216.2099706126,269.0,0.1561450256000581,0.0003866244969605,0.1557584011030975,0.4818016328018957,fe212637596386c24049,1463,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
15,ivr,1539,15,380,1077,1539,False,528645.9788538051,112094.6481405628,,,0.1557584011030975,0.0009819312433778,0.1547764698597196,1.2299538150038938,59b54ad3a60a52cc2b2c,2151,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
16,cw,1077,16,381,1077,344,False,235042.24936828713,66100.20808577124,348669.408977363,70.0,0.1547764698597196,0.0009034864678902,0.1538729833918292,1.0228788021548467,d5234e966aa231be05e5,1496,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
17,ivr,344,17,382,1426,344,False,285286.8032542385,17823.240803116118,,,0.1538729833918294,0.0009441229612734,0.1529288604305559,0.6680594682189389,48b79cabd9460cfc510b,480,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
18,cw,1426,18,383,1426,1312,False,326229.69352574175,21328.41918874054,339294.4872144959,315.0,0.1529288604305559,0.0003005946366766,0.1526282657938794,0.2268925466367549,a4a0dd6b9d09c8176801,1992,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
19,ivr,1312,19,384,613,1312,False,160927.462481873,82259.88840074907,,,0.1526282657938792,0.0009148412089372,0.151713424584942,1.224558252639756,ce39d1762993bbbafaca,1834,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
20,cw,613,20,385,613,2846,False,295666.848091245,85756.04413589707,287002.747047845,379.0,0.151713424584942,0.0004273111216518,0.1512861134632902,0.5974761671133904,24a9086a8e2c8015c232,851,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
21,ivr,2846,21,386,2948,2846,False,141971.93183447036,58733.8602350743,,,0.1512861134632902,0.0008290598452276,0.1504570536180625,0.946910167981114,be82391d6b3e742f1f26,4006,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
22,cw,2948,22,387,2948,2548,False,159385.90782578674,19761.899663031647,263954.5522243081,213.0,0.1504570536180625,0.0002455717743866,0.1502114818436758,0.2608401430827606,a36291cab664852df5e5,4139,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
23,ivr,2548,23,388,871,2548,False,182160.75427538823,35718.216120037134,,,0.1502114818436759,0.000808771719413,0.1494027101242628,0.9080762977218384,e3a799d0fa90b649a157,3583,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
24,cw,871,24,389,871,872,False,0.002096058713505,68459.86045134286,255822.10139206704,15.0,0.1494027101242628,0.0007735472867551,0.1486291628375076,0.8847973937308048,44c8b389a6faf44f1f4c,1195,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
25,ivr,1821,25,390,2131,1821,False,782126.0251910492,39589.32454623026,,,0.1486291628375076,0.0007637691102588,0.1478653937272488,0.4900410185640304,035c26f2979b6bb5c0b5,2557,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
26,cw,2131,26,391,2131,725,False,691359.0027978427,127786.75713514537,255571.07317778165,365.0,0.1478653937272488,0.0005178116052951,0.1473475821219536,0.920487228770146,b2ac848cc42390b01b9f,2980,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
27,ivr,725,27,392,1738,725,False,230010.22888014343,50933.48000358311,,,0.1473475821219537,0.0007545893034065,0.1465929928185471,0.8081953683781773,776ee2c1e85ebde75168,995,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
28,cw,624,28,393,624,399,False,197432.83210355177,37924.70294459902,268322.9155210993,392.0,0.1465929928185471,0.0003797249555013,0.1462132678630458,0.4869069681995716,985361f6699d97f9464f,863,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
29,ivr,399,29,394,1738,399,False,294973.99253120413,58371.8695399366,,,0.1462132678630458,0.0007318801222245,0.1454813877408212,1.0452156960170709,48679ae48dd485ffb7a6,566,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
30,cw,1738,30,395,1738,47,False,291795.7178772056,79469.2485354126,238406.8647000668,198.0,0.1454813877408213,0.000626268684223,0.1448551190565983,0.8091633955857236,855832bd4005ac7abdc6,2446,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
31,ivr,47,31,396,2671,47,False,148269.16841808043,23733.748210596037,,,0.1448551190565982,0.0006897127253573,0.1441654063312408,0.4989535696580124,36b45fbdbace5950c108,66,157,2,365,397,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,b0e12959de2d43641c613961c51a2b626a5df27fb2160e5d2b127902655971af
0,cw,593,0,397,593,1392,False,250697.8881748863,132590.59516682895,864974.2865530021,78.0,0.1397813915146502,0.000524918508553,0.1392564730060972,1.0243086100350112,b4351e5f05f6d477a6c0,831,157,3,397,429,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,2284c56f52b87f028c25f493e3764d00d1f788b7be5378cd213879df7cb2eef0
1,ivr,1392,1,398,98,1392,False,116360.29909920396,66179.18630017337,,,0.1392564730060972,0.0012220739751713,0.1380343990309258,1.1166275960160157,471287eecf7b94603e9e,1969,157,3,397,429,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,2284c56f52b87f028c25f493e3764d00d1f788b7be5378cd213879df7cb2eef0
2,cw,1872,2,399,1872,988,False,449600.2963679253,99906.84380352928,732383.6913861731,78.0,0.1380343990309258,0.0003287307148611,0.1377056683160648,0.485012125050315,a44a22945d76c02aa6a7,2661,157,3,397,429,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,2284c56f52b87f028c25f493e3764d00d1f788b7be5378cd213879df7cb2eef0
3,ivr,988,3,400,2903,988,False,570670.4725779532,72966.10103312903,,,0.1377056683160647,0.0009293344739244,0.1367763338421403,1.0687325361858953,29b39881584c4fec1c58,1379,157,3,397,429,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,2284c56f52b87f028c25f493e3764d00d1f788b7be5378cd213879df7cb2eef0
4,cw,2903,4,401,2903,1352,False,1064478.4413681682,114307.30890263402,657610.2691816508,3.0,0.1367763338421402,0.0005508253465479,0.1362255084955924,0.8715894938908584,0c5c35afb3a24375c153,4121,157,3,397,429,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,2284c56f52b87f028c25f493e3764d00d1f788b7be5378cd213879df7cb2eef0
5,ivr,2561,5,402,98,2561,False,304284.1877926367,146635.36975917977,,,0.1362255084955923,0.0007561098544391,0.1354693986411532,1.074635290540277,fa851bcd2cdb1d84b91f,3643,157,3,397,429,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,2284c56f52b87f028c25f493e3764d00d1f788b7be5378cd213879df7cb2eef0
6,cw,98,6,403,98,1352,False,800007.3663373537,89183.85239768974,611855.9180580848,15.0,0.1354693986411531,0.0004188059217427,0.1350505927194104,0.4459766357273574,7caf1db075b91197ba34,144,157,3,397,429,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,2284c56f52b87f028c25f493e3764d00d1f788b7be5378cd213879df7cb2eef0
