portfolio_step,expert,pool_position,shared_context_count,coverage_center_count,cw_proposal_pool_position,ivr_proposal_pool_position,proposals_agree,proposal_cw_sq_distance,nearest_center_sq_distance_before_selection,largest_cluster_score,selected_from_center,integrated_variance_before,selected_marginal_variance_reduction,integrated_variance_after,conditional_variance,selected_sample_id,selected_canonical_index,outer_seed,round,active_labels_before,active_labels_after,checkpoint_sha256,gradient_bank_sha256
0,cw,2869,0,333,2869,264,False,321026.8854961556,88746.94761427559,1083242.5005746551,108.0,0.1991832883502134,0.0034285973342028,0.1957546910160105,1.492373445994636,fe1a34b5975943e8f292,3996,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
1,ivr,264,1,334,264,264,True,0.0,102599.35515703814,,,0.1957546910160105,0.0054242946009743,0.190330396415036,2.081050029966851,f7d57d8bb988f7016502,355,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
2,cw,1553,2,335,1553,2800,False,272982.10821544554,121406.20120983224,887457.4976702257,191.0,0.1903303964150361,0.0018852242931008,0.1884451721219354,1.7652315545606831,79ff49052bce33597828,2148,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
3,ivr,2800,3,336,852,2800,False,295164.55206888425,48417.597018447705,,,0.1884451721219353,0.0029081893560772,0.185536982765858,1.6314724878709923,c45057c2cab40f4fa2be,3896,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
4,cw,852,4,337,852,2824,False,197825.95051152617,68762.39263152587,655943.7816430626,76.0,0.185536982765858,0.0015872559320848,0.1839497268337731,0.9084718791013418,33ffc69a253a89f15995,1151,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
5,ivr,2824,5,338,1368,2824,False,148508.62853139173,53778.12237699315,,,0.1839497268337732,0.0023299668775438,0.1816197599562294,1.5307992591619506,a38fee52661fd3e3b7ea,3933,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
6,cw,1368,6,339,1368,1091,False,304004.5794263433,71376.19536327248,644645.3662711325,191.0,0.1816197599562293,0.0009833160773191,0.1806364438789102,0.6753552932960575,a5f9179bfb146ad70953,1898,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
7,ivr,1091,7,340,151,1091,False,226055.00575410857,69452.45751874713,,,0.1806364438789102,0.0020109353668568,0.1786255085120534,3.5523560759391017,70cba7a21b5a01fb8e73,1499,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
8,cw,151,8,341,151,351,False,84762.93110829315,51177.084607610916,416740.6467373931,108.0,0.1786255085120534,0.001241760185759,0.1773837483262943,0.8955089320625971,547923973b121019625f,204,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
9,ivr,350,9,342,933,350,False,276264.3898542021,27051.707944968017,,,0.1773837483262943,0.0016524822883574,0.1757312660379369,0.8406698030877544,8e7636d7a60a6058305a,481,157,1,333,365,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,7d61b7e17ed1b247df72e2f7c80275bc0f9fb5298f785d488a68b97d7b86f624
