column,protocol,method,n_train,unique_compounds,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,compound,M1_conditional_EA,315.8,61.0,8.01954317679664,5.020820197274799,0.35905097567316124,10.623741040959937,7.0063703236399615,0.6268030719742029,0.8582036847176141,0.8582036847176141,0.8392882096297185,0.8392882096297185,1.0
25g,compound,M2_LOADING_SOLVENT,315.8,61.0,7.9184270232681,4.9986510010541885,0.3754730827541736,10.512920134728489,7.158159707633002,0.6345578718014824,0.8478827673816609,0.8478827673816609,0.8294252605479528,0.8294252605479528,1.0
25g,compound,M2_MAG,315.8,61.0,7.36352298634432,4.835536747370149,0.4572726950173097,10.890536937551717,7.473490088711993,0.6070925034607223,0.8172339761818354,0.8172339761818354,0.805958455286607,0.805958455286607,1.0
25g,compound,M2_WIDTH,315.8,61.0,8.088616720562701,4.933098884872554,0.3471646536625773,10.491037542556935,6.9160836909390095,0.6361992664444414,0.8604174251030576,0.8604174251030576,0.8395439898995285,0.8395439898995285,1.0
25g,compound,M3_CENTER_WIDTH,315.8,61.0,7.715808177323206,4.522992576856468,0.4067924911894509,10.716970336256129,6.980989257987689,0.619568971156083,0.8376509885815459,0.8376509885815459,0.8229144006015746,0.8229144006015746,1.0
25g,row,M1_conditional_EA,321.6,77.4,7.609325361119086,4.8846103966165755,0.42694960429877493,9.84976995539017,6.698440380918983,0.6995584369095441,0.8087919960028724,0.8087919960028724,0.7891865438549542,0.7891865438549542,1.0
25g,row,M2_LOADING_SOLVENT,321.6,77.4,7.586771147558335,4.869037118426684,0.43099040158128277,9.806538556414313,6.7889103503075505,0.7023197661435154,0.8060620379080492,0.8060620379080492,0.7864108252304195,0.7864108252304195,1.0
25g,row,M2_MAG,321.6,77.4,7.2222838137812975,4.8280646678110255,0.4870567480608784,10.171307138454667,7.108662559542846,0.6790059425697933,0.7881471396319769,0.7881471396319769,0.7746272248148445,0.7746272248148445,1.0
25g,row,M2_WIDTH,321.6,77.4,7.513266631287055,4.749248362655102,0.4407368360464073,9.930141937668486,6.789832413094049,0.6944497790758902,0.8034348175961563,0.8034348175961563,0.7855908544396271,0.7855908544396271,1.0
25g,row,M3_CENTER_WIDTH,321.6,77.4,7.222391024792276,4.4406832645838765,0.48340568530623296,9.906463844520584,6.7063301052997515,0.6956322219724967,0.7810251416421917,0.7810251416421917,0.7663970628102058,0.7663970628102058,1.0
40g,compound,M1_conditional_EA,360.8,63.0,15.314826595173596,10.092329064173011,0.6712362120198755,19.18120563113035,13.830317095594367,0.7316380102341817,1.6127662448167086,1.6127662448167086,1.5683550230272716,1.5683550230272716,1.0
40g,compound,M2_LOADING_SOLVENT,360.8,63.0,15.276514814969612,10.063852019927417,0.6728876496873444,19.266661796317326,13.88754436551793,0.7292384487501868,1.6118131996841671,1.6118131996841671,1.5685817633036834,1.5685817633036834,1.0
40g,compound,M2_MAG,360.8,63.0,15.31108401175456,10.177705800028502,0.6714281540668102,19.489110135558683,14.087762366876728,0.722931469666854,1.61958154645519,1.61958154645519,1.5776937629099708,1.5776937629099708,1.0
40g,compound,M2_WIDTH,360.8,63.0,15.436711016026829,9.963074882378889,0.6658048484881521,18.90245107118915,13.900303939811584,0.73935437245709,1.615845939031829,1.615845939031829,1.567419517543723,1.567419517543723,1.0
40g,compound,M3_CENTER_WIDTH,360.8,63.0,14.555948081569841,9.456839951113867,0.7029937736579144,18.760286365636425,13.575757544416302,0.7432902771727731,1.5451357087636004,1.5451357087636004,1.5071096221783085,1.5071096221783085,1.0
40g,row,M1_conditional_EA,357.2,79.8,15.259934652967242,10.179261521189952,0.6794157225412942,19.48810957110267,13.803611229656843,0.7251173362912349,1.6157470303200843,1.6157470303200843,1.5744169859479666,1.5744169859479666,1.0
40g,row,M2_LOADING_SOLVENT,357.2,79.8,15.301454420404516,10.191442007930801,0.6778325457694676,19.624460424649236,13.898508813824625,0.7212801653212753,1.6220483372614691,1.6220483372614691,1.5812922888190268,1.5812922888190268,1.0
40g,row,M2_MAG,357.2,79.8,15.255841028865103,10.279898397744404,0.6796937500791548,19.735166017352576,14.076251657457982,0.718101668356852,1.6212280315165608,1.6212280315165608,1.5818409983117498,1.5818409983117498,1.0
40g,row,M2_WIDTH,357.2,79.8,15.215724455269594,10.006648827939719,0.6813640798151986,19.143858077772954,13.902465833621068,0.7346472286163842,1.6043013503553112,1.6043013503553112,1.5609049874237741,1.5609049874237741,1.0
40g,row,M3_CENTER_WIDTH,357.2,79.8,14.647763631431747,9.61086787264303,0.7047650297841888,19.128326331748134,13.589641106449196,0.7350130859618161,1.5607486133428972,1.5607486133428972,1.524382247499135,1.524382247499135,1.0
