column,protocol,seed,center_rmse,width_rmse,center_error_variance,width_error_variance,center_width_error_covariance,center_width_error_correlation,v1_identity_max_abs,v2_identity_max_abs,raw_projection_frequency
25g,compound,769539383,8.551751085522461,6.3830381586068645,73.13061263860033,40.7166831218224,27.984884089418507,0.5128468715090427,1.0658141036401503e-14,1.0658141036401503e-14,0.0
25g,compound,1425370602,8.394423966034847,7.898798568703016,70.46419483765986,62.38378759635396,27.80536251835766,0.4193807047484914,1.4210854715202004e-14,7.105427357601002e-15,0.0
25g,compound,536279090,8.535607518829341,8.097990556802296,72.80974667729804,65.57724370797916,29.382310526678506,0.425220902447456,1.0658141036401503e-14,1.0658141036401503e-14,0.0
25g,compound,2767143051,8.317132085822221,7.827709305943889,69.17468055283172,61.269510909373786,25.199876317629485,0.3870816836127095,1.4210854715202004e-14,7.105427357601002e-15,0.0
25g,compound,1362771960,8.76969939599014,8.034543257526648,76.69434775142432,64.44190723793973,27.767306831193558,0.3949734354111761,1.4210854715202004e-14,1.0658141036401503e-14,0.0
25g,row,769539383,8.2572858710879,7.661706011389301,68.17831921646061,58.69995136438581,26.279999687680085,0.415416114924672,1.0658141036401503e-14,1.4210854715202004e-14,0.0
25g,row,1425370602,7.007853345988478,7.6268607403008275,49.101400110243496,58.16401931813657,18.454725836609796,0.34532932096096997,7.105427357601002e-15,7.105427357601002e-15,0.0
25g,row,536279090,6.718115418177299,7.633830506881385,45.13301502339049,58.273076474570644,20.397000422548984,0.3977270766596205,1.0658141036401503e-14,1.0658141036401503e-14,0.0
25g,row,2767143051,8.264992249283145,7.6123540613943925,68.3019256825765,57.943077189588735,25.543756007929417,0.40603877166533964,1.0658141036401503e-14,1.0658141036401503e-14,0.0
25g,row,1362771960,8.580905196612646,7.873034788397977,73.57294140800887,61.93435924788266,24.56818673325398,0.3639554443278682,1.0658141036401503e-14,1.0658141036401503e-14,0.0
40g,compound,769539383,16.303436045309095,10.320404767466126,265.6558132902906,106.31009490467856,79.91567018984074,0.4755377854893157,2.1316282072803006e-14,2.1316282072803006e-14,0.0
40g,compound,1425370602,16.268229713976023,10.534202971370647,264.57615204307604,110.82285275939707,67.48940032836433,0.3941355044207916,2.1316282072803006e-14,2.1316282072803006e-14,0.0
40g,compound,536279090,14.957203200226733,10.662844955919484,223.5532927178628,113.52597429432281,71.61208625219811,0.4495191229122595,2.1316282072803006e-14,2.1316282072803006e-14,0.0
40g,compound,2767143051,16.126331270333385,10.880150253937297,259.90032617994586,118.13804210468514,65.78779427419362,0.3754456085142092,1.4210854715202004e-14,1.4210854715202004e-14,0.0
40g,compound,1362771960,16.046749275557556,10.34495328131811,257.38193718989527,106.83670147888247,64.2118387609139,0.3872271844057999,2.1316282072803006e-14,2.1316282072803006e-14,0.0
40g,row,769539383,16.02075559335043,10.58445623215436,256.5660861047759,111.96821526219169,84.45051340028319,0.4982591601998129,2.1316282072803006e-14,2.1316282072803006e-14,0.0
40g,row,1425370602,15.277227708155682,10.156927236565608,233.20456334951356,103.06807002420202,65.45458313348067,0.4221914822454222,2.1316282072803006e-14,2.1316282072803006e-14,0.0
40g,row,536279090,17.1146640921988,10.969704197157824,292.8567514425418,120.22294846253511,76.19256358204314,0.4060609987010422,1.4210854715202004e-14,1.4210854715202004e-14,0.0
40g,row,2767143051,16.785803180047715,10.544324350629052,281.71132503236623,111.03775773124298,76.35199631121365,0.4317008481666621,2.1316282072803006e-14,2.1316282072803006e-14,0.0
40g,row,1362771960,15.871771345009078,10.044883080081513,251.8640859577993,100.83076634954634,75.38289200084294,0.47303485075832813,2.1316282072803006e-14,2.1316282072803006e-14,0.0
