method,active_label_count,combined_normalized_RMSE,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
hybrid,333,0.706752581442242,5.184738211156995,9.676954325956611,2.5909743020288665,4.831075662617489,0.486641943407952,0.5516772802117034
hybrid,365,0.6827252726358439,5.091937968091092,9.153304328259773,2.5613047427124824,4.647888675868082,0.5049443285875969,0.5991850391526452
hybrid,397,0.6453437423698473,4.863786817489034,8.515706067984073,2.405941956220485,4.254359725110537,0.5478922929925922,0.6485625644884746
hybrid,429,0.5740544571677179,4.378276007828842,7.478708751345299,2.1809676900470287,3.795500848619201,0.632846195380451,0.7309498080189641
hybrid,461,0.5725746020583378,4.382660426850416,7.379192464168628,2.1691732755382,3.7604043967432252,0.6328810837719309,0.7377613402710942
hybrid,493,0.5558050063733848,4.271121417687191,7.061265428011043,2.1115011364435974,3.5371404614665813,0.6520176686085295,0.7589062595918138
hybrid,525,0.5209235947024204,4.055179289426633,6.479336673403859,1.9943613666424649,3.398077402526526,0.6856548959961952,0.7974663899403658
hybrid,557,0.4900140563111415,3.7878834125546184,6.102097871331038,1.8926463886416502,3.158853536143863,0.7245287434263065,0.8184723507110399
hybrid,589,0.46850407775289915,3.707359994876376,5.5907791111894065,1.8168349972731774,2.929398412041241,0.7348710475346462,0.8474239478328874
hybrid,621,0.4549677438340165,3.589123667950922,5.484187017834538,1.8201313062251614,2.8473796636366444,0.7502379891939219,0.8532328931364009
hybrid,653,0.4297847738418735,3.4160496969997096,5.169333427098679,1.7273548731129231,2.77087373230383,0.7693805428745979,0.8694826914160846
hybrid,685,0.41819341182336245,3.351491872164531,4.946969499980099,1.7182998084335874,2.6398614615845166,0.7796341483288282,0.878554815709669
hybrid,717,0.4122324536112113,3.3035470018040423,4.883506475506945,1.7013421500043617,2.6313953719836634,0.7861846160108407,0.8823507195221698
hybrid,749,0.41455499992128003,3.2802352856908796,4.9870848411910815,1.6847595862347446,2.7119983316325458,0.7907231337779257,0.8777155437289345
hybrid,781,0.41220570502068804,3.302292134482375,4.854062211066418,1.6558802781916924,2.641953501941489,0.7857539401780798,0.8826010585151801
hybrid,813,0.4166528786295031,3.367715617410061,4.829443559549779,1.7028990558011354,2.5082451708311084,0.7770419065156245,0.8850143006546336
hybrid,845,0.41413427968859945,3.3159497136119533,4.854823971970644,1.6194379534366892,2.4766419806354625,0.7840791050957041,0.883493576104817
hybrid,877,0.4131210074594612,3.316635988034359,4.900142247632162,1.6630527624409261,2.4593075658491763,0.785395956882591,0.8825989166902548
hybrid,909,0.40746864439993935,3.27985419553701,4.768843403403058,1.6199215719168136,2.3970717157963084,0.788328716811056,0.8876879325844774
hybrid,941,0.4042593544174814,3.228282180779035,4.7976826287307786,1.648252032757949,2.408680636591191,0.7956966648065517,0.8872467716264583
hybrid,973,0.4006727361868137,3.277280186913127,4.525683308056726,1.6149595635686276,2.317044140109055,0.7886564399560445,0.8988764750787178
hybrid,1005,0.4097091827975123,3.294480814665338,4.8041717130669035,1.6113224921466636,2.4286765833838664,0.7871325055068741,0.8875477381283028
kernel_ivr,333,0.706752581442242,5.184738211156995,9.676954325956611,2.5909743020288665,4.831075662617489,0.486641943407952,0.5516772802117034
kernel_ivr,365,0.6733202771170154,5.015125689666759,9.081222155025547,2.5150449926618763,4.500042884698589,0.5181305294889375,0.6071562108489365
kernel_ivr,397,0.6377450736807513,4.784684146130627,8.610681605852383,2.451112080363633,4.448926531382316,0.5590900285577892,0.644584769417204
kernel_ivr,429,0.6018597915543762,4.548895911884352,7.977525673666608,2.2576508895384606,4.088816354371947,0.6034228373937924,0.6938758922089642
kernel_ivr,461,0.5661588052842534,4.3480673262317975,7.254303680514532,2.116656770237344,3.6468652546834606,0.6381728281118957,0.7441298709571083
kernel_ivr,493,0.5415458029736028,4.197885460972903,6.852752453970211,2.057624874583823,3.4940760328901184,0.6627575871306184,0.7706020837832656
kernel_ivr,525,0.507021383715462,3.9032475437709544,6.554491266700491,1.9656414348730364,3.4089226683838474,0.7073301252354796,0.7897768849151152
kernel_ivr,557,0.5297711623883159,4.064968608853301,6.74378008870754,1.9909425354690005,3.4543330814626865,0.6848775952116929,0.7754143425928194
kernel_ivr,589,0.5078562167390973,3.951413142984157,6.378960669264214,1.9256122027655587,3.226429815543927,0.7015672908326643,0.8001908171110828
kernel_ivr,621,0.50679355864065,3.948519905379957,6.322244236208796,1.9273209796106214,3.2694984296528844,0.7021890030858788,0.8039854652991556
kernel_ivr,653,0.5047316989992149,3.9483345655366526,6.218466320556518,1.9090480213542638,3.1560569926703286,0.7027707545474223,0.8092576419480716
kernel_ivr,685,0.4877094829407995,3.8303405180746077,5.990753825055274,1.8655610632839248,3.084387636070343,0.7192502716760582,0.8231270230378243
kernel_ivr,717,0.4876937486670684,3.82281715276753,6.007559325744383,1.861073472145364,3.085802311062527,0.7211729542465851,0.82324423596168
kernel_ivr,749,0.47113410007564527,3.7066390071497963,5.766839307347373,1.7868242418165685,2.906495250157601,0.7368950349985911,0.8380989287002292
kernel_ivr,781,0.448611962096349,3.575407685656077,5.299532884411725,1.761846932232809,2.7408969991212837,0.7561390837311944,0.8626660293843686
kernel_ivr,813,0.4389099753235164,3.5449021130093166,5.083906595521913,1.7497108685884544,2.7769360525144946,0.7590806086933697,0.8747680170246029
kernel_ivr,845,0.4128938509197977,3.267492904347381,4.970407768466326,1.6541290841228384,2.712656881025941,0.7924456350804767,0.8803395711095993
kernel_ivr,877,0.4111414728195239,3.2682278875502044,4.916736071988813,1.652021637897072,2.664026229730327,0.7940851341175299,0.8836435483898359
kernel_ivr,909,0.4113896256329685,3.268525347996564,4.902845577040135,1.667989760908863,2.664761266090887,0.7937983506214505,0.8840141826692012
kernel_ivr,941,0.4091153969331775,3.2747558446511844,4.779774358943873,1.6382874447664768,2.6012089914555174,0.7934887048304445,0.8890324534856491
kernel_ivr,973,0.39473417487068496,3.126399220020165,4.761471761959716,1.631409370641914,2.6725091648330506,0.8120361721855639,0.890493612108673
kernel_ivr,1005,0.3959134120992574,3.168244885942213,4.645669413829663,1.5939641213817277,2.5079903200090077,0.8065574516551834,0.8953946461801964
lcmd,333,0.706752581442242,5.184738211156995,9.676954325956611,2.5909743020288665,4.831075662617489,0.486641943407952,0.5516772802117034
lcmd,365,0.6631462288249763,4.907886426828962,8.894683739681577,2.4889432305912322,4.481230445331235,0.5408728641096218,0.6207677473890466
lcmd,397,0.6433792397945742,4.804047695741988,8.382742474022791,2.466635919932267,4.425607123978132,0.5584174051648884,0.6613189629179124
lcmd,429,0.5926986458598484,4.460525769468725,7.63415549337183,2.3404018750865396,4.012349754214573,0.6186038982047541,0.719024417274903
lcmd,461,0.5531633002364338,4.138702220427742,7.109750568380543,2.1179410816668325,3.752327781100925,0.6689095954897399,0.7566772963209695
lcmd,493,0.5253030915916783,4.023203685921549,6.537222149080016,2.0416266655178665,3.4826187434528086,0.6893941316725362,0.7934584140707275
lcmd,525,0.507750219121164,3.870995748156825,6.296644537473002,2.0121623000938547,3.372469373744169,0.7115405840886238,0.8039772594316151
lcmd,557,0.4831940110855217,3.6902820992724257,6.104106116574885,1.9173730128674769,3.2089547916567867,0.7380261141759916,0.8192753370060375
lcmd,589,0.45560083655998296,3.532730878227219,5.621858107089885,1.8433536233947716,3.016784630119086,0.7586179953460837,0.8469548172599254
lcmd,621,0.44758397199080563,3.4869686236002537,5.533785918679131,1.7971006044666828,2.954885937670152,0.7651495864073601,0.8524567183481822
lcmd,653,0.4367913643948073,3.4007379508222164,5.426925384797538,1.7304731202068375,2.8330964063283064,0.7760482661914259,0.8573371831556212
lcmd,685,0.43107539208805373,3.391053814720493,5.258997349443609,1.7291188483615572,2.838923332731215,0.7777164092489215,0.8662722481606782
lcmd,717,0.4290525441491949,3.4030321273075677,5.187706618774965,1.770406821591677,2.7768355952750006,0.7752435006639069,0.870331530195673
lcmd,749,0.4180738553739232,3.332846158755218,5.003269905911212,1.6836515698787404,2.641377038292462,0.784948353139586,0.8792343993860128
lcmd,781,0.4269478414906616,3.3954166474693586,5.121433283629939,1.7176626173426492,2.7045105362395874,0.776513712016527,0.8734011257045754
lcmd,813,0.4205113953005789,3.3237363890785625,5.095820400032195,1.6708004629583382,2.720521391152764,0.7867091817503334,0.874414921763683
lcmd,845,0.41431745910549617,3.2933918904828623,4.95135460720474,1.7009761849753289,2.570138699145054,0.7899720078626662,0.8809422007867372
lcmd,877,0.4212443924698281,3.3171879798043884,5.11553726267252,1.675246207319575,2.638981643054697,0.787962581544055,0.8729407715192912
lcmd,909,0.4231578294009716,3.37987355603678,5.0131470017113395,1.6702802672946482,2.554131250587299,0.7794345644311413,0.8789235395453975
lcmd,941,0.4048515273803905,3.2158828371536345,4.831564033390963,1.5908617729763332,2.3977560158827895,0.8000700879511609,0.8863320808592287
lcmd,973,0.4147840867181949,3.2922660914349478,4.9769942740542366,1.633780772508763,2.5228390526714373,0.7907030086613773,0.8800246796135347
lcmd,1005,0.4086138896739119,3.241493742650338,4.922502152014511,1.624811945144507,2.503228525349276,0.7971002433287788,0.8827494009528003
random,333,0.706752581442242,5.184738211156995,9.676954325956611,2.5909743020288665,4.831075662617489,0.486641943407952,0.5516772802117034
random,365,0.667577610664019,4.969685338882487,8.973439498429409,2.6097061899211482,4.6595837373527695,0.5275827643471543,0.6139685214765803
random,397,0.703284447734656,5.199203317934512,9.6044997757879,2.5767767002256656,4.6456771315430565,0.4789191825325,0.5595916748701282
random,429,0.6802771848490827,5.030841612902113,9.20149181820636,2.5166615036751727,4.589727767651601,0.5091709222556919,0.5900727569464834
random,461,0.6823768283744339,5.048039617059901,9.264933294772268,2.5761159017503403,4.508874713202461,0.5061852755721667,0.5861166183630967
random,493,0.6734614780061358,4.979037737719476,9.256781939995005,2.534890623572919,4.543504376720182,0.517977556594182,0.5863178150197831
random,525,0.6659587135047629,4.916183104818683,9.224748726220596,2.452575778732483,4.420500941356595,0.5281974634942815,0.5831886242141505
random,557,0.6697002124291106,4.948240712870421,9.127328420127219,2.4204688317484133,4.374195554216417,0.5261455040643812,0.5983359659686733
random,589,0.6530791527056533,4.875643707636862,8.73900106604373,2.4744647644692472,4.362983412937009,0.5412987290315511,0.6303609138541263
random,621,0.6271753738778327,4.743355837879606,8.317971120466094,2.3355173499750004,3.9757722433808325,0.5665937584843931,0.667616958969343
random,653,0.6293617826633385,4.740612623401012,8.36754335982039,2.329196664755293,4.089280545625756,0.567951595580795,0.6640492876889903
random,685,0.5959127248675093,4.4520178494125116,7.935638540747101,2.1410567831364182,3.70516450685277,0.6167964521678291,0.697349867915108
random,717,0.6257754935702237,4.682011010692413,8.340056198026588,2.1790557065456033,3.7883195543174835,0.5774101868807611,0.664630698371927
random,749,0.6130536608343531,4.59499556515965,8.082140323111439,2.2652031864193702,3.797109249627275,0.5933847280955915,0.6849008038563664
random,781,0.608983043486574,4.555729015853862,8.075816411596952,2.149213252479224,3.7519453124176687,0.600496240926643,0.6859789637648752
random,813,0.5823406456904026,4.394305963661421,7.627907074717667,2.181640573314054,3.7557942058828524,0.6299935690098531,0.7217323809340991
random,845,0.5845240665841864,4.36081546772564,7.763239813212591,2.060460697832725,3.6919845711413046,0.6352505640808348,0.711758769758226
random,877,0.5806761518538238,4.341251016992872,7.549205965855603,2.0376218036496097,3.4435575194781918,0.6393381389198759,0.7237376788353475
random,909,0.5564586778542028,4.248806497778756,7.095797812047698,2.0331443806632246,3.3779734323350645,0.6558634851588618,0.7593974211124431
random,941,0.5430129816108427,4.149944496002865,6.912786107602382,1.957323607666601,3.276818979844201,0.6714734307230769,0.7712854585102548
random,973,0.5414498746107598,4.1881161335348525,6.729568288943807,1.9728146569048473,3.233583793823096,0.6659469064490631,0.7832887860066535
random,1005,0.5433010055541065,4.146006127161856,6.873136166267011,2.004205467032014,3.3983900305750274,0.6722473165702253,0.7732419753475684
