method,combined_normalized_RMSE,combined_normalized_RMSE_AULC,V1_RMSE,V1_RMSE_AULC,V2_RMSE,V2_RMSE_AULC,V1_MAE,V1_MAE_AULC,V2_MAE,V2_MAE_AULC,V1_R2,V1_R2_AULC,V2_R2,V2_R2_AULC,combined_normalized_RMSE_N80,combined_normalized_RMSE_N80_status,combined_normalized_RMSE_N90,combined_normalized_RMSE_N90_status,combined_normalized_RMSE_N95,combined_normalized_RMSE_N95_status,V1_RMSE_N80,V1_RMSE_N80_status,V1_RMSE_N90,V1_RMSE_N90_status,V1_RMSE_N95,V1_RMSE_N95_status,V2_RMSE_N80,V2_RMSE_N80_status,V2_RMSE_N90,V2_RMSE_N90_status,V2_RMSE_N95,V2_RMSE_N95_status,V1_R2_N80,V1_R2_N80_status,V1_R2_N90,V1_R2_N90_status,V1_R2_N95,V1_R2_N95_status,V2_R2_N80,V2_R2_N80_status,V2_R2_N90,V2_R2_N90_status,V2_R2_N95,V2_R2_N95_status,NRMSE_incremental_label_saving_observed,NRMSE_AULC_wins_vs_random,fit_count,epochs,training_seconds,gradient_seconds,new_fit_count
hybrid,0.4097091827975123,0.47935350858693815,3.294480814665338,3.752679637575875,4.8041717130669035,5.904891252725037,1.6113224921466636,1.876674804415784,2.4286765833838664,3.043902516876901,0.7871325055068741,0.720649363866068,0.8875477381283028,0.8203426620926232,653.0,REACHED,973.0,REACHED,,CENSORED,653.0,REACHED,,CENSORED,,CENSORED,653.0,REACHED,909.0,REACHED,,CENSORED,653.0,REACHED,941.0,REACHED,,CENSORED,589.0,REACHED,685.0,REACHED,973.0,REACHED,0.6842105263157895,5.0,320,82123,202264.02003991435,0.0,0
kernel_ivr,0.3959134120992574,0.500070026578239,3.168244885942213,3.884435311008757,4.645669413829663,6.268360356992358,1.5939641213817277,1.9275227556936763,2.5079903200090077,3.2511038961483485,0.8065574516551834,0.705014296538524,0.8953946461801964,0.8005684544833018,845.0,REACHED,973.0,REACHED,,CENSORED,845.0,REACHED,973.0,REACHED,,CENSORED,781.0,REACHED,941.0,REACHED,,CENSORED,813.0,REACHED,845.0,REACHED,973.0,REACHED,781.0,REACHED,845.0,REACHED,1005.0,REACHED,0.7368421052631579,5.0,110,27582,28048.95417016698,5729.333822124114,0
lcmd,0.4086138896739119,0.4795385937378649,3.241493742650338,3.7082802175054943,4.922502152014511,5.971306069760118,1.624811945144507,1.8907947658389836,2.503228525349276,3.122547220791041,0.7971002433287788,0.7293678543566222,0.8827494009528003,0.8195847138710477,653.0,REACHED,,CENSORED,,CENSORED,653.0,REACHED,941.0,REACHED,,CENSORED,685.0,REACHED,,CENSORED,,CENSORED,589.0,REACHED,941.0,REACHED,,CENSORED,589.0,REACHED,749.0,REACHED,,CENSORED,0.7368421052631579,5.0,110,28339,57814.78677374404,12196.610210542509,0
random,0.5433010055541065,0.6242603285366704,4.146006127161856,4.67067660938473,6.873136166267011,8.307854323897267,2.004205467032014,2.290547563903229,3.3983900305750274,4.005099256966803,0.6722473165702253,0.5778771944932656,0.7732419753475684,0.664101885438871,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,0.0,,110,22559,69047.01618862676,0.0,0
