scope,outer_seed,method,metric,active_label_count,gap_closed,gap_status
seed,157.0,random,combined_normalized_RMSE,525,-0.18821693757630822,VALID
seed,157.0,random,combined_normalized_RMSE,557,-0.32423783027913416,VALID
seed,157.0,random,combined_normalized_RMSE,589,-0.11505893051745784,VALID
seed,157.0,random,combined_normalized_RMSE,621,0.0411349757400485,VALID
seed,157.0,random,combined_normalized_RMSE,653,0.042890877550928116,VALID
seed,157.0,random,combined_normalized_RMSE,685,-0.12341126345385597,VALID
seed,157.0,random,combined_normalized_RMSE,717,-0.17763340956862594,VALID
seed,157.0,random,combined_normalized_RMSE,749,-0.13805962727687904,VALID
seed,157.0,random,combined_normalized_RMSE,781,-0.10022920416728817,VALID
seed,157.0,random,combined_normalized_RMSE,813,0.14204343798374897,VALID
seed,157.0,random,combined_normalized_RMSE,845,0.05529970057413539,VALID
seed,157.0,random,combined_normalized_RMSE,877,-0.07567446018734075,VALID
seed,157.0,random,combined_normalized_RMSE,909,0.3378414727829339,VALID
seed,157.0,random,combined_normalized_RMSE,941,0.2806281740310852,VALID
seed,157.0,random,combined_normalized_RMSE,973,0.3708433102438495,VALID
seed,157.0,random,combined_normalized_RMSE,1005,0.2765808056004302,VALID
seed,157.0,hybrid,V1_RMSE,333,-0.0,VALID
seed,157.0,hybrid,V1_RMSE,365,-0.02723388925700636,VALID
seed,157.0,hybrid,V1_RMSE,397,0.0921863529717571,VALID
seed,157.0,hybrid,V1_RMSE,429,0.5739026377395491,VALID
seed,157.0,hybrid,V1_RMSE,461,0.27638177642786343,VALID
seed,157.0,hybrid,V1_RMSE,493,0.28425837465959264,VALID
seed,157.0,hybrid,V1_RMSE,525,0.3364608269249783,VALID
seed,157.0,hybrid,V1_RMSE,557,0.6222524379390911,VALID
seed,157.0,hybrid,V1_RMSE,589,0.335085147021487,VALID
seed,157.0,hybrid,V1_RMSE,621,0.3996648320944766,VALID
seed,157.0,hybrid,V1_RMSE,653,0.41842569532946916,VALID
seed,157.0,hybrid,V1_RMSE,685,0.5074392522036825,VALID
seed,157.0,hybrid,V1_RMSE,717,0.5393549415431128,VALID
seed,157.0,hybrid,V1_RMSE,749,0.6312789217298791,VALID
seed,157.0,hybrid,V1_RMSE,781,0.5168204317215374,VALID
seed,157.0,hybrid,V1_RMSE,813,0.42457597913938455,VALID
seed,157.0,hybrid,V1_RMSE,845,0.5158457443544794,VALID
seed,157.0,hybrid,V1_RMSE,877,0.638685250569033,VALID
seed,157.0,hybrid,V1_RMSE,909,0.5443389530512728,VALID
seed,157.0,hybrid,V1_RMSE,941,0.5593602158619829,VALID
seed,157.0,hybrid,V1_RMSE,973,0.5127923802115275,VALID
seed,157.0,hybrid,V1_RMSE,1005,0.501277254259257,VALID
seed,157.0,kernel_ivr,V1_RMSE,333,-0.0,VALID
seed,157.0,kernel_ivr,V1_RMSE,365,-0.11072278298369562,VALID
seed,157.0,kernel_ivr,V1_RMSE,397,0.004794701524497066,VALID
seed,157.0,kernel_ivr,V1_RMSE,429,0.2821813217588878,VALID
seed,157.0,kernel_ivr,V1_RMSE,461,0.48280511322754754,VALID
seed,157.0,kernel_ivr,V1_RMSE,493,0.389267847398963,VALID
seed,157.0,kernel_ivr,V1_RMSE,525,0.8388845687285343,VALID
seed,157.0,kernel_ivr,V1_RMSE,557,0.5611165880513128,VALID
seed,157.0,kernel_ivr,V1_RMSE,589,0.709874681143347,VALID
seed,157.0,kernel_ivr,V1_RMSE,621,0.6586344622571136,VALID
seed,157.0,kernel_ivr,V1_RMSE,653,0.6542741052507776,VALID
seed,157.0,kernel_ivr,V1_RMSE,685,0.6859657630427713,VALID
seed,157.0,kernel_ivr,V1_RMSE,717,0.7331571344626894,VALID
seed,157.0,kernel_ivr,V1_RMSE,749,0.916592744233813,VALID
seed,157.0,kernel_ivr,V1_RMSE,781,0.8962289377848617,VALID
seed,157.0,kernel_ivr,V1_RMSE,813,0.6286020138340982,VALID
seed,157.0,kernel_ivr,V1_RMSE,845,0.6372667686180614,VALID
seed,157.0,kernel_ivr,V1_RMSE,877,0.7619042071435272,VALID
seed,157.0,kernel_ivr,V1_RMSE,909,0.8218190848742447,VALID
seed,157.0,kernel_ivr,V1_RMSE,941,0.763499448755807,VALID
seed,157.0,kernel_ivr,V1_RMSE,973,1.0145654194149993,VALID
seed,157.0,kernel_ivr,V1_RMSE,1005,0.8632768770083831,VALID
seed,157.0,lcmd,V1_RMSE,333,-0.0,VALID
seed,157.0,lcmd,V1_RMSE,365,0.04098337054364181,VALID
seed,157.0,lcmd,V1_RMSE,397,0.08085340769217203,VALID
seed,157.0,lcmd,V1_RMSE,429,0.18868707195891904,VALID
seed,157.0,lcmd,V1_RMSE,461,0.03915750388386975,VALID
seed,157.0,lcmd,V1_RMSE,493,0.3430518798820907,VALID
seed,157.0,lcmd,V1_RMSE,525,0.42054445477499847,VALID
seed,157.0,lcmd,V1_RMSE,557,0.4075429579524529,VALID
seed,157.0,lcmd,V1_RMSE,589,0.39716090054545394,VALID
seed,157.0,lcmd,V1_RMSE,621,0.5029737239941934,VALID
seed,157.0,lcmd,V1_RMSE,653,0.5615988439481215,VALID
seed,157.0,lcmd,V1_RMSE,685,0.5972096410844558,VALID
seed,157.0,lcmd,V1_RMSE,717,0.6575057425968133,VALID
seed,157.0,lcmd,V1_RMSE,749,0.6611733509434591,VALID
seed,157.0,lcmd,V1_RMSE,781,0.627654955763384,VALID
seed,157.0,lcmd,V1_RMSE,813,0.6567952700290399,VALID
seed,157.0,lcmd,V1_RMSE,845,0.6930595686427307,VALID
seed,157.0,lcmd,V1_RMSE,877,0.6946992233763792,VALID
seed,157.0,lcmd,V1_RMSE,909,0.6138308789071406,VALID
seed,157.0,lcmd,V1_RMSE,941,0.768401962298754,VALID
seed,157.0,lcmd,V1_RMSE,973,0.6893926793348804,VALID
seed,157.0,lcmd,V1_RMSE,1005,0.76290424970499,VALID
seed,157.0,random,V1_RMSE,333,-0.0,VALID
seed,157.0,random,V1_RMSE,365,0.12568301194243925,VALID
seed,157.0,random,V1_RMSE,397,-0.4042231102292813,VALID
seed,157.0,random,V1_RMSE,429,-0.5484569691652474,VALID
seed,157.0,random,V1_RMSE,461,-0.49667041337943835,VALID
seed,157.0,random,V1_RMSE,493,-0.20124221428003272,VALID
seed,157.0,random,V1_RMSE,525,-0.22078969802365256,VALID
seed,157.0,random,V1_RMSE,557,-0.3367114347801433,VALID
seed,157.0,random,V1_RMSE,589,-0.061601020096719535,VALID
seed,157.0,random,V1_RMSE,621,0.016961594603092878,VALID
seed,157.0,random,V1_RMSE,653,0.004358171177271877,VALID
seed,157.0,random,V1_RMSE,685,-0.04784760163292967,VALID
seed,157.0,random,V1_RMSE,717,-0.1330170951537237,VALID
seed,157.0,random,V1_RMSE,749,-0.04310362713513557,VALID
seed,157.0,random,V1_RMSE,781,-0.0825846697538454,VALID
seed,157.0,random,V1_RMSE,813,0.20742313424562778,VALID
seed,157.0,random,V1_RMSE,845,0.11190956513981959,VALID
seed,157.0,random,V1_RMSE,877,0.050107455114377565,VALID
seed,157.0,random,V1_RMSE,909,0.5038916525907564,VALID
seed,157.0,random,V1_RMSE,941,0.3518086155672498,VALID
seed,157.0,random,V1_RMSE,973,0.44596126024415966,VALID
seed,157.0,random,V1_RMSE,1005,0.36061204387701007,VALID
seed,157.0,hybrid,V2_RMSE,333,-0.0,VALID
seed,157.0,hybrid,V2_RMSE,365,0.09042233863203375,VALID
seed,157.0,hybrid,V2_RMSE,397,0.3745605674968476,VALID
seed,157.0,hybrid,V2_RMSE,429,0.5220124476330528,VALID
seed,157.0,hybrid,V2_RMSE,461,0.5750792540934877,VALID
seed,157.0,hybrid,V2_RMSE,493,0.5947029841597452,VALID
seed,157.0,hybrid,V2_RMSE,525,0.6354117447236429,VALID
seed,157.0,hybrid,V2_RMSE,557,0.6167132534640458,VALID
seed,157.0,hybrid,V2_RMSE,589,0.6351258470888761,VALID
seed,157.0,hybrid,V2_RMSE,621,0.7036540144118077,VALID
seed,157.0,hybrid,V2_RMSE,653,0.7319447174122454,VALID
seed,157.0,hybrid,V2_RMSE,685,0.7864156868943455,VALID
seed,157.0,hybrid,V2_RMSE,717,0.803207039957996,VALID
seed,157.0,hybrid,V2_RMSE,749,0.8355849049341203,VALID
seed,157.0,hybrid,V2_RMSE,781,0.8450105439900714,VALID
seed,157.0,hybrid,V2_RMSE,813,0.8271011675106591,VALID
seed,157.0,hybrid,V2_RMSE,845,0.8312714039481177,VALID
seed,157.0,hybrid,V2_RMSE,877,0.8421061712606029,VALID
seed,157.0,hybrid,V2_RMSE,909,0.8134358733768853,VALID
seed,157.0,hybrid,V2_RMSE,941,0.8210308688917906,VALID
seed,157.0,hybrid,V2_RMSE,973,0.8534403896319566,VALID
seed,157.0,hybrid,V2_RMSE,1005,0.8575664091506021,VALID
seed,157.0,kernel_ivr,V2_RMSE,333,-0.0,VALID
seed,157.0,kernel_ivr,V2_RMSE,365,-0.0442515646929426,VALID
seed,157.0,kernel_ivr,V2_RMSE,397,0.19193955893225492,VALID
seed,157.0,kernel_ivr,V2_RMSE,429,0.4079622263574883,VALID
seed,157.0,kernel_ivr,V2_RMSE,461,0.5676480130873435,VALID
seed,157.0,kernel_ivr,V2_RMSE,493,0.7123357281368642,VALID
seed,157.0,kernel_ivr,V2_RMSE,525,0.7653781132933856,VALID
seed,157.0,kernel_ivr,V2_RMSE,557,0.7826006733393498,VALID
seed,157.0,kernel_ivr,V2_RMSE,589,0.8290256430664092,VALID
seed,157.0,kernel_ivr,V2_RMSE,621,0.8245162590558678,VALID
seed,157.0,kernel_ivr,V2_RMSE,653,0.8557173669264135,VALID
seed,157.0,kernel_ivr,V2_RMSE,685,0.8598530590698956,VALID
seed,157.0,kernel_ivr,V2_RMSE,717,0.8392914293911152,VALID
seed,157.0,kernel_ivr,V2_RMSE,749,0.8291114971379407,VALID
seed,157.0,kernel_ivr,V2_RMSE,781,0.8736548344163885,VALID
seed,157.0,kernel_ivr,V2_RMSE,813,0.8543145765231044,VALID
seed,157.0,kernel_ivr,V2_RMSE,845,0.8797697165535063,VALID
seed,157.0,kernel_ivr,V2_RMSE,877,0.8992308664622849,VALID
seed,157.0,kernel_ivr,V2_RMSE,909,0.852993536693149,VALID
seed,157.0,kernel_ivr,V2_RMSE,941,0.8732972508458273,VALID
seed,157.0,kernel_ivr,V2_RMSE,973,0.9155850717463813,VALID
seed,157.0,kernel_ivr,V2_RMSE,1005,0.9078171958776835,VALID
seed,157.0,lcmd,V2_RMSE,333,-0.0,VALID
seed,157.0,lcmd,V2_RMSE,365,0.157012267611442,VALID
seed,157.0,lcmd,V2_RMSE,397,0.06922257129687354,VALID
seed,157.0,lcmd,V2_RMSE,429,0.25126045624477356,VALID
seed,157.0,lcmd,V2_RMSE,461,0.295272778468822,VALID
seed,157.0,lcmd,V2_RMSE,493,0.5310893487531575,VALID
seed,157.0,lcmd,V2_RMSE,525,0.5751074460186142,VALID
seed,157.0,lcmd,V2_RMSE,557,0.5276041822900174,VALID
seed,157.0,lcmd,V2_RMSE,589,0.5455085841435269,VALID
seed,157.0,lcmd,V2_RMSE,621,0.6793892916877773,VALID
seed,157.0,lcmd,V2_RMSE,653,0.6879550054778787,VALID
seed,157.0,lcmd,V2_RMSE,685,0.7456834927785841,VALID
seed,157.0,lcmd,V2_RMSE,717,0.8420475463025777,VALID
seed,157.0,lcmd,V2_RMSE,749,0.856254657346042,VALID
seed,157.0,lcmd,V2_RMSE,781,0.8443298372568433,VALID
seed,157.0,lcmd,V2_RMSE,813,0.8733027586044521,VALID
seed,157.0,lcmd,V2_RMSE,845,0.8258814175046432,VALID
seed,157.0,lcmd,V2_RMSE,877,0.8449734219342593,VALID
seed,157.0,lcmd,V2_RMSE,909,0.8213728829384341,VALID
seed,157.0,lcmd,V2_RMSE,941,0.8517954582509586,VALID
seed,157.0,lcmd,V2_RMSE,973,0.8652496326000313,VALID
seed,157.0,lcmd,V2_RMSE,1005,0.8104755646470458,VALID
seed,157.0,random,V2_RMSE,333,-0.0,VALID
seed,157.0,random,V2_RMSE,365,0.0694623554710569,VALID
seed,157.0,random,V2_RMSE,397,-0.2934669308621882,VALID
seed,157.0,random,V2_RMSE,429,-0.40210608844633355,VALID
