config,mode,pretrained,learning_rate,best_epoch,epochs_run,trainable_parameters,total_parameters,normalized_valid_score,legacy_valid_score,scaler,valid_V1_mae,valid_V1_rmse,valid_V1_r2,valid_V1_mean_pinball_loss,valid_V1_interval_80_coverage,valid_V1_interval_80_mean_width,valid_V2_mae,valid_V2_rmse,valid_V2_r2,valid_V2_mean_pinball_loss,valid_V2_interval_80_coverage,valid_V2_interval_80_mean_width,valid_quantile_crossing_rate,test_V1_mae,test_V1_rmse,test_V1_r2,test_V1_mean_pinball_loss,test_V1_interval_80_coverage,test_V1_interval_80_mean_width,test_V2_mae,test_V2_rmse,test_V2_r2,test_V2_mean_pinball_loss,test_V2_interval_80_coverage,test_V2_interval_80_mean_width,test_quantile_crossing_rate
last2_head_lr1e-4,last2_head,True,0.0001,50.0,150,186134,775476,0.23073944200899565,28.642534525054145,source_4g,2.137253761291504,2.959172010421753,0.8714924661523566,0.7731184959411621,0.8363636363636363,10.452719688415527,4.237478733062744,6.306478500366211,0.8502694853204382,1.5852938890457153,0.5636363636363636,7.351168632507324,0.01818181818181818,2.899235486984253,7.935973644256592,0.009271992529570894,1.073830246925354,0.8571428571428571,11.073399543762207,4.9194207191467285,11.611258506774902,0.37653634231299427,1.8431111574172974,0.5892857142857143,7.524158954620361,0.0
last2_head_lr1e-5,last2_head,True,1e-05,385.0,485,186134,775476,0.2340823658470899,28.946191536838683,source_4g,2.1152584552764893,3.0262904167175293,0.865596858976735,0.8067386746406555,0.7454545454545455,10.055669784545898,4.1907267570495605,6.290907382965088,0.8510079638027561,1.6677327156066895,0.4727272727272727,5.751899242401123,0.21818181818181817,2.981994867324829,8.000125885009766,-0.006810333618083142,1.0912680625915527,0.8392857142857143,10.745686531066895,4.75585412979126,11.524470329284668,0.3858217327610719,1.8943554162979126,0.4642857142857143,5.805966854095459,0.08928571428571429
full_lr1e-4,full,True,0.0001,42.0,142,775476,775476,0.2449318607871423,30.612867541075502,source_4g,2.186452865600586,2.963150978088379,0.8711466399963885,0.820875346660614,0.6909090909090909,10.627565383911133,4.341594696044922,6.607965469360352,0.8356112639910673,1.667274832725525,0.43636363636363634,4.817734718322754,0.07272727272727272,3.681673526763916,8.378988265991211,-0.1044275158244603,1.254981279373169,0.7678571428571429,11.335760116577148,6.183923244476318,12.460637092590332,0.2819858788357854,2.5153210163116455,0.44642857142857145,4.861686706542969,0.10714285714285714
full_lr1e-5,full,True,1e-05,211.0,311,775476,775476,0.25044432235890646,31.472127175868593,source_4g,2.148580312728882,2.9253008365631104,0.8744174698052318,0.9753794074058533,0.509090909090909,10.486257553100586,4.596865177154541,6.769747734069824,0.8274633011789653,1.9396723508834839,0.3090909090909091,4.6028876304626465,0.3090909090909091,3.2260563373565674,8.207042694091797,-0.05956447826327893,1.2933628559112549,0.5535714285714286,11.056035041809082,5.85109806060791,11.692168235778809,0.3678172645159501,2.4880921840667725,0.35714285714285715,4.6173095703125,0.16071428571428573
last1_head_lr1e-4,last1_head,True,0.0001,303.0,403,93454,775476,0.27477065522120103,34.47979317495913,source_4g,2.3844518661499023,3.0838842391967773,0.8604324782858306,0.7365410327911377,0.7272727272727273,6.621977806091309,4.519707202911377,7.066746234893799,0.8119923691559514,1.5669478178024292,0.6727272727272727,8.61378002166748,0.05454545454545454,3.49145770072937,8.813064575195312,-0.22182184431156116,1.2166123390197754,0.7321428571428571,6.954038143157959,5.035656452178955,11.751883506774902,0.3613433573159046,1.8131223917007446,0.625,8.985686302185059,0.03571428571428571
last1_head_lr1e-5,last1_head,True,1e-05,500.0,500,93454,775476,0.35464231252847717,43.657993457500424,source_4g,2.5838403701782227,3.7895045280456543,0.7892570419716185,0.9836533069610596,0.6363636363636364,9.661827087402344,5.417769908905029,7.654756546020508,0.7794031750263188,2.1241836547851562,0.4727272727272727,7.506045341491699,0.10909090909090909,3.2308349609375,7.844639301300049,0.031945123399791386,1.1010271310806274,0.8035714285714286,10.729329109191895,4.9126763343811035,11.900656700134277,0.3450707292042495,1.8411345481872559,0.5714285714285714,7.7176513671875,0.017857142857142856
head_only_lr1e-4,head_only,True,0.0001,500.0,500,774,775476,0.44379340265759715,53.70858484548944,source_4g,2.943774461746216,4.500298500061035,0.7027849013098302,0.9688915014266968,0.7272727272727273,8.349461555480957,5.882165908813477,8.179963111877441,0.7480935924800665,2.0267200469970703,0.5636363636363636,10.61944580078125,0.01818181818181818,3.435818910598755,7.402693271636963,0.13794795279189187,1.0968748331069946,0.8214285714285714,9.26091194152832,4.880616188049316,11.52420711517334,0.3858498367068014,1.7291921377182007,0.7857142857142857,11.282099723815918,0.0
scratch_lr1e-3,full,False,0.001,79.0,179,775476,775476,0.5410888990803633,70.69667612234662,target_train,1.9317084550857544,3.4379539489746094,0.8265443975641592,1.116342306137085,0.9818181818181818,20.742233276367188,4.716608047485352,10.851465225219727,0.5566841978572861,1.821328043937683,0.6545454545454545,9.749767303466797,0.07272727272727272,3.1459732055664062,8.234579086303711,-0.06668644552748115,1.357654333114624,0.9642857142857143,22.72745704650879,5.658963680267334,11.104736328125,0.42974509519616877,2.36480712890625,0.5892857142857143,9.899739265441895,0.017857142857142856
head_only_lr1e-5,head_only,True,1e-05,500.0,500,774,775476,1.154955875136311,141.50740196444667,source_4g,5.214165687561035,6.95902156829834,0.2893029024121745,2.349738359451294,0.16363636363636364,7.059925556182861,10.22039794921875,13.644003868103027,0.2991579507043304,4.5343523025512695,0.10909090909090909,4.23746919631958,0.01818181818181818,5.311156272888184,7.522379398345947,0.10984743118959017,2.2912261486053467,0.125,7.807164669036865,9.764496803283691,12.960238456726074,0.22325500302651669,4.242663383483887,0.05357142857142857,4.159829139709473,0.05357142857142857
zero_shot,zero_shot,True,,,0,0,775476,1.5996073851601058,193.02689569301674,source_4g,6.620916366577148,8.624493598937988,-0.09157971694336786,3.108330488204956,0.07272727272727272,6.989891052246094,11.81348991394043,15.404220581054688,0.1066617610795001,5.357008934020996,0.07272727272727272,4.189411640167236,0.09090909090909091,7.010350704193115,8.834753036499023,-0.22784287519346802,3.124293088912964,0.017857142857142856,7.829039573669434,11.415759086608887,14.323429107666016,0.051261597010546556,5.114139556884766,0.03571428571428571,4.093924522399902,0.05357142857142857
