canonical_smiles,source_smiles,status,graph_origin,conformer_method,error,seconds
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Br)C3=CC=CC=C3,success,4g,reused_4g_cache,,0.0
BrCCCc1ccccc1,C1=CC=C(C=C1)CCCBr,success,4g,reused_4g_cache,,0.0
C/C(=N\O)c1ccccc1,C/C(=N\O)/C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
C1=Cc2ccccc2C1,C1C=CC2=CC=CC=C21,success,4g,reused_4g_cache,,0.0
C=CC(=O)OC1CCCCC1,C=CC(=O)OC1CCCCC1,success,4g,reused_4g_cache,,0.0
C=CC(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)C=C,success,4g,reused_4g_cache,,0.0
C=CC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCOC(=O)C=C,success,4g,reused_4g_cache,,0.0
C=CC(=O)OCCOc1ccccc1,C=CC(=O)OCCOC1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
C=CC(=O)OCc1ccccc1,C=CC(=O)OCC1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)C=C,success,4g,reused_4g_cache,,0.0
CC(=O)CC(=O)OC(C)(C)C,CC(=O)CC(=O)OC(C)(C)C,success,4g,reused_4g_cache,,0.0
CC(=O)CC(=O)c1ccccc1,CC(=O)CC(=O)C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CC(=O)CCCCl,CC(=O)CCCCl,success,4g,reused_4g_cache,,0.0
CC(=O)c1c(C)cc(C)cc1C,CC1=CC(=C(C(=C1)C)C(=O)C)C,success,4g,reused_4g_cache,,0.0
CC(=O)c1ccc(Br)cc1,CC(=O)C1=CC=C(C=C1)Br,success,4g,reused_4g_cache,,0.0
CC(=O)c1ccc(C)cc1,CC1=CC=C(C=C1)C(=O)C,success,4g,reused_4g_cache,,0.0
CC(=O)c1ccc(C)cc1C,CC1=CC(=C(C=C1)C(=O)C)C,success,4g,reused_4g_cache,,0.0
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,CC(=O)C1=CC2=C(C=C1)C3=CC=CC=C3C2,success,4g,reused_4g_cache,,0.0
CC(=O)c1ccc2c(c1)OCO2,CC(=O)C1=CC2=C(C=C1)OCO2,success,4g,reused_4g_cache,,0.0
CC(=O)c1ccccc1,CC(=O)C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CC(=O)c1ccccc1C,CC1=CC=CC=C1C(=O)C,success,4g,reused_4g_cache,,0.0
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,CC(C)(C)C1=CC(=CC(=C1)C=O)C(C)(C)C,success,4g,reused_4g_cache,,0.0
CC(C)(CCl)c1ccccc1,CC(C)(CCl)C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CC(C)(O)CCc1ccccc1,CC(C)(CCC1=CC=CC=C1)O,success,4g,reused_4g_cache,,0.0
CC(C)=CCBr,CC(=CCBr)C,success,4g,reused_4g_cache,,0.0
CC(C)CCOC(=O)c1ccccc1,CC(C)CCOC(=O)C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CC(O)c1ccccc1,CC(C1=CC=CC=C1)O,success,4g,reused_4g_cache,,0.0
CC1CCC(=O)c2ccccc21,CC1CCC(=O)C2=CC=CC=C12,success,4g,reused_4g_cache,,0.0
CCC(=O)c1cccc(Br)c1,CCC(=O)C1=CC(=CC=C1)Br,success,4g,reused_4g_cache,,0.0
CCC(=O)c1cccnc1,CCC(=O)C1=CN=CC=C1,success,4g,reused_4g_cache,,0.0
CCCC(=O)c1ccc(-c2ccccc2)cc1,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,success,4g,reused_4g_cache,,0.0
CCOC(=O)/C=C(/C)N,CCOC(=O)/C=C(/C)\N,success,4g,reused_4g_cache,,0.0
CCOC(=O)/C=C/c1ccccc1,CCOC(=O)/C=C/C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CCOC(=O)C(Br)C(=O)OCC,CCOC(=O)C(C(=O)OCC)Br,success,4g,reused_4g_cache,,0.0
CCOC(=O)C(C)(C)Br,CCOC(=O)C(C)(C)Br,success,4g,reused_4g_cache,,0.0
CCOC(=O)C(C)Br,CCOC(=O)C(C)Br,success,4g,reused_4g_cache,,0.0
CCOC(=O)C(Cc1ccccc1)C(C)=O,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C,success,4g,reused_4g_cache,,0.0
CCOC(=O)CC(=O)c1ccccc1,CCOC(=O)CC(=O)C1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CCOC(=O)CC(C)=O,CCOC(=O)CC(=O)C,success,4g,reused_4g_cache,,0.0
CCOC(=O)Cc1ccccc1,CCOC(=O)CC1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CCOC(=O)c1ccccc1,CCOC(=O)C1=CC=CC=C1,success,8g_generated,MMFF,,0.1175
CCOC(=O)c1cccnc1,CCOC(=O)C1=CN=CC=C1,success,4g,reused_4g_cache,,0.0
COC(=O)C#CC(=O)OC,COC(=O)C#CC(=O)OC,success,4g,reused_4g_cache,,0.0
COC(=O)C(C)(C)Br,CC(C)(C(=O)OC)Br,success,4g,reused_4g_cache,,0.0
COC(=O)CS,COC(=O)CS,success,4g,reused_4g_cache,,0.0
COC(=O)c1ccc(C(C)(C)C)cc1,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,success,4g,reused_4g_cache,,0.0
COC(=O)c1ccccc1N,COC(=O)C1=CC=CC=C1N,success,4g,reused_4g_cache,,0.0
COC(=O)c1ccccc1O,COC(=O)C1=CC=CC=C1O,success,4g,reused_4g_cache,,0.0
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,success,4g,reused_4g_cache,,0.0
COCCOC(=O)CC(C)=O,CC(=O)CC(=O)OCCOC,success,4g,reused_4g_cache,,0.0
COc1cc(Br)cc(OC)c1,COC1=CC(=CC(=C1)Br)OC,success,4g,reused_4g_cache,,0.0
COc1cc(F)cc(Br)c1,COC1=CC(=CC(=C1)Br)F,success,4g,reused_4g_cache,,0.0
COc1ccc(C)cc1OC,CC1=CC(=C(C=C1)OC)OC,success,4g,reused_4g_cache,,0.0
COc1ccc(C=O)cc1,COC1=CC=C(C=C1)C=O,success,4g,reused_4g_cache,,0.0
COc1ccc(CCO)cc1,COC1=CC=C(C=C1)CCO,success,4g,reused_4g_cache,,0.0
COc1ccc(CO)cc1,COC1=CC=C(C=C1)CO,success,4g,reused_4g_cache,,0.0
COc1ccc(OC)c(Br)c1,COC1=CC(=C(C=C1)OC)Br,success,4g,reused_4g_cache,,0.0
COc1ccccc1,COC1=CC=CC=C1,success,4g,reused_4g_cache,,0.0
CSc1ccc(C=O)cc1,CSC1=CC=C(C=C1)C=O,success,4g,reused_4g_cache,,0.0
Cc1ccc(C(=O)c2ccccc2)cc1C,CC1=C(C=C(C=C1)C(=O)C2=CC=CC=C2)C,success,4g,reused_4g_cache,,0.0
Cc1ccc(C(C)C)cc1,CC1=CC=C(C=C1)C(C)C,success,4g,reused_4g_cache,,0.0
