split_mode,slice,signal,outer_seeds,n_samples_mean,spearman_mean,spearman_seed_ci_low,spearman_seed_ci_high,hard_error_auroc_mean,hard_error_auroc_seed_ci_low,hard_error_auroc_seed_ci_high,enrichment_mean,enrichment_seed_ci_low,enrichment_seed_ci_high,ause_mean,ause_seed_ci_low,ause_seed_ci_high,mean_error_mean,mean_error_seed_ci_low,mean_error_seed_ci_high,mean_signal_mean,mean_signal_seed_ci_low,mean_signal_seed_ci_high
compound,common,ensemble,3,56.0,0.4122991095940817,-0.11439684832775115,0.9389950675159147,0.8833333333333333,0.5878699505234131,1.1787967161432535,4.999999999999999,-2.1716666666666677,12.171666666666667,0.034691565985986494,0.007411784997397839,0.06197134697457515,0.16963487986698747,0.10015777662275317,0.23911198311122178,0.03841837384390074,0.027504451573505864,0.04933229611429561
compound,common,latent_distance,3,56.0,0.4481814230661691,-0.11305504540231376,1.009417891534652,0.7944444444444444,0.45640264486857246,1.1324862440203163,5.0,0.859436319461734,9.140563680538266,0.03905581350469184,-0.006849534394658678,0.08496116140404236,0.16963487986698747,0.10015777662275317,0.23911198311122178,4.4444172312106405,3.544136204340947,5.344698258080334
compound,common,quantile_width,3,56.0,0.4831319681139032,0.031246225180277365,0.9350177110475291,0.7911111111111112,0.3214658009731646,1.2607564212490578,2.7777777777777772,-2.003333333333335,7.558888888888889,0.03903403091724937,0.004267169628676189,0.07380089220582256,0.16963487986698747,0.10015777662275317,0.23911198311122178,0.3563994284541834,0.2684474390870308,0.44435141782133597
compound,common,random,3,56.0,-0.07391205285942128,-0.45293102201205576,0.30510691629321324,0.41222222222222227,0.19089240663493803,0.6335520378095065,0.0,0.0,0.0,0.08424320479351581,0.002105960826874295,0.16638044876015734,0.16963487986698747,0.10015777662275317,0.23911198311122178,0.4780412474049533,0.4500447713642984,0.5060377234456083
compound,full,ensemble,3,58.0,0.4318886347810125,-0.05186902777965402,0.915646297341679,0.8258547008547009,0.5653499487150411,1.0863594529943608,3.888888888888888,-2.4359266063949634,10.21370438417274,0.03707922383258625,0.01580382031825267,0.05835462734691983,0.19643938556409105,0.08361368659990094,0.30926508452828116,0.04889696934239433,0.034648219228655755,0.0631457194561329
compound,full,latent_distance,3,58.0,0.5012414668878659,-0.0052930223817271305,1.0077759561574589,0.8450854700854701,0.4445463005273496,1.2456246396435906,6.111111111111112,1.3299999999999992,10.892222222222223,0.03789762941913814,-0.007743200440383874,0.08353845927866016,0.19643938556409105,0.08361368659990094,0.30926508452828116,4.836717886006696,4.431865734244611,5.24157003776878
compound,full,quantile_width,3,58.0,0.5309149386546407,0.13197119781486688,0.9298586794944145,0.8301282051282052,0.46281043725875853,1.1974459729976519,5.5555555555555545,3.165,7.946111111111109,0.038078222586588946,0.005660510528608324,0.07049593464456957,0.19643938556409105,0.08361368659990094,0.30926508452828116,0.40122289167738506,0.33784138391499613,0.464604399439774
compound,full,random,3,58.0,-0.04424415802803327,-0.585535528671059,0.4970472126149924,0.513888888888889,-0.06346072744016751,1.0912385052179454,1.111111111111111,-3.6700000000000017,5.892222222222223,0.11097199566883247,-0.08608949529266226,0.3080334866303272,0.19643938556409105,0.08361368659990094,0.30926508452828116,0.4824050923768462,0.4525869295795171,0.5122232551741752
compound,tail,ensemble,3,2.0,,,,0.6666666666666666,-0.7676666666666668,2.101,6.666666666666667,-7.6766666666666685,21.01,0.0017911856825689142,-0.005916286309525123,0.009498657674662951,0.9469655450829917,-0.4917427489894688,2.3856738391554524,0.3422976433002147,-0.20249620375127464,0.8870914903517041
compound,tail,latent_distance,3,2.0,,,,0.6666666666666666,-0.7676666666666668,2.101,6.666666666666667,-7.6766666666666685,21.01,0.0017911856825689142,-0.005916286309525123,0.009498657674662951,0.9469655450829917,-0.4917427489894688,2.3856738391554524,15.821136220296225,-1.2446693739024397,32.88694181449489
