signal,slice,n_samples,tail_rows,spearman,spearman_ci_low,spearman_ci_high,hard_error_auroc,top10_count,top10_overlap_count,top10_overlap_rate,enrichment,ause,mean_error,mean_signal,split_mode,outer_seed
quantile_width,tail,3,3,-0.5,,,0.5,1,0,0.0,0.0,0.41877218815141093,2.208104999250851,1.8493966261545818,row,525
ensemble,full,59,3,0.5690239625949738,0.35902443458456273,0.7249049471150594,0.7924528301886793,6,3,0.5,5.0,0.04292946219631051,0.24677327219305065,0.031628613421775725,row,525
ensemble,common,56,0,0.5097060833902939,0.28839676505826717,0.6872168786897982,0.8133333333333334,6,2,0.3333333333333333,3.333333333333333,0.033249944775538484,0.14170192967209705,0.025707363013976914,row,525
ensemble,tail,3,3,-0.5,,,0.5,1,0,0.0,0.0,0.41877218815141093,2.208104999250851,0.1421586210340202,row,525
latent_distance,full,59,3,0.5857977790765635,0.37966735370876925,0.7401530757405453,0.8962264150943396,6,4,0.6666666666666666,6.666666666666666,0.025729390200015537,0.24677327219305065,4.5567958651962925,row,525
latent_distance,common,56,0,0.5157894736842106,0.27114293560499075,0.6851519819757701,0.8366666666666667,6,1,0.16666666666666666,1.6666666666666665,0.02579877845709558,0.14170192967209705,3.9155964764101165,row,525
latent_distance,tail,3,3,-0.5,,,0.5,1,0,0.0,0.0,0.41877218815141093,2.208104999250851,16.525851122538246,row,525
random,full,59,3,0.08182349503214496,-0.1553127714742574,0.33712566478358086,0.5251572327044025,6,2,0.3333333333333333,3.333333333333333,0.14314021886015527,0.24677327219305065,0.4578716248836554,row,525
random,common,56,0,0.055160628844839375,-0.22504582080247026,0.31929786897877,0.48333333333333334,6,2,0.3333333333333333,3.333333333333333,0.07078900501854338,0.14170192967209705,0.45166966104318934,row,525
random,tail,3,3,-0.5,,,0.5,1,0,0.0,0.0,0.41877218815141093,2.208104999250851,0.5736416165723554,row,525
quantile_width,full,59,3,0.04009351256575103,-0.21522281201467977,0.27495326273252274,0.4779874213836478,6,1,0.16666666666666666,1.6666666666666665,0.14799954556405612,0.2423554198416525,0.07506375677757345,row,1101
quantile_width,common,56,0,0.09651401230348598,-0.16357205497388635,0.3346056877094819,0.5133333333333334,6,1,0.16666666666666666,1.6666666666666665,0.10803642914815177,0.2029142759781631,0.0766299987943577,row,1101
quantile_width,tail,3,3,1.0,,,1.0,1,1,1.0,10.0,0.0,0.9785901052934536,0.04582723913093408,row,1101
ensemble,full,59,3,0.588427819988311,0.37180475994846596,0.7361004809739264,0.9213836477987422,6,3,0.5,5.0,0.03217142476434279,0.2423554198416525,0.02822324925282699,row,1101
ensemble,common,56,0,0.5384142173615859,0.29862548187081056,0.7028892338620901,0.86,6,3,0.5,5.0,0.030312898672259066,0.2029142759781631,0.026110944157102793,row,1101
ensemble,tail,3,3,0.5,,,0.5,1,0,0.0,0.0,0.1363005993532656,0.9785901052934536,0.06765294437301202,row,1101
latent_distance,full,59,3,0.5658094681472824,0.3383329056898027,0.7218007344452314,0.949685534591195,6,4,0.6666666666666666,6.666666666666666,0.029339756904265775,0.2423554198416525,5.732479356305075,row,1101
latent_distance,common,56,0,0.5056732740943267,0.26398911911615974,0.6860439212374643,0.9366666666666668,6,3,0.5,5.0,0.030518730602028567,0.2029142759781631,5.177197261154652,row,1101
latent_distance,tail,3,3,1.0,,,1.0,1,1,1.0,10.0,0.0,0.9785901052934536,16.09774513244629,row,1101
random,full,59,3,0.17317358270017535,-0.10306250746076996,0.41692703266091324,0.6069182389937108,6,1,0.16666666666666666,1.6666666666666665,0.10386328264801382,0.2423554198416525,0.53242602896017,row,1101
random,common,56,0,0.1937799043062201,-0.08456419213163814,0.45570106453944936,0.47333333333333333,6,1,0.16666666666666666,1.6666666666666665,0.08761018029624247,0.2029142759781631,0.5364325425872706,row,1101
random,tail,3,3,1.0,,,1.0,1,1,1.0,10.0,0.0,0.9785901052934536,0.45763777458762545,row,1101
quantile_width,full,58,2,0.7163247100802855,0.6004049597233736,0.7993959190695958,0.842948717948718,6,3,0.5,5.0,0.02314793617521992,0.15788601731572052,0.38502248761982755,compound,42
quantile_width,common,56,0,0.6931647300068353,0.5503686584147492,0.7831146766519615,0.81,6,1,0.16666666666666666,1.6666666666666665,0.02302763538949835,0.15127399824456036,0.3560987152159214,compound,42
quantile_width,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,0.34302255130820414,1.1948881149291992,compound,42
ensemble,full,58,2,0.5711956688916915,0.36877428909663085,0.7143343383429116,0.8397435897435898,6,4,0.6666666666666666,6.666666666666666,0.027624751208298413,0.15788601731572052,0.052640663556020824,compound,42
ensemble,common,56,0,0.5952836637047164,0.3842212966763191,0.7234641763242319,0.9633333333333334,6,4,0.6666666666666666,6.666666666666666,0.02201789415013753,0.15127399824456036,0.04219673681091334,compound,42
ensemble,tail,2,2,,,,0.0,1,0,0.0,0.0,0.005373557047706742,0.34302255130820414,0.34507061241903075,compound,42
latent_distance,full,58,2,0.725737488080224,0.5477430246412863,0.8282720636849994,0.9871794871794872,6,5,0.8333333333333334,8.333333333333334,0.016786837970434804,0.15788601731572052,5.024826689835254,compound,42
latent_distance,common,56,0,0.6974709501025291,0.5318533594010225,0.8099287722223192,0.8466666666666667,6,4,0.6666666666666666,6.666666666666666,0.017825053874910016,0.15127399824456036,4.778775183217866,compound,42
latent_distance,tail,2,2,,,,0.0,1,0,0.0,0.0,0.005373557047706742,0.34302255130820414,11.91426887512207,compound,42
random,full,58,2,0.025685194869113172,-0.21640382953664714,0.2717116489703286,0.625,6,0,0.0,0.0,0.07124396956013891,0.15788601731572052,0.495860197483683,compound,42
random,common,56,0,-0.030758714969241284,-0.2977412842823612,0.22960499427427417,0.47333333333333333,6,0,0.0,0.0,0.07122901480838281,0.15127399824456036,0.48583744160441494,compound,42
random,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,0.34302255130820414,0.776497362103186,compound,42
quantile_width,full,58,2,0.43609461995139814,0.17301205166301267,0.6822957607908716,0.6762820512820512,6,3,0.5,5.0,0.0437863999821523,0.18493082106503145,0.43063140968824254,compound,525
quantile_width,common,56,0,0.3779220779220779,0.10830411173665519,0.6199831937468272,0.5933333333333333,6,1,0.16666666666666666,1.6666666666666665,0.04511625402425825,0.155809713809111,0.391951410099864,compound,525
quantile_width,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,1.0003218242308047,1.5136713981628418,compound,525
ensemble,full,58,2,0.20938816943000402,-0.04618949534470296,0.45308363019753795,0.7147435897435898,6,1,0.16666666666666666,1.6666666666666665,0.04431615610060027,0.18493082106503145,0.04229397726021838,compound,525
ensemble,common,56,0,0.17997265892002734,-0.08067915399828643,0.4395512708562338,0.7466666666666667,6,1,0.16666666666666666,1.6666666666666665,0.04069767753285905,0.155809713809111,0.039460441753929695,compound,525
ensemble,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,1.0003218242308047,0.12163297143630158,compound,525
latent_distance,full,58,2,0.3275708265403427,0.01779908509078821,0.6043838248899401,0.6698717948717948,6,3,0.5,5.0,0.046647458093365075,0.18493082106503145,4.746888046840143,compound,525
latent_distance,common,56,0,0.25700615174299385,-0.03910735921022715,0.5430469632971093,0.6399999999999999,6,2,0.3333333333333333,3.333333333333333,0.04783438984725598,0.155809713809111,4.495125254137175,compound,525
latent_distance,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,1.0003218242308047,11.796246242523193,compound,525
random,full,58,2,0.13008705281614324,-0.13661964241015326,0.37328907815270645,0.6698717948717949,6,2,0.3333333333333333,3.333333333333333,0.05936456682213541,0.18493082106503145,0.4785548800276097,compound,525
random,common,56,0,0.05242652084757349,-0.18678543974794612,0.3257810378370982,0.45333333333333337,6,0,0.0,0.0,0.05966862626563289,0.155809713809111,0.4651204494487322,compound,525
random,tail,2,2,,,,0.0,1,0,0.0,0.0,0.27052616503090493,1.0003218242308047,0.8547189362361794,compound,525
quantile_width,full,58,2,0.44032548593223847,0.1470665332555932,0.6672385923553286,0.9711538461538461,6,4,0.6666666666666666,6.666666666666666,0.04730033160239461,0.24650131831152128,0.38801477772408516,compound,1101
quantile_width,common,56,0,0.37830909641279614,0.07179735780309796,0.6113369072559741,0.9700000000000001,6,3,0.5,5.0,0.048958203337991515,0.20182092754729108,0.3211481600467648,compound,1101
quantile_width,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,1.4975522597099662,2.2602800726890564,compound,1101
ensemble,full,58,2,0.5150820660213421,0.26153233877996435,0.6943405050978971,0.923076923076923,6,2,0.3333333333333333,3.333333333333333,0.039296764188860085,0.24650131831152128,0.05175626721094377,compound,1101
ensemble,common,56,0,0.4616410061575014,0.20470608967989226,0.6632565898501183,0.94,6,4,0.6666666666666666,6.666666666666666,0.04135912627496291,0.20182092754729108,0.03359794296685919,compound,1101
ensemble,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,1.4975522597099662,0.5601893460453119,compound,1101
latent_distance,full,58,2,0.4504160860430311,0.17254153548244006,0.6474112387626316,0.8782051282051283,6,3,0.5,5.0,0.050258592193614546,0.24650131831152128,4.738438921344692,compound,1101
latent_distance,common,56,0,0.39006716735298425,0.13929062308911747,0.6066135567978186,0.8966666666666667,6,3,0.5,5.0,0.051507996791909524,0.20182092754729108,4.05935125627688,compound,1101
latent_distance,tail,2,2,,,,1.0,1,1,1.0,10.0,0.0,1.4975522597099662,23.75289354324341,compound,1101
random,full,58,2,-0.2885047217693562,-0.4749917087052975,-0.03739611741546683,0.2467948717948718,6,0,0.0,0.0,0.20230745062422303,0.24650131831152128,0.47280019961924596,compound,1101
random,common,56,0,-0.24340396445659604,-0.4594388585967793,-0.009631075161679443,0.31,6,0,0.0,0.0,0.12183197330653171,0.20182092754729108,0.4831658511617127,compound,1101
random,tail,2,2,,,,0.0,1,0,0.0,0.0,0.17490238862671775,1.4975522597099662,0.18256195643017764,compound,1101
