signal,slice,n_samples,tail_rows,spearman,spearman_ci_low,spearman_ci_high,hard_error_auroc,top10_count,top10_overlap_count,top10_overlap_rate,enrichment,ause,mean_error,mean_signal,split_mode,outer_seed
quantile_width,full,59,3,0.5552893045002923,0.315918300103911,0.7545773434678458,1.0,6,6,1.0,10.0,0.023879438044465164,0.3047696390019992,0.39226337938995687,row,42
quantile_width,common,56,0,0.4804511278195489,0.20481218796197095,0.6900174954403882,0.9233333333333333,6,3,0.5,5.0,0.02423699469571713,0.21328275379636383,0.3205520162092788,row,42
quantile_width,tail,3,3,1.0,,,1.0,1,1,1.0,10.0,0.0,2.0125248295071914,1.7308754920959473,row,42
ensemble,full,59,3,0.554646405610754,0.310008227233495,0.7450704399370403,1.0,6,6,1.0,10.0,0.02124865930087118,0.3047696390019992,0.04384704561378985,row,42
ensemble,common,56,0,0.47935748462064254,0.2095332095614595,0.684691223145694,0.9633333333333334,6,5,0.8333333333333334,8.333333333333334,0.022236048075123763,0.21328275379636383,0.019721405180205976,row,42
ensemble,tail,3,3,1.0,,,1.0,1,1,1.0,10.0,0.0,2.0125248295071914,0.49419233370735555,row,42
latent_distance,full,59,3,0.5209818819403857,0.28072539550349895,0.7132030326320682,1.0,6,6,1.0,10.0,0.02657352182532468,0.3047696390019992,5.566579049177601,row,42
latent_distance,common,56,0,0.44032809295967196,0.20088495965695402,0.6298846633738132,0.88,6,3,0.5,5.0,0.02642223008533778,0.21328275379636383,4.473739276462906,row,42
latent_distance,tail,3,3,1.0,,,1.0,1,1,1.0,10.0,0.0,2.0125248295071914,25.96625480651856,row,42
random,full,59,3,0.06896551724137932,-0.19576704870562575,0.3271112316478686,0.5188679245283019,6,0,0.0,0.0,0.15327425343729512,0.3047696390019992,0.5266784871374908,row,42
random,common,56,0,0.021394395078605605,-0.22664215691644862,0.2924067215345346,0.4066666666666667,6,0,0.0,0.0,0.1326605077315322,0.21328275379636383,0.5174150592864618,row,42
random,tail,3,3,0.5,,,1.0,1,1,1.0,10.0,0.15232568317153256,2.0125248295071914,0.699595807023365,row,42
quantile_width,full,59,3,0.5353594389246056,0.2898668520296932,0.7410351282576266,0.7955974842767296,6,4,0.6666666666666666,6.666666666666666,0.041151222678540544,0.24677327219305065,0.4356237473124165,row,525
quantile_width,common,56,0,0.4597402597402597,0.19663041588053035,0.6666361423633699,0.7433333333333333,6,2,0.3333333333333333,3.333333333333333,0.04240953948929433,0.14170192967209705,0.35988591451730045,row,525
