split_mode,outer_seed,member_seed,checkpoint,checkpoint_sha256,source_checkpoint,reused_gate0_member,fit_best_epoch,fit_epochs_run,fit_normalized_valid_score,fit_train_rows,fit_validation_rows,fit_trainable_parameters,fit_total_parameters,fit_train_config_hash,fit_labeled_ids_hash,fit_validation_ids_hash
row,42,42,experiments/g0_4_paper_style_transfer/runs/row_seed_42/last2_head/checkpoints/last2_head.pt,c9f77c02d58db78d7c17ace5a0c137ed9c1a8f57fbfb52133e25a010d7bbee13,experiments/e0_4g_baseline/checkpoints/best.pt,True,,,,,,,,,,
row,42,525,experiments/e1_signal_qualification/runs/row_seed_42/member_seed_525/best.pt,947491c66facceea6e381009863493573b0a5208600a8f13ac07b7c47a85f3ad,experiments/e1_signal_qualification/source_members/member_seed_525/checkpoints/best.pt,False,137.0,237.0,0.13111500066202625,458.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,e353e8edd48fd980c57ba2dc319cfcbf06878011526723407c57cef91edeb312,4f01ae208efb1ca64762b694ca9670d599d8f3af0f85c8588385d54a368beeda
row,42,1101,experiments/e1_signal_qualification/runs/row_seed_42/member_seed_1101/best.pt,e58c5b1f8b0d7b2016f9212091896e7a07f6f39479da94bb06d571e0421da154,experiments/e1_signal_qualification/source_members/member_seed_1101/checkpoints/best.pt,False,56.0,156.0,0.25468610142866716,458.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,e353e8edd48fd980c57ba2dc319cfcbf06878011526723407c57cef91edeb312,4f01ae208efb1ca64762b694ca9670d599d8f3af0f85c8588385d54a368beeda
row,525,42,experiments/g0_4_paper_style_transfer/runs/row_seed_525/last2_head/checkpoints/last2_head.pt,f7bbcead20872f93c2106a89243fc41d308b0df497506860c68c2bab802070b0,experiments/e0_4g_baseline/checkpoints/best.pt,True,,,,,,,,,,
row,525,525,experiments/e1_signal_qualification/runs/row_seed_525/member_seed_525/best.pt,7343b9bb65abe091c774c88d9e1d57b705f0d5f0f1590270b71b8b1ba9a91db5,experiments/e1_signal_qualification/source_members/member_seed_525/checkpoints/best.pt,False,113.0,213.0,0.09568689751637768,458.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,abe0f25a0b3906363740552750a0d88feec90c492ec37b159f920b0f7a882a45,c42b28930e3941ff583ba49264a6888112a01c0dba4c9aaae4455eaa7159fd65
row,525,1101,experiments/e1_signal_qualification/runs/row_seed_525/member_seed_1101/best.pt,e8cd4536f661d8fa4c82faa82d8b9abd1a91a8d8700d27585d560e02447d0646,experiments/e1_signal_qualification/source_members/member_seed_1101/checkpoints/best.pt,False,167.0,267.0,0.1478339489855762,458.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,abe0f25a0b3906363740552750a0d88feec90c492ec37b159f920b0f7a882a45,c42b28930e3941ff583ba49264a6888112a01c0dba4c9aaae4455eaa7159fd65
row,1101,42,experiments/g0_4_paper_style_transfer/runs/row_seed_1101/last2_head/checkpoints/last2_head.pt,655d5efb4e779ea394e8e093cb36035c9b7626cfd7f40e7711af3c0149d1a6a0,experiments/e0_4g_baseline/checkpoints/best.pt,True,,,,,,,,,,
row,1101,525,experiments/e1_signal_qualification/runs/row_seed_1101/member_seed_525/best.pt,1eb640f62f5329aa1ba7fbc9b61b54d417d352a54b2de91da055f6996af50d41,experiments/e1_signal_qualification/source_members/member_seed_525/checkpoints/best.pt,False,496.0,500.0,0.16089235057233983,458.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,ffe214c5741a04e837ea159c46318ab9373c377d6109cab8fea8a5261cfb01cc,227070a41c5d59982f66fb7bb11d6d4c804242553ac04742bbd59e4332555b82
row,1101,1101,experiments/e1_signal_qualification/runs/row_seed_1101/member_seed_1101/best.pt,56f2ccc6623023966c24e87fb751897ec3f81eebb0366d354d59ef6315486c61,experiments/e1_signal_qualification/source_members/member_seed_1101/checkpoints/best.pt,False,498.0,500.0,0.12145473446027896,458.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,ffe214c5741a04e837ea159c46318ab9373c377d6109cab8fea8a5261cfb01cc,227070a41c5d59982f66fb7bb11d6d4c804242553ac04742bbd59e4332555b82
compound,42,42,experiments/g0_4_paper_style_transfer/runs/compound_seed_42/last2_head/checkpoints/last2_head.pt,7e4077fd8e8e0b012a2019588743a01385495d5ea6876d4bdd066eaa0e81b109,experiments/e0_4g_baseline/checkpoints/best.pt,True,,,,,,,,,,
compound,42,525,experiments/e1_signal_qualification/runs/compound_seed_42/member_seed_525/best.pt,7bb49bec71681fd726a433cfae30ebce01189116c3cb45e947c372f2ce9fae77,experiments/e1_signal_qualification/source_members/member_seed_525/checkpoints/best.pt,False,209.0,309.0,0.3761929761166119,459.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,ef4ec772f30c361171331f11158fb318bcabaecaca191eb11bc73874e03dc9dc,ceed70e8ba7cd352d708f9a84dd525236e0f2a2e9b4562b9fd7aa670cb21d276
compound,42,1101,experiments/e1_signal_qualification/runs/compound_seed_42/member_seed_1101/best.pt,6327bb6a20accc3b4d17c56ebc7e21a75bea933091589c778d2a4adf9fbbdaf8,experiments/e1_signal_qualification/source_members/member_seed_1101/checkpoints/best.pt,False,96.0,196.0,0.5385206981973792,459.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,ef4ec772f30c361171331f11158fb318bcabaecaca191eb11bc73874e03dc9dc,ceed70e8ba7cd352d708f9a84dd525236e0f2a2e9b4562b9fd7aa670cb21d276
compound,525,42,experiments/g0_4_paper_style_transfer/runs/compound_seed_525/last2_head/checkpoints/last2_head.pt,05f9182f58a6c2af1f487dd50acd87887b389b035fe751f716d0f546f4c5aa0e,experiments/e0_4g_baseline/checkpoints/best.pt,True,,,,,,,,,,
compound,525,525,experiments/e1_signal_qualification/runs/compound_seed_525/member_seed_525/best.pt,d199e3519b1524eed6c12b2157ef3adf60258120705fbbf3a61fa763acd0bd5b,experiments/e1_signal_qualification/source_members/member_seed_525/checkpoints/best.pt,False,229.0,329.0,0.3929436110062634,459.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,b9e6af5a2c8c1d2716a789c2d42317ffade3e8a8193f3960c79b0715b8737f79,9b9d6bd17a524c297ecd243d37d2aa83827329c02c7f1c8aad35336684f5c418
compound,525,1101,experiments/e1_signal_qualification/runs/compound_seed_525/member_seed_1101/best.pt,2b50dd0c0883d6e8c89f465887ccdbb47d5f858943dace5ee50ce61acf646077,experiments/e1_signal_qualification/source_members/member_seed_1101/checkpoints/best.pt,False,26.0,126.0,0.6556404065580815,459.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,b9e6af5a2c8c1d2716a789c2d42317ffade3e8a8193f3960c79b0715b8737f79,9b9d6bd17a524c297ecd243d37d2aa83827329c02c7f1c8aad35336684f5c418
compound,1101,42,experiments/g0_4_paper_style_transfer/runs/compound_seed_1101/last2_head/checkpoints/last2_head.pt,64eb06386c2c562b413cb7ff0564a69908648d2b251e5ae8c792a4e0f24d98e0,experiments/e0_4g_baseline/checkpoints/best.pt,True,,,,,,,,,,
compound,1101,525,experiments/e1_signal_qualification/runs/compound_seed_1101/member_seed_525/best.pt,ad8c8f3985778082ae6784441b5b391a2352cbd19c21af9730ded8a650f0b170,experiments/e1_signal_qualification/source_members/member_seed_525/checkpoints/best.pt,False,35.0,135.0,0.13623786747583844,459.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,c691cc5dc158194e632184287a592cd05d0eac8a2f29b6222564c5cd5c6d8d3a,e2543ce5b9ddd6672b0293c3bb6eeb724ae78c92ed6b1c1ab41657b0bf54c71b
compound,1101,1101,experiments/e1_signal_qualification/runs/compound_seed_1101/member_seed_1101/best.pt,a294aeae93f91806bd059daf4ab4134cf2caa736a4675e78c781698c2dcb9633,experiments/e1_signal_qualification/source_members/member_seed_1101/checkpoints/best.pt,False,91.0,191.0,0.17699077370687497,459.0,57.0,186134.0,775476.0,799d258ac4e646a5dd7315ae817c1d3025d22a657ad9f22d4034bb2507661dc3,c691cc5dc158194e632184287a592cd05d0eac8a2f29b6222564c5cd5c6d8d3a,e2543ce5b9ddd6672b0293c3bb6eeb724ae78c92ed6b1c1ab41657b0bf54c71b
