coverage,risk,oracle_risk,excess_risk,signal,slice,split_mode,outer_seed
0.1016949152542373,0.07851330986659953,0.021997141811132454,0.05651616805546708,quantile_width,full,row,42
0.15254237288135594,0.07520871590742068,0.02682254074150064,0.04838617516592003,quantile_width,full,row,42
0.2033898305084746,0.06651801240262557,0.030538215724143173,0.035979796678482404,quantile_width,full,row,42
0.2542372881355932,0.06360169462217194,0.03414893351105149,0.029452761111120447,quantile_width,full,row,42
0.3050847457627119,0.06228329566242133,0.037384531310227745,0.024898764352193584,quantile_width,full,row,42
0.3559322033898305,0.06054459954248851,0.04075756196422385,0.01978703757826466,quantile_width,full,row,42
0.4067796610169492,0.07199849216518278,0.04464342307839105,0.02735506908679173,quantile_width,full,row,42
0.4576271186440678,0.0715070983438716,0.04810117273792259,0.023405925605949014,quantile_width,full,row,42
0.5084745762711864,0.07568610746785705,0.05147213564109312,0.02421397182676393,quantile_width,full,row,42
0.559322033898305,0.07965319036710361,0.0549091822789306,0.02474400808817301,quantile_width,full,row,42
0.6101694915254238,0.08452917186562367,0.058754449857112395,0.025774722008511275,quantile_width,full,row,42
0.6610169491525424,0.08378337591341314,0.06353623582112318,0.020247140092289964,quantile_width,full,row,42
0.711864406779661,0.09902314225698267,0.06833666272321455,0.030686479533768116,quantile_width,full,row,42
0.7627118644067796,0.11046005912086902,0.07412459247149421,0.036335466649374815,quantile_width,full,row,42
0.8135593220338984,0.11807984053689875,0.08350341877903433,0.03457642175786442,quantile_width,full,row,42
0.864406779661017,0.12553123725154106,0.1065114548781705,0.019019782373370556,quantile_width,full,row,42
0.9152542372881356,0.14200553037994348,0.1420055303799435,-2.7755575615628914e-17,quantile_width,full,row,42
0.9661016949152542,0.22901844694224038,0.20920963621674823,0.01980881072549215,quantile_width,full,row,42
1.0,0.30476963900199916,0.30476963900199916,0.0,quantile_width,full,row,42
0.10714285714285714,0.07851330986659953,0.021997141811132454,0.05651616805546708,quantile_width,common,row,42
0.16071428571428573,0.07520871590742068,0.02682254074150064,0.04838617516592003,quantile_width,common,row,42
0.21428571428571427,0.06651801240262557,0.030538215724143173,0.035979796678482404,quantile_width,common,row,42
0.25,0.06686661582569141,0.03308732725405066,0.033779288571640746,quantile_width,common,row,42
0.30357142857142855,0.06288487771071284,0.03620635277258772,0.02667852493812512,quantile_width,common,row,42
0.35714285714285715,0.06180493370518262,0.03970212711248795,0.022102806592694667,quantile_width,common,row,42
0.4107142857142857,0.06945911783912559,0.043453531431482804,0.026005586407642785,quantile_width,common,row,42
0.4642857142857143,0.07187789985713813,0.04692218254110345,0.024955717316034687,quantile_width,common,row,42
0.5,0.0722414996612182,0.04926811976357758,0.022973379897640624,quantile_width,common,row,42
0.5535714285714286,0.07520545964747626,0.0526210433767187,0.022584416270757558,quantile_width,common,row,42
0.6071428571428571,0.07991869462974333,0.05601237326269735,0.023906321367045978,quantile_width,common,row,42
0.6607142857142857,0.0847423746726879,0.06031339745043832,0.024428977222249577,quantile_width,common,row,42
0.7142857142857143,0.08500287632636991,0.06520793246720757,0.019794943859162334,quantile_width,common,row,42
0.75,0.09902314225698267,0.06833666272321455,0.030686479533768116,quantile_width,common,row,42
0.8035714285714286,0.11046005912086902,0.07412459247149421,0.036335466649374815,quantile_width,common,row,42
0.8571428571428571,0.11807984053689875,0.08350341877903433,0.03457642175786442,quantile_width,common,row,42
0.9107142857142857,0.12553123725154106,0.1065114548781705,0.019019782373370556,quantile_width,common,row,42
0.9642857142857143,0.14200553037994348,0.1420055303799435,-2.7755575615628914e-17,quantile_width,common,row,42
1.0,0.21328275379636383,0.21328275379636388,-5.551115123125783e-17,quantile_width,common,row,42
0.3333333333333333,1.1102172631113274,1.1102172631113274,0.0,quantile_width,tail,row,42
0.6666666666666666,1.5671943126259251,1.5671943126259251,0.0,quantile_width,tail,row,42
1.0,2.0125248295071914,2.0125248295071914,0.0,quantile_width,tail,row,42
0.1016949152542373,0.06447079013950013,0.021997141811132454,0.04247364832836768,ensemble,full,row,42
0.15254237288135594,0.07967698289431091,0.02682254074150064,0.052854442152810266,ensemble,full,row,42
0.2033898305084746,0.07161084410492001,0.030538215724143173,0.04107262838077684,ensemble,full,row,42
0.2542372881355932,0.07060548767153987,0.03414893351105149,0.03645655416048838,ensemble,full,row,42
0.3050847457627119,0.06852039910128929,0.037384531310227745,0.031135867791061547,ensemble,full,row,42
0.3559322033898305,0.0689350652514923,0.04075756196422385,0.02817750328726845,ensemble,full,row,42
0.4067796610169492,0.06901132629973651,0.04464342307839105,0.02436790322134546,ensemble,full,row,42
0.4576271186440678,0.06909401367538885,0.04810117273792259,0.020992840937466263,ensemble,full,row,42
