method,mean,std,min,max
affine,0.5696406564094524,0.13035276385977568,0.44488774554165544,0.760503823027548
target_head_only,0.5968763500985167,0.1417200837374005,0.4814870640529102,0.8439309362091233
last2,0.6915127300488915,0.17340361366017368,0.49987527193131215,0.9176444854928691
full_finetune,1.0044605384935887,0.17832336871781004,0.7403600554622276,1.1795998684360995
zero_shot,1.3788872923251,0.3103968643083549,0.8505755882312274,1.616718190774491
