seed,method,normalized_aulc
536279090,affine,0.6413170002864635
536279090,full_finetune,1.0317555623937802
536279090,last2,0.6188045989432466
536279090,target_head_only,0.5645563027465363
536279090,zero_shot,1.568711623732167
769539383,affine,0.4748122139120716
769539383,full_finetune,0.9254581096918991
769539383,last2,0.5957324286051519
769539383,target_head_only,0.5492467125579541
769539383,zero_shot,1.363607142583105
1362771960,affine,0.5266824992795229
1362771960,full_finetune,1.1451290964839376
1362771960,last2,0.8255068652718777
1362771960,target_head_only,0.5451607349260594
1362771960,zero_shot,1.4948239163045098
1425370602,affine,0.44488774554165544
1425370602,full_finetune,0.7403600554622276
1425370602,last2,0.49987527193131215
1425370602,target_head_only,0.4814870640529102
1425370602,zero_shot,0.8505755882312274
2767143051,affine,0.760503823027548
2767143051,full_finetune,1.1795998684360995
2767143051,last2,0.9176444854928691
2767143051,target_head_only,0.8439309362091233
2767143051,zero_shot,1.616718190774491
