outer_seed,arm,fit_contract_hash,initialization_seed,initialization_hash,train_ids_hash,validation_ids_hash,train_rows,validation_rows,best_epoch,epochs_run,best_validation_combined_normalized_rmse,checkpoint_sha256,prediction_sha256,prediction_rows,training_seconds,test_labels_used_for_fit_or_checkpoint_selection,test_graph_label_state,model_variant,parameter_count
311,random_control_1,d52bd7885de03c64f8c9b00334a02da2969101e333b17550542e11d3c6d8d2ea,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,cac2e02698f009170acc7b3863cb36e51771b06a646aadadadebb812bd9a8d9c,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,666,416,78,178,0.5861150204839919,6593fcc61c4ee82391dd7811035ac2aea9843980fdcc0aa425e3f3f736e21a3d,fb56e80da150c8689a44c950cf23e74f3a04b1adfc5f9adfb1fae23ab9b84e68,417,179.05101866699988,0,zero_sentinel,qgeognn_v2,458952
311,random_control_2,62c3e1f5470a8a1b81966edcd458636badef44e32c0c3100b1eee268bddf3e0c,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,1d451332fcadee4991e1bfc4c0468b10bf6ffa6c890fc8624f456361da21d414,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,666,416,50,150,0.5654330476157681,86c459e5e267a5c29e2e11a7b650aa13bbd59d9dd4b52ae8ad33320f2fb7bdc4,3ba9a63534301ac3e71861dc8a7db35d972c00674a627349099e61869fb9e0cd,417,167.17066308297217,0,zero_sentinel,qgeognn_v2,458952
311,random_control_3,ef506f382751019e42a56b3b98b563c7b86f3c1d3428d0037fd45798aef68640,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,06a157369b32777fe45c741d38a9e014c248bc859838dcbb17d331feebc472dc,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,666,416,132,232,0.5124840209950856,f0e2dc3cc41b3509259af3bfddf6fba0b137d535eba42ba519f8e704bfb7f885,9ee2197b3e8763948eccc29785c2a2beb66bb7a81119759bb9106615b32d0baa,417,277.6565851250198,0,zero_sentinel,qgeognn_v2,458952
311,random_control_4,79ff2dc1152d444bf2a3d89fa8496f9a5e2507e1c8fe75f257087d3b29f2d67a,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,ac2a88dd748ad1f8d22d49f51a3e397a53adf26323fcb4d1e38939dfa8400697,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,666,416,102,202,0.5972242014614791,bd3e07a2b711225b7aed9d05c0f3d4acd845232dfd72544e10a7fc28d4dd1cd4,5a018083b64c063268e25cd04b762065bcc61f65249c697c778650901539d67c,417,413.8038973339717,0,zero_sentinel,qgeognn_v2,458952
1297,baseline_l0,986cbbbd4b467960f9131ab53a373d47e089d17e4941407f149124d587a054ec,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,c3543c5ca4b5bc59df68cc3dbeeacb5f522ce29c53b5adbd226f7ff24882c155,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,333,416,69,169,0.5979835373479928,fcd1977d5954f4b886fdf87dcf41d148f6162f39b3a303f8873268b1ead20c22,31e0b253c35515e8f2aa4aa71bfeede3d85316084d482d26f686f8d47dbe7a57,1166,105.65003420796712,0,zero_sentinel,qgeognn_v2,458952
1297,lcmd,d9abad3abab42b92f7900395ff7ac8bf33b320aa2051bd5fd9423d5e9eab1d17,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,0289d19a673a8b2fb27e0bcaefc2c4af17705a852dd83a362f1a07e653572498,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,666,416,65,165,0.4036752280868,d7551261ec4081508cda67929540c1117f8fd5135ab38bdd9ff3f70f0af63c62,bc8098654cc458969bf397f689b9d7d808c65e2987bb15766ec939e887cbd120,417,161.42188279196853,0,zero_sentinel,qgeognn_v2,458952
1297,random_control_0,498bc1643235d81cdd3e896c97bed5030f27bd0ba3c5bc76f85582ec66c77b39,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,f9aaef6da42b909c1877014c30dd0ff7c9c9cc048145a6b146e39d14d9a8a0e8,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,666,416,60,160,0.5702221094370598,e18e708a0bfe92ff68b5da78e79161d4632b71212c6495ba13624bfb2c610749,2ea06fc1eae0df9adb3ec0715d2c29526080e1127b59617e53950fe0865d3d8c,417,160.91319245804334,0,zero_sentinel,qgeognn_v2,458952
1297,random_control_1,70082bab39a8d7ce65d97ab1d758f5ec6bd18b9c7b4dfc4d45c441dab0627f93,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,f4dc85444bfcf3e563bc1a4275095d6241f770ca6a134091828c62fdbec390d5,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,666,416,93,193,0.5062853701817022,73e213cee42798599a96bacf8bd9a5298da03b9ac3c57c3687a8a9f8030e914d,b2217cf36d1a4faefca4611bbfb1603c10adb2b7f20c647145c803e5e56d8783,417,196.6953910410521,0,zero_sentinel,qgeognn_v2,458952
1297,random_control_2,c283fab111607796acf7a0f14bb233b915a9f9bd753ec9de6929bb0c04a317bc,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,709d072d4a99336227a655e89afeb1e5c66655a49bafc3a9ca210e7411890aa4,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,666,416,130,230,0.4570906390028727,525ac912102ec5e0248b1d616c13d5cc4aa2a762d0a6237f4d0ebe8559453029,c0b93e6d4e090e84a9bbbe4a4a25c3a89acf38b1750ab9c35d3ad0e57646c6ac,417,244.191001875035,0,zero_sentinel,qgeognn_v2,458952
1297,random_control_3,8ba42567f438f683251409dc1a81368536595f31908900e68c1b174bbdcb6fff,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,aaf1d3b9a94c88e03acd65dc2898293e5aec2ef874b6eb1b2ac3105cf63e38eb,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,666,416,95,195,0.5353874463852294,ee23f74cfa8a1fa51060cd50f3c2acd80394291a32c45e54019c37c7338169f0,da9c1f2bba5ab1e7aff92cce825a3319f59066c95c93ed6962c55e1f823fc4f0,417,241.46732391702244,0,zero_sentinel,qgeognn_v2,458952
