outer_seed,baseline_L0_NRMSE,LCMD_after_NRMSE,LCMD_gain,Random_after_NRMSE_mean,Random_after_NRMSE_median,Random_gain_mean,Random_gain_median,Random_gain_min,Random_gain_max,LCMD_minus_Random_mean,LCMD_minus_Random_median,LCMD_beat_count,LCMD_percentile_among_controls
73,0.9060071987044153,0.4931230105418764,0.41288418816253886,0.7925711094816585,0.7998200524037483,0.11343608922275676,0.10618714630066695,0.06528773951262135,0.18785376838116075,0.2994480989397821,0.3066970418618719,5,1.0
311,0.8370259008474962,0.48597437104135477,0.3510515298061414,0.7371224081256764,0.7385457112369219,0.09990349272181973,0.09848018961057425,0.0010797421844557231,0.19766567390733225,0.25114803708432165,0.25257134019556715,5,1.0
1297,0.7085251894017569,0.44693935561624715,0.26158583378550976,0.6028839109253601,0.6029102047828596,0.10564127847639677,0.10561498461889729,0.0886763048658411,0.12762654867255074,0.155944555309113,0.15597084916661247,5,1.0
4093,0.6538488839229488,0.3742203436100851,0.2796285403128637,0.5199909230652344,0.5210073732853836,0.13385796085771443,0.13284151063756522,0.07910958947987434,0.1923819216523312,0.1457705794551493,0.1467870296752985,5,1.0
8191,0.7743949296661449,0.4008085719976819,0.373586357668463,0.5695573842697159,0.5995473407113566,0.20483754539642893,0.17484758895478825,0.1567680094585998,0.29207140195943015,0.16874881227203406,0.19873876871367474,5,1.0
