outer_seed,arm,training_seconds,epochs_run,best_epoch,gradient_feature_seconds,peak_rss_bytes
73,baseline_l0,106.6306999589433,221,121,43.26524633297231,1609924608
73,lcmd,330.5110594589496,443,343,43.26524633297231,1609924608
73,random_control_0,129.65442966698902,183,83,43.26524633297231,1609924608
73,random_control_1,175.33509320800658,246,146,43.26524633297231,1609924608
73,random_control_2,152.31049570802134,208,108,43.26524633297231,1609924608
73,random_control_3,134.1478123330162,178,78,43.26524633297231,1609924608
73,random_control_4,138.81646874995204,190,90,43.26524633297231,1609924608
311,baseline_l0,105.0458502919646,170,70,48.700084000010975,1487585280
311,lcmd,233.3371356659918,239,139,48.700084000010975,1487585280
311,random_control_0,240.72297970898217,238,138,48.700084000010975,1487585280
311,random_control_1,179.05101866699988,178,78,48.700084000010975,1487585280
311,random_control_2,167.17066308297217,150,50,48.700084000010975,1487585280
311,random_control_3,277.6565851250198,232,132,48.700084000010975,1487585280
311,random_control_4,413.8038973339717,202,102,48.700084000010975,1487585280
1297,baseline_l0,105.65003420796712,169,69,46.81420383398654,1474527232
1297,lcmd,161.42188279196853,165,65,46.81420383398654,1474527232
1297,random_control_0,160.91319245804334,160,60,46.81420383398654,1474527232
1297,random_control_1,196.6953910410521,193,93,46.81420383398654,1474527232
1297,random_control_2,244.191001875035,230,130,46.81420383398654,1474527232
1297,random_control_3,241.46732391702244,195,95,46.81420383398654,1474527232
1297,random_control_4,317.8578034589882,198,98,46.81420383398654,1474527232
4093,baseline_l0,306.5953619159991,210,110,78.59924270800548,1799880704
4093,lcmd,249.6529108750401,219,119,78.59924270800548,1799880704
4093,random_control_0,307.8207275829627,191,91,78.59924270800548,1799880704
4093,random_control_1,273.9112329999916,162,62,78.59924270800548,1799880704
4093,random_control_2,348.6665411249851,217,117,78.59924270800548,1799880704
4093,random_control_3,390.868040958012,247,147,78.59924270800548,1799880704
4093,random_control_4,288.9072322080028,179,79,78.59924270800548,1799880704
8191,baseline_l0,172.94356475002132,135,35,53.42990008398192,1877245952
8191,lcmd,359.3872862079879,281,181,53.42990008398192,1877245952
8191,random_control_0,261.6240616670111,157,57,53.42990008398192,1877245952
8191,random_control_1,262.11301116697723,165,65,53.42990008398192,1877245952
8191,random_control_2,295.7012265829835,184,84,53.42990008398192,1877245952
8191,random_control_3,428.83730187499896,272,172,53.42990008398192,1877245952
8191,random_control_4,253.6892444580444,167,67,53.42990008398192,1877245952
