parameter_name,parameter_count,requires_grad,gradient_tensor_observed,ever_nonzero_elements,shape,outer_seed
backbone.convs_bond_float.0.linear_list.0.bias,128,True,True,128,128,73
backbone.convs_bond_float.0.linear_list.1.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.0.linear_list.1.bias,128,True,True,128,128,73
backbone.convs_bond_float.0.linear_list.2.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.0.linear_list.2.bias,128,True,True,128,128,73
backbone.convs_bond_float.0.linear_list.3.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.0.linear_list.3.bias,128,True,True,128,128,73
backbone.convs_bond_float.0.linear_list.4.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.0.linear_list.4.bias,128,True,True,128,128,73
backbone.convs_bond_float.0.rbf_list.0.gamma,1,True,True,1,1,73
backbone.convs_bond_float.0.rbf_list.1.gamma,1,True,True,1,1,73
backbone.convs_bond_float.0.rbf_list.2.gamma,1,True,True,1,1,73
backbone.convs_bond_float.0.rbf_list.3.gamma,1,True,True,1,1,73
backbone.convs_bond_float.0.rbf_list.4.gamma,1,True,True,1,1,73
backbone.convs_bond_float.1.linear_list.0.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.1.linear_list.0.bias,128,True,True,128,128,73
backbone.convs_bond_float.1.linear_list.1.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.1.linear_list.1.bias,128,True,True,128,128,73
backbone.convs_bond_float.1.linear_list.2.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.1.linear_list.2.bias,128,True,True,128,128,73
backbone.convs_bond_float.1.linear_list.3.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.1.linear_list.3.bias,128,True,True,128,128,73
backbone.convs_bond_float.1.linear_list.4.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.1.linear_list.4.bias,128,True,True,128,128,73
backbone.convs_bond_float.1.rbf_list.0.gamma,1,True,True,1,1,73
backbone.convs_bond_float.1.rbf_list.1.gamma,1,True,True,1,1,73
backbone.convs_bond_float.1.rbf_list.2.gamma,1,True,True,1,1,73
backbone.convs_bond_float.1.rbf_list.3.gamma,1,True,True,1,1,73
backbone.convs_bond_float.1.rbf_list.4.gamma,1,True,True,1,1,73
backbone.convs_bond_float.2.linear_list.0.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.2.linear_list.0.bias,128,True,True,128,128,73
backbone.convs_bond_float.2.linear_list.1.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.2.linear_list.1.bias,128,True,True,128,128,73
backbone.convs_bond_float.2.linear_list.2.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.2.linear_list.2.bias,128,True,True,128,128,73
backbone.convs_bond_float.2.linear_list.3.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.2.linear_list.3.bias,128,True,True,128,128,73
backbone.convs_bond_float.2.linear_list.4.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.2.linear_list.4.bias,128,True,True,128,128,73
backbone.convs_bond_float.2.rbf_list.0.gamma,1,True,True,1,1,73
backbone.convs_bond_float.2.rbf_list.1.gamma,1,True,True,1,1,73
backbone.convs_bond_float.2.rbf_list.2.gamma,1,True,True,1,1,73
backbone.convs_bond_float.2.rbf_list.3.gamma,1,True,True,1,1,73
backbone.convs_bond_float.2.rbf_list.4.gamma,1,True,True,1,1,73
backbone.convs_bond_float.3.linear_list.0.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.3.linear_list.0.bias,128,True,True,128,128,73
backbone.convs_bond_float.3.linear_list.1.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.3.linear_list.1.bias,128,True,True,128,128,73
backbone.convs_bond_float.3.linear_list.2.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.3.linear_list.2.bias,128,True,True,128,128,73
backbone.convs_bond_float.3.linear_list.3.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.3.linear_list.3.bias,128,True,True,128,128,73
backbone.convs_bond_float.3.linear_list.4.weight,2560,True,True,2560,128x20,73
backbone.convs_bond_float.3.linear_list.4.bias,128,True,True,128,128,73
backbone.convs_bond_float.3.rbf_list.0.gamma,1,True,True,1,1,73
backbone.convs_bond_float.3.rbf_list.1.gamma,1,True,True,1,1,73
backbone.convs_bond_float.3.rbf_list.2.gamma,1,True,True,1,1,73
backbone.convs_bond_float.3.rbf_list.3.gamma,1,True,True,1,1,73
backbone.convs_bond_float.3.rbf_list.4.gamma,1,True,True,1,1,73
backbone.convs_bond_embeding.0.bond_embedding_list.0.weight,1664,True,True,512,13x128,73
backbone.convs_bond_embeding.0.bond_embedding_list.1.weight,3584,True,True,640,28x128,73
backbone.convs_bond_embeding.0.bond_embedding_list.2.weight,1024,True,True,384,8x128,73
backbone.convs_bond_embeding.1.bond_embedding_list.0.weight,1664,True,True,512,13x128,73
backbone.convs_bond_embeding.1.bond_embedding_list.1.weight,3584,True,True,640,28x128,73
backbone.convs_bond_embeding.1.bond_embedding_list.2.weight,1024,True,True,384,8x128,73
backbone.convs_bond_embeding.2.bond_embedding_list.0.weight,1664,True,True,512,13x128,73
backbone.convs_bond_embeding.2.bond_embedding_list.1.weight,3584,True,True,640,28x128,73
backbone.convs_bond_embeding.2.bond_embedding_list.2.weight,1024,True,True,384,8x128,73
backbone.convs_bond_embeding.3.bond_embedding_list.0.weight,1664,True,True,512,13x128,73
backbone.convs_bond_embeding.3.bond_embedding_list.1.weight,3584,True,True,640,28x128,73
backbone.convs_bond_embeding.3.bond_embedding_list.2.weight,1024,True,True,384,8x128,73
backbone.convs_angle_float.0.linear_list.0.weight,4096,True,True,3136,128x32,73
backbone.convs_angle_float.0.linear_list.0.bias,128,True,True,98,128,73
backbone.convs_angle_float.0.linear_list.1.weight,2048,True,True,1545,128x16,73
backbone.convs_angle_float.0.linear_list.1.bias,128,True,True,98,128,73
backbone.convs_angle_float.0.rbf_list.0.gamma,1,True,True,1,1,73
backbone.convs_angle_float.1.linear_list.0.weight,4096,True,True,3104,128x32,73
backbone.convs_angle_float.1.linear_list.0.bias,128,True,True,97,128,73
backbone.convs_angle_float.1.linear_list.1.weight,2048,True,True,1529,128x16,73
backbone.convs_angle_float.1.linear_list.1.bias,128,True,True,97,128,73
backbone.convs_angle_float.1.rbf_list.0.gamma,1,True,True,1,1,73
backbone.convs_angle_float.2.linear_list.0.weight,4096,True,True,3070,128x32,73
backbone.convs_angle_float.2.linear_list.0.bias,128,True,True,96,128,73
backbone.convs_angle_float.2.linear_list.1.weight,2048,True,True,1506,128x16,73
backbone.convs_angle_float.2.linear_list.1.bias,128,True,True,96,128,73
backbone.convs_angle_float.2.rbf_list.0.gamma,1,True,True,1,1,73
backbone.convs_angle_float.3.linear_list.0.weight,4096,True,True,3007,128x32,73
backbone.convs_angle_float.3.linear_list.0.bias,128,True,True,94,128,73
backbone.convs_angle_float.3.linear_list.1.weight,2048,True,True,1462,128x16,73
backbone.convs_angle_float.3.linear_list.1.bias,128,True,True,94,128,73
backbone.convs_angle_float.3.rbf_list.0.gamma,1,True,True,1,1,73
head.0.weight,768,True,True,256,6x128,73
head.0.bias,6,True,True,2,6,73
condition_branch.solvent_embedding.weight,12,True,True,12,3x4,73
condition_branch.hidden.weight,128,True,True,111,16x8,73
condition_branch.hidden.bias,16,True,True,14,16,73
condition_branch.output.weight,2048,True,True,1792,128x16,73
condition_branch.output.bias,128,True,True,128,128,73
backbone.atom_encoder.atom_embedding_list.0.weight,15872,True,True,1280,124x128,311
backbone.atom_encoder.atom_embedding_list.1.weight,1792,True,True,256,14x128,311
backbone.atom_encoder.atom_embedding_list.2.weight,2176,True,True,512,17x128,311
backbone.atom_encoder.atom_embedding_list.3.weight,2432,True,True,512,19x128,311
backbone.atom_encoder.atom_embedding_list.4.weight,2816,True,True,384,22x128,311
backbone.atom_encoder.atom_embedding_list.5.weight,1792,True,True,384,14x128,311
backbone.atom_encoder.atom_embedding_list.6.weight,2432,True,True,512,19x128,311
backbone.atom_encoder.atom_embedding_list.7.weight,896,True,True,256,7x128,311
backbone.atom_encoder.atom_embedding_list.8.weight,1920,True,True,512,15x128,311
backbone.bond_encoder.bond_embedding_list.0.weight,1664,True,True,333,13x128,311
backbone.bond_encoder.bond_embedding_list.1.weight,3584,True,True,411,28x128,311
backbone.bond_encoder.bond_embedding_list.2.weight,1024,True,True,263,8x128,311
backbone.bond_float_encoder.linear_list.0.weight,2560,True,True,1900,128x20,311
backbone.bond_float_encoder.linear_list.0.bias,128,True,True,95,128,311
backbone.bond_float_encoder.linear_list.1.weight,2560,True,True,1900,128x20,311
backbone.bond_float_encoder.linear_list.1.bias,128,True,True,95,128,311
backbone.bond_float_encoder.linear_list.2.weight,2560,True,True,1900,128x20,311
backbone.bond_float_encoder.linear_list.2.bias,128,True,True,95,128,311
backbone.bond_float_encoder.linear_list.3.weight,2560,True,True,1900,128x20,311
backbone.bond_float_encoder.linear_list.3.bias,128,True,True,95,128,311
backbone.bond_float_encoder.linear_list.4.weight,2560,True,True,1900,128x20,311
backbone.bond_float_encoder.linear_list.4.bias,128,True,True,95,128,311
backbone.bond_float_encoder.rbf_list.0.gamma,1,True,True,1,1,311
backbone.bond_float_encoder.rbf_list.1.gamma,1,True,True,1,1,311
backbone.bond_float_encoder.rbf_list.2.gamma,1,True,True,1,1,311
backbone.bond_float_encoder.rbf_list.3.gamma,1,True,True,1,1,311
backbone.bond_float_encoder.rbf_list.4.gamma,1,True,True,1,1,311
backbone.convs.0.eps,1,True,True,1,1,311
backbone.convs.0.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs.0.mlp.0.bias,128,True,True,128,128,311
backbone.convs.0.mlp.1.weight,128,True,True,128,128,311
backbone.convs.0.mlp.1.bias,128,True,True,128,128,311
backbone.convs.0.mlp.3.weight,16384,True,True,16060,128x128,311
backbone.convs.0.mlp.3.bias,128,True,True,127,128,311
backbone.convs.1.eps,1,True,True,1,1,311
backbone.convs.1.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs.1.mlp.0.bias,128,True,True,128,128,311
backbone.convs.1.mlp.1.weight,128,True,True,128,128,311
backbone.convs.1.mlp.1.bias,128,True,True,128,128,311
backbone.convs.1.mlp.3.weight,16384,True,True,16346,128x128,311
backbone.convs.1.mlp.3.bias,128,True,True,128,128,311
backbone.convs.2.eps,1,True,True,1,1,311
backbone.convs.2.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs.2.mlp.0.bias,128,True,True,128,128,311
backbone.convs.2.mlp.1.weight,128,True,True,128,128,311
backbone.convs.2.mlp.1.bias,128,True,True,128,128,311
backbone.convs.2.mlp.3.weight,16384,True,True,16371,128x128,311
backbone.convs.2.mlp.3.bias,128,True,True,128,128,311
backbone.convs.3.eps,1,True,True,1,1,311
backbone.convs.3.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs.3.mlp.0.bias,128,True,True,128,128,311
backbone.convs.3.mlp.1.weight,128,True,True,128,128,311
backbone.convs.3.mlp.1.bias,128,True,True,128,128,311
backbone.convs.3.mlp.3.weight,16384,True,True,16384,128x128,311
backbone.convs.3.mlp.3.bias,128,True,True,128,128,311
backbone.convs.4.eps,1,True,True,1,1,311
backbone.convs.4.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs.4.mlp.0.bias,128,True,True,128,128,311
backbone.convs.4.mlp.1.weight,128,True,True,128,128,311
backbone.convs.4.mlp.1.bias,128,True,True,128,128,311
backbone.convs.4.mlp.3.weight,16384,True,True,16384,128x128,311
backbone.convs.4.mlp.3.bias,128,True,True,128,128,311
backbone.convs_bond_angle.0.eps,1,True,True,1,1,311
backbone.convs_bond_angle.0.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs_bond_angle.0.mlp.0.bias,128,True,True,128,128,311
backbone.convs_bond_angle.0.mlp.1.weight,128,True,True,128,128,311
backbone.convs_bond_angle.0.mlp.1.bias,128,True,True,128,128,311
backbone.convs_bond_angle.0.mlp.3.weight,16384,True,True,15609,128x128,311
backbone.convs_bond_angle.0.mlp.3.bias,128,True,True,122,128,311
backbone.convs_bond_angle.1.eps,1,True,True,1,1,311
backbone.convs_bond_angle.1.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs_bond_angle.1.mlp.0.bias,128,True,True,128,128,311
backbone.convs_bond_angle.1.mlp.1.weight,128,True,True,128,128,311
backbone.convs_bond_angle.1.mlp.1.bias,128,True,True,128,128,311
backbone.convs_bond_angle.1.mlp.3.weight,16384,True,True,16152,128x128,311
backbone.convs_bond_angle.1.mlp.3.bias,128,True,True,127,128,311
