parameter_name,parameter_count,requires_grad,gradient_tensor_observed,ever_nonzero_elements,shape,outer_seed
backbone.atom_encoder.atom_embedding_list.1.weight,1792,True,True,256,14x128,1297
backbone.atom_encoder.atom_embedding_list.2.weight,2176,True,True,512,17x128,1297
backbone.atom_encoder.atom_embedding_list.3.weight,2432,True,True,512,19x128,1297
backbone.atom_encoder.atom_embedding_list.4.weight,2816,True,True,384,22x128,1297
backbone.atom_encoder.atom_embedding_list.5.weight,1792,True,True,384,14x128,1297
backbone.atom_encoder.atom_embedding_list.6.weight,2432,True,True,512,19x128,1297
backbone.atom_encoder.atom_embedding_list.7.weight,896,True,True,256,7x128,1297
backbone.atom_encoder.atom_embedding_list.8.weight,1920,True,True,512,15x128,1297
backbone.bond_encoder.bond_embedding_list.0.weight,1664,True,True,300,13x128,1297
backbone.bond_encoder.bond_embedding_list.1.weight,3584,True,True,366,28x128,1297
backbone.bond_encoder.bond_embedding_list.2.weight,1024,True,True,238,8x128,1297
backbone.bond_float_encoder.linear_list.0.weight,2560,True,True,1720,128x20,1297
backbone.bond_float_encoder.linear_list.0.bias,128,True,True,86,128,1297
backbone.bond_float_encoder.linear_list.1.weight,2560,True,True,1720,128x20,1297
backbone.bond_float_encoder.linear_list.1.bias,128,True,True,86,128,1297
backbone.bond_float_encoder.linear_list.2.weight,2560,True,True,1720,128x20,1297
backbone.bond_float_encoder.linear_list.2.bias,128,True,True,86,128,1297
backbone.bond_float_encoder.linear_list.3.weight,2560,True,True,1720,128x20,1297
backbone.bond_float_encoder.linear_list.3.bias,128,True,True,86,128,1297
backbone.bond_float_encoder.linear_list.4.weight,2560,True,True,1720,128x20,1297
backbone.bond_float_encoder.linear_list.4.bias,128,True,True,86,128,1297
backbone.bond_float_encoder.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.bond_float_encoder.rbf_list.1.gamma,1,True,True,1,1,1297
backbone.bond_float_encoder.rbf_list.2.gamma,1,True,True,1,1,1297
backbone.bond_float_encoder.rbf_list.3.gamma,1,True,True,1,1,1297
backbone.bond_float_encoder.rbf_list.4.gamma,1,True,True,1,1,1297
backbone.convs.0.eps,1,True,True,1,1,1297
backbone.convs.0.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs.0.mlp.0.bias,128,True,True,128,128,1297
backbone.convs.0.mlp.1.weight,128,True,True,128,128,1297
backbone.convs.0.mlp.1.bias,128,True,True,128,128,1297
backbone.convs.0.mlp.3.weight,16384,True,True,16075,128x128,1297
backbone.convs.0.mlp.3.bias,128,True,True,127,128,1297
backbone.convs.1.eps,1,True,True,1,1,1297
backbone.convs.1.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs.1.mlp.0.bias,128,True,True,128,128,1297
backbone.convs.1.mlp.1.weight,128,True,True,128,128,1297
backbone.convs.1.mlp.1.bias,128,True,True,128,128,1297
backbone.convs.1.mlp.3.weight,16384,True,True,16363,128x128,1297
backbone.convs.1.mlp.3.bias,128,True,True,128,128,1297
backbone.convs.2.eps,1,True,True,1,1,1297
backbone.convs.2.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs.2.mlp.0.bias,128,True,True,128,128,1297
backbone.convs.2.mlp.1.weight,128,True,True,128,128,1297
backbone.convs.2.mlp.1.bias,128,True,True,128,128,1297
backbone.convs.2.mlp.3.weight,16384,True,True,16356,128x128,1297
backbone.convs.2.mlp.3.bias,128,True,True,128,128,1297
backbone.convs.3.eps,1,True,True,1,1,1297
backbone.convs.3.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs.3.mlp.0.bias,128,True,True,128,128,1297
backbone.convs.3.mlp.1.weight,128,True,True,128,128,1297
backbone.convs.3.mlp.1.bias,128,True,True,128,128,1297
backbone.convs.3.mlp.3.weight,16384,True,True,16198,128x128,1297
backbone.convs.3.mlp.3.bias,128,True,True,127,128,1297
backbone.convs.4.eps,1,True,True,1,1,1297
backbone.convs.4.mlp.0.weight,16384,True,True,16335,128x128,1297
backbone.convs.4.mlp.0.bias,128,True,True,128,128,1297
backbone.convs.4.mlp.1.weight,128,True,True,128,128,1297
backbone.convs.4.mlp.1.bias,128,True,True,128,128,1297
backbone.convs.4.mlp.3.weight,16384,True,True,16384,128x128,1297
backbone.convs.4.mlp.3.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.0.eps,1,True,True,1,1,1297
backbone.convs_bond_angle.0.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs_bond_angle.0.mlp.0.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.0.mlp.1.weight,128,True,True,128,128,1297
backbone.convs_bond_angle.0.mlp.1.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.0.mlp.3.weight,16384,True,True,16160,128x128,1297
backbone.convs_bond_angle.0.mlp.3.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.1.eps,1,True,True,1,1,1297
backbone.convs_bond_angle.1.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs_bond_angle.1.mlp.0.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.1.mlp.1.weight,128,True,True,128,128,1297
backbone.convs_bond_angle.1.mlp.1.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.1.mlp.3.weight,16384,True,True,16108,128x128,1297
backbone.convs_bond_angle.1.mlp.3.bias,128,True,True,127,128,1297
backbone.convs_bond_angle.2.eps,1,True,True,1,1,1297
backbone.convs_bond_angle.2.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs_bond_angle.2.mlp.0.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.2.mlp.1.weight,128,True,True,128,128,1297
backbone.convs_bond_angle.2.mlp.1.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.2.mlp.3.weight,16384,True,True,16233,128x128,1297
backbone.convs_bond_angle.2.mlp.3.bias,128,True,True,127,128,1297
backbone.convs_bond_angle.3.eps,1,True,True,1,1,1297
backbone.convs_bond_angle.3.mlp.0.weight,16384,True,True,16384,128x128,1297
backbone.convs_bond_angle.3.mlp.0.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.3.mlp.1.weight,128,True,True,128,128,1297
backbone.convs_bond_angle.3.mlp.1.bias,128,True,True,128,128,1297
backbone.convs_bond_angle.3.mlp.3.weight,16384,True,True,15710,128x128,1297
backbone.convs_bond_angle.3.mlp.3.bias,128,True,True,126,128,1297
backbone.convs_bond_float.0.linear_list.0.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.0.linear_list.0.bias,128,True,True,128,128,1297
backbone.convs_bond_float.0.linear_list.1.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.0.linear_list.1.bias,128,True,True,128,128,1297
backbone.convs_bond_float.0.linear_list.2.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.0.linear_list.2.bias,128,True,True,128,128,1297
backbone.convs_bond_float.0.linear_list.3.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.0.linear_list.3.bias,128,True,True,128,128,1297
backbone.convs_bond_float.0.linear_list.4.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.0.linear_list.4.bias,128,True,True,128,128,1297
backbone.convs_bond_float.0.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.0.rbf_list.1.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.0.rbf_list.2.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.0.rbf_list.3.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.0.rbf_list.4.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.1.linear_list.0.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.1.linear_list.0.bias,128,True,True,128,128,1297
backbone.convs_bond_float.1.linear_list.1.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.1.linear_list.1.bias,128,True,True,128,128,1297
backbone.convs_bond_float.1.linear_list.2.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.1.linear_list.2.bias,128,True,True,128,128,1297
backbone.convs_bond_float.1.linear_list.3.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.1.linear_list.3.bias,128,True,True,128,128,1297
backbone.convs_bond_float.1.linear_list.4.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.1.linear_list.4.bias,128,True,True,128,128,1297
backbone.convs_bond_float.1.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.1.rbf_list.1.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.1.rbf_list.2.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.1.rbf_list.3.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.1.rbf_list.4.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.2.linear_list.0.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.2.linear_list.0.bias,128,True,True,128,128,1297
backbone.convs_bond_float.2.linear_list.1.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.2.linear_list.1.bias,128,True,True,128,128,1297
backbone.convs_bond_float.2.linear_list.2.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.2.linear_list.2.bias,128,True,True,128,128,1297
backbone.convs_bond_float.2.linear_list.3.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.2.linear_list.3.bias,128,True,True,128,128,1297
backbone.convs_bond_float.2.linear_list.4.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.2.linear_list.4.bias,128,True,True,128,128,1297
backbone.convs_bond_float.2.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.2.rbf_list.1.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.2.rbf_list.2.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.2.rbf_list.3.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.2.rbf_list.4.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.3.linear_list.0.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.3.linear_list.0.bias,128,True,True,128,128,1297
backbone.convs_bond_float.3.linear_list.1.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.3.linear_list.1.bias,128,True,True,128,128,1297
backbone.convs_bond_float.3.linear_list.2.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.3.linear_list.2.bias,128,True,True,128,128,1297
backbone.convs_bond_float.3.linear_list.3.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.3.linear_list.3.bias,128,True,True,128,128,1297
backbone.convs_bond_float.3.linear_list.4.weight,2560,True,True,2560,128x20,1297
backbone.convs_bond_float.3.linear_list.4.bias,128,True,True,128,128,1297
backbone.convs_bond_float.3.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.3.rbf_list.1.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.3.rbf_list.2.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.3.rbf_list.3.gamma,1,True,True,1,1,1297
backbone.convs_bond_float.3.rbf_list.4.gamma,1,True,True,1,1,1297
backbone.convs_bond_embeding.0.bond_embedding_list.0.weight,1664,True,True,512,13x128,1297
backbone.convs_bond_embeding.0.bond_embedding_list.1.weight,3584,True,True,640,28x128,1297
backbone.convs_bond_embeding.0.bond_embedding_list.2.weight,1024,True,True,384,8x128,1297
backbone.convs_bond_embeding.1.bond_embedding_list.0.weight,1664,True,True,512,13x128,1297
backbone.convs_bond_embeding.1.bond_embedding_list.1.weight,3584,True,True,640,28x128,1297
backbone.convs_bond_embeding.1.bond_embedding_list.2.weight,1024,True,True,384,8x128,1297
backbone.convs_bond_embeding.2.bond_embedding_list.0.weight,1664,True,True,512,13x128,1297
backbone.convs_bond_embeding.2.bond_embedding_list.1.weight,3584,True,True,640,28x128,1297
backbone.convs_bond_embeding.2.bond_embedding_list.2.weight,1024,True,True,384,8x128,1297
backbone.convs_bond_embeding.3.bond_embedding_list.0.weight,1664,True,True,512,13x128,1297
backbone.convs_bond_embeding.3.bond_embedding_list.1.weight,3584,True,True,640,28x128,1297
backbone.convs_bond_embeding.3.bond_embedding_list.2.weight,1024,True,True,384,8x128,1297
backbone.convs_angle_float.0.linear_list.0.weight,4096,True,True,3040,128x32,1297
backbone.convs_angle_float.0.linear_list.0.bias,128,True,True,95,128,1297
backbone.convs_angle_float.0.linear_list.1.weight,2048,True,True,1519,128x16,1297
backbone.convs_angle_float.0.linear_list.1.bias,128,True,True,95,128,1297
backbone.convs_angle_float.0.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.convs_angle_float.1.linear_list.0.weight,4096,True,True,2911,128x32,1297
backbone.convs_angle_float.1.linear_list.0.bias,128,True,True,91,128,1297
backbone.convs_angle_float.1.linear_list.1.weight,2048,True,True,1431,128x16,1297
backbone.convs_angle_float.1.linear_list.1.bias,128,True,True,91,128,1297
backbone.convs_angle_float.1.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.convs_angle_float.2.linear_list.0.weight,4096,True,True,3007,128x32,1297
backbone.convs_angle_float.2.linear_list.0.bias,128,True,True,94,128,1297
backbone.convs_angle_float.2.linear_list.1.weight,2048,True,True,1480,128x16,1297
backbone.convs_angle_float.2.linear_list.1.bias,128,True,True,94,128,1297
backbone.convs_angle_float.2.rbf_list.0.gamma,1,True,True,1,1,1297
backbone.convs_angle_float.3.linear_list.0.weight,4096,True,True,3102,128x32,1297
backbone.convs_angle_float.3.linear_list.0.bias,128,True,True,97,128,1297
backbone.convs_angle_float.3.linear_list.1.weight,2048,True,True,1535,128x16,1297
backbone.convs_angle_float.3.linear_list.1.bias,128,True,True,97,128,1297
backbone.convs_angle_float.3.rbf_list.0.gamma,1,True,True,1,1,1297
head.0.weight,768,True,True,256,6x128,1297
head.0.bias,6,True,True,2,6,1297
condition_branch.solvent_embedding.weight,12,True,True,12,3x4,1297
condition_branch.hidden.weight,128,True,True,111,16x8,1297
condition_branch.hidden.bias,16,True,True,14,16,1297
condition_branch.output.weight,2048,True,True,1920,128x16,1297
condition_branch.output.bias,128,True,True,128,128,1297
backbone.atom_encoder.atom_embedding_list.0.weight,15872,True,True,1280,124x128,4093
backbone.atom_encoder.atom_embedding_list.1.weight,1792,True,True,256,14x128,4093
backbone.atom_encoder.atom_embedding_list.2.weight,2176,True,True,512,17x128,4093
backbone.atom_encoder.atom_embedding_list.3.weight,2432,True,True,512,19x128,4093
backbone.atom_encoder.atom_embedding_list.4.weight,2816,True,True,384,22x128,4093
backbone.atom_encoder.atom_embedding_list.5.weight,1792,True,True,384,14x128,4093
backbone.atom_encoder.atom_embedding_list.6.weight,2432,True,True,512,19x128,4093
backbone.atom_encoder.atom_embedding_list.7.weight,896,True,True,256,7x128,4093
backbone.atom_encoder.atom_embedding_list.8.weight,1920,True,True,512,15x128,4093
backbone.bond_encoder.bond_embedding_list.0.weight,1664,True,True,315,13x128,4093
backbone.bond_encoder.bond_embedding_list.1.weight,3584,True,True,393,28x128,4093
backbone.bond_encoder.bond_embedding_list.2.weight,1024,True,True,254,8x128,4093
backbone.bond_float_encoder.linear_list.0.weight,2560,True,True,1940,128x20,4093
backbone.bond_float_encoder.linear_list.0.bias,128,True,True,97,128,4093
backbone.bond_float_encoder.linear_list.1.weight,2560,True,True,1940,128x20,4093
backbone.bond_float_encoder.linear_list.1.bias,128,True,True,97,128,4093
backbone.bond_float_encoder.linear_list.2.weight,2560,True,True,1940,128x20,4093
backbone.bond_float_encoder.linear_list.2.bias,128,True,True,97,128,4093
backbone.bond_float_encoder.linear_list.3.weight,2560,True,True,1940,128x20,4093
backbone.bond_float_encoder.linear_list.3.bias,128,True,True,97,128,4093
backbone.bond_float_encoder.linear_list.4.weight,2560,True,True,1940,128x20,4093
backbone.bond_float_encoder.linear_list.4.bias,128,True,True,97,128,4093
backbone.bond_float_encoder.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.bond_float_encoder.rbf_list.1.gamma,1,True,True,1,1,4093
backbone.bond_float_encoder.rbf_list.2.gamma,1,True,True,1,1,4093
backbone.bond_float_encoder.rbf_list.3.gamma,1,True,True,1,1,4093
backbone.bond_float_encoder.rbf_list.4.gamma,1,True,True,1,1,4093
backbone.convs.0.eps,1,True,True,1,1,4093
backbone.convs.0.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs.0.mlp.0.bias,128,True,True,128,128,4093
backbone.convs.0.mlp.1.weight,128,True,True,128,128,4093
backbone.convs.0.mlp.1.bias,128,True,True,128,128,4093
backbone.convs.0.mlp.3.weight,16384,True,True,15873,128x128,4093
backbone.convs.0.mlp.3.bias,128,True,True,125,128,4093
backbone.convs.1.eps,1,True,True,1,1,4093
backbone.convs.1.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs.1.mlp.0.bias,128,True,True,128,128,4093
backbone.convs.1.mlp.1.weight,128,True,True,128,128,4093
backbone.convs.1.mlp.1.bias,128,True,True,128,128,4093
backbone.convs.1.mlp.3.weight,16384,True,True,16324,128x128,4093
backbone.convs.1.mlp.3.bias,128,True,True,128,128,4093
backbone.convs.2.eps,1,True,True,1,1,4093
backbone.convs.2.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs.2.mlp.0.bias,128,True,True,128,128,4093
backbone.convs.2.mlp.1.weight,128,True,True,128,128,4093
backbone.convs.2.mlp.1.bias,128,True,True,128,128,4093
backbone.convs.2.mlp.3.weight,16384,True,True,16251,128x128,4093
backbone.convs.2.mlp.3.bias,128,True,True,127,128,4093
backbone.convs.3.eps,1,True,True,1,1,4093
backbone.convs.3.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs.3.mlp.0.bias,128,True,True,128,128,4093
backbone.convs.3.mlp.1.weight,128,True,True,128,128,4093
backbone.convs.3.mlp.1.bias,128,True,True,128,128,4093
backbone.convs.3.mlp.3.weight,16384,True,True,16094,128x128,4093
backbone.convs.3.mlp.3.bias,128,True,True,127,128,4093
backbone.convs.4.eps,1,True,True,1,1,4093
backbone.convs.4.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs.4.mlp.0.bias,128,True,True,128,128,4093
backbone.convs.4.mlp.1.weight,128,True,True,128,128,4093
backbone.convs.4.mlp.1.bias,128,True,True,128,128,4093
backbone.convs.4.mlp.3.weight,16384,True,True,16384,128x128,4093
backbone.convs.4.mlp.3.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.0.eps,1,True,True,1,1,4093
backbone.convs_bond_angle.0.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs_bond_angle.0.mlp.0.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.0.mlp.1.weight,128,True,True,128,128,4093
backbone.convs_bond_angle.0.mlp.1.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.0.mlp.3.weight,16384,True,True,16344,128x128,4093
backbone.convs_bond_angle.0.mlp.3.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.1.eps,1,True,True,1,1,4093
backbone.convs_bond_angle.1.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs_bond_angle.1.mlp.0.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.1.mlp.1.weight,128,True,True,128,128,4093
backbone.convs_bond_angle.1.mlp.1.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.1.mlp.3.weight,16384,True,True,16017,128x128,4093
backbone.convs_bond_angle.1.mlp.3.bias,128,True,True,126,128,4093
backbone.convs_bond_angle.2.eps,1,True,True,1,1,4093
backbone.convs_bond_angle.2.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs_bond_angle.2.mlp.0.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.2.mlp.1.weight,128,True,True,128,128,4093
backbone.convs_bond_angle.2.mlp.1.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.2.mlp.3.weight,16384,True,True,16141,128x128,4093
backbone.convs_bond_angle.2.mlp.3.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.3.eps,1,True,True,1,1,4093
backbone.convs_bond_angle.3.mlp.0.weight,16384,True,True,16384,128x128,4093
backbone.convs_bond_angle.3.mlp.0.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.3.mlp.1.weight,128,True,True,128,128,4093
backbone.convs_bond_angle.3.mlp.1.bias,128,True,True,128,128,4093
backbone.convs_bond_angle.3.mlp.3.weight,16384,True,True,16076,128x128,4093
backbone.convs_bond_angle.3.mlp.3.bias,128,True,True,126,128,4093
backbone.convs_bond_float.0.linear_list.0.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.0.linear_list.0.bias,128,True,True,128,128,4093
backbone.convs_bond_float.0.linear_list.1.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.0.linear_list.1.bias,128,True,True,128,128,4093
backbone.convs_bond_float.0.linear_list.2.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.0.linear_list.2.bias,128,True,True,128,128,4093
backbone.convs_bond_float.0.linear_list.3.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.0.linear_list.3.bias,128,True,True,128,128,4093
backbone.convs_bond_float.0.linear_list.4.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.0.linear_list.4.bias,128,True,True,128,128,4093
backbone.convs_bond_float.0.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.0.rbf_list.1.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.0.rbf_list.2.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.0.rbf_list.3.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.0.rbf_list.4.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.1.linear_list.0.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.1.linear_list.0.bias,128,True,True,128,128,4093
backbone.convs_bond_float.1.linear_list.1.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.1.linear_list.1.bias,128,True,True,128,128,4093
backbone.convs_bond_float.1.linear_list.2.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.1.linear_list.2.bias,128,True,True,128,128,4093
backbone.convs_bond_float.1.linear_list.3.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.1.linear_list.3.bias,128,True,True,128,128,4093
backbone.convs_bond_float.1.linear_list.4.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.1.linear_list.4.bias,128,True,True,128,128,4093
backbone.convs_bond_float.1.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.1.rbf_list.1.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.1.rbf_list.2.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.1.rbf_list.3.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.1.rbf_list.4.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.2.linear_list.0.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.2.linear_list.0.bias,128,True,True,128,128,4093
backbone.convs_bond_float.2.linear_list.1.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.2.linear_list.1.bias,128,True,True,128,128,4093
backbone.convs_bond_float.2.linear_list.2.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.2.linear_list.2.bias,128,True,True,128,128,4093
backbone.convs_bond_float.2.linear_list.3.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.2.linear_list.3.bias,128,True,True,128,128,4093
backbone.convs_bond_float.2.linear_list.4.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.2.linear_list.4.bias,128,True,True,128,128,4093
backbone.convs_bond_float.2.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.2.rbf_list.1.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.2.rbf_list.2.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.2.rbf_list.3.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.2.rbf_list.4.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.3.linear_list.0.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.3.linear_list.0.bias,128,True,True,128,128,4093
backbone.convs_bond_float.3.linear_list.1.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.3.linear_list.1.bias,128,True,True,128,128,4093
backbone.convs_bond_float.3.linear_list.2.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.3.linear_list.2.bias,128,True,True,128,128,4093
backbone.convs_bond_float.3.linear_list.3.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.3.linear_list.3.bias,128,True,True,128,128,4093
backbone.convs_bond_float.3.linear_list.4.weight,2560,True,True,2560,128x20,4093
backbone.convs_bond_float.3.linear_list.4.bias,128,True,True,128,128,4093
backbone.convs_bond_float.3.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.3.rbf_list.1.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.3.rbf_list.2.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.3.rbf_list.3.gamma,1,True,True,1,1,4093
backbone.convs_bond_float.3.rbf_list.4.gamma,1,True,True,1,1,4093
backbone.convs_bond_embeding.0.bond_embedding_list.0.weight,1664,True,True,512,13x128,4093
backbone.convs_bond_embeding.0.bond_embedding_list.1.weight,3584,True,True,640,28x128,4093
backbone.convs_bond_embeding.0.bond_embedding_list.2.weight,1024,True,True,384,8x128,4093
backbone.convs_bond_embeding.1.bond_embedding_list.0.weight,1664,True,True,512,13x128,4093
backbone.convs_bond_embeding.1.bond_embedding_list.1.weight,3584,True,True,640,28x128,4093
backbone.convs_bond_embeding.1.bond_embedding_list.2.weight,1024,True,True,384,8x128,4093
backbone.convs_bond_embeding.2.bond_embedding_list.0.weight,1664,True,True,512,13x128,4093
backbone.convs_bond_embeding.2.bond_embedding_list.1.weight,3584,True,True,640,28x128,4093
backbone.convs_bond_embeding.2.bond_embedding_list.2.weight,1024,True,True,384,8x128,4093
backbone.convs_bond_embeding.3.bond_embedding_list.0.weight,1664,True,True,512,13x128,4093
backbone.convs_bond_embeding.3.bond_embedding_list.1.weight,3584,True,True,640,28x128,4093
backbone.convs_bond_embeding.3.bond_embedding_list.2.weight,1024,True,True,384,8x128,4093
backbone.convs_angle_float.0.linear_list.0.weight,4096,True,True,3264,128x32,4093
backbone.convs_angle_float.0.linear_list.0.bias,128,True,True,102,128,4093
backbone.convs_angle_float.0.linear_list.1.weight,2048,True,True,1617,128x16,4093
backbone.convs_angle_float.0.linear_list.1.bias,128,True,True,102,128,4093
backbone.convs_angle_float.0.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.convs_angle_float.1.linear_list.0.weight,4096,True,True,3136,128x32,4093
backbone.convs_angle_float.1.linear_list.0.bias,128,True,True,98,128,4093
backbone.convs_angle_float.1.linear_list.1.weight,2048,True,True,1547,128x16,4093
backbone.convs_angle_float.1.linear_list.1.bias,128,True,True,98,128,4093
backbone.convs_angle_float.1.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.convs_angle_float.2.linear_list.0.weight,4096,True,True,3070,128x32,4093
backbone.convs_angle_float.2.linear_list.0.bias,128,True,True,96,128,4093
backbone.convs_angle_float.2.linear_list.1.weight,2048,True,True,1511,128x16,4093
backbone.convs_angle_float.2.linear_list.1.bias,128,True,True,96,128,4093
backbone.convs_angle_float.2.rbf_list.0.gamma,1,True,True,1,1,4093
backbone.convs_angle_float.3.linear_list.0.weight,4096,True,True,3136,128x32,4093
backbone.convs_angle_float.3.linear_list.0.bias,128,True,True,98,128,4093
backbone.convs_angle_float.3.linear_list.1.weight,2048,True,True,1539,128x16,4093
backbone.convs_angle_float.3.linear_list.1.bias,128,True,True,98,128,4093
backbone.convs_angle_float.3.rbf_list.0.gamma,1,True,True,1,1,4093
head.0.weight,768,True,True,256,6x128,4093
head.0.bias,6,True,True,2,6,4093
