column,protocol,seed,method,best_epoch,epochs_run,trainable_parameters,total_parameters,source_checkpoint,source_checkpoint_sha256,source_preprocessing,selection,normalized_valid_score,combined_normalized_valid_rmse,combined_normalized_test_rmse,V1_valid_r2,V1_valid_rmse,V1_valid_mae,V2_valid_r2,V2_valid_rmse,V2_valid_mae,V1_test_r2,V1_test_rmse,V1_test_mae,V2_test_r2,V2_test_rmse,V2_test_mae,column_spec_flag
25g,legacy_filtered,42,direct,205,305,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.8245355932208519,0.642080833392826,0.7974914109115341,0.6355837553593342,6.596956253051758,5.02648401260376,0.6088883260249757,11.258001327514648,7.571402549743652,-0.09621980203620706,8.98071002960205,6.17773962020874,0.3282996054870334,12.363724708557129,8.702482223510742,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,42,paper_transfer,121,221,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.6194402647898852,0.5565250510039441,0.5183373641427195,0.7094862194392101,5.890173435211182,4.177271366119385,0.7256473064751818,9.428997993469238,6.124936103820801,0.5050941126779659,6.034247875213623,3.8946735858917236,0.7487000014610456,7.562366962432861,5.2713823318481445,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,525,direct,175,275,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,1.0961210503464427,0.7403111002634104,0.9828632534609686,0.640919507442987,5.2152814865112305,4.090360164642334,-0.2064081543195575,16.528919219970703,10.404623031616211,0.7004957189704133,5.472200393676758,4.2837677001953125,-1.0313813780891143,23.206331253051758,15.018105506896973,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,525,paper_transfer,74,174,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.40768183232549393,0.4514874485107498,0.5300898892714,0.6820515392809544,4.907499313354492,3.6452720165252686,0.7465680034937967,7.57579231262207,5.7936530113220215,0.6599026817800953,5.8312554359436035,3.7630844116210938,0.7111754093457747,8.750398635864258,5.660401344299316,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,1101,direct,208,308,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,2.554126909563343,1.1300723228102136,0.8597558519489398,0.1851572412208501,10.510854721069336,6.385124206542969,-0.04083456857038281,20.01886749267578,14.662347793579102,0.4852781723648324,7.418147563934326,5.0996012687683105,0.33999943201450256,16.105140686035156,12.30511474609375,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,1101,paper_transfer,63,163,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.8749112637801173,0.6614042877771951,0.5746919165084362,0.6294485023882486,7.0880279541015625,5.051153182983398,0.7424393632663444,9.958373069763184,6.773750305175781,0.6460916144689887,6.151125431060791,4.49124002456665,0.8087499349183285,8.669482231140137,6.618520736694336,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,2025,direct,205,305,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,3.2032859142577084,1.265560333263039,1.121706522629113,-1.87652696180659,17.16560173034668,13.650238037109375,0.6658974549724621,9.140554428100586,6.926665306091309,-1.1532601928240287,14.950363159179688,11.811629295349121,0.5967593246542867,9.584651947021484,7.635365009307861,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,2025,paper_transfer,74,174,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.525378996429348,0.5125324362561593,0.6227442828755656,0.6390116486921289,6.080949783325195,4.754601001739502,0.7957450189662084,7.146920680999756,5.284497261047363,0.5003595724733132,7.201654434204102,4.9122796058654785,0.6295828977003888,9.186280250549316,6.542796611785889,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,2026,direct,205,305,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,1.4918497451782393,0.8636694232107095,0.6945762420677672,0.32529353543050266,9.509344100952148,7.255742073059082,0.7027825538166088,13.090505599975586,10.020341873168945,-0.3154470411367496,8.738109588623047,5.8897881507873535,0.6101681917157649,7.672074317932129,5.007083892822266,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
25g,legacy_filtered,2026,paper_transfer,120,220,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,1.1671356604730203,0.7639161146595287,0.41874013426036283,0.4036130043894264,8.940404891967773,5.965275764465332,0.813809146778236,10.360922813415527,7.478157043457031,0.6758987059667575,4.337316989898682,3.41145396232605,0.6861349244969802,6.884076118469238,4.846019268035889,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
40g,legacy_filtered,42,direct,175,275,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.4557243363526394,0.47734910513828316,0.6300784309471475,0.6288047341556389,14.224102020263672,9.670425415039062,0.7828158995775352,16.503318786621094,12.11420726776123,0.21747761126451237,19.063282012939453,13.52221393585205,0.483887424542748,21.303260803222656,15.106871604919434,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
40g,legacy_filtered,42,paper_transfer,402,500,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.275826983349739,0.371367057875183,0.5345384350867465,0.8103721141822969,10.166577339172363,6.204398155212402,0.8396398597100172,14.18095588684082,9.233648300170898,0.43225914291333734,16.237693786621094,10.264881134033203,0.6330880812159021,17.962003707885742,12.870074272155762,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
40g,legacy_filtered,525,direct,409,500,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.29720849131377275,0.38549221218707697,0.44673213666950173,0.8364152362738801,10.379742622375488,7.621495246887207,0.8435296164735068,14.80771255493164,10.679071426391602,0.7325197417042586,11.35314655303955,7.283936023712158,0.6438625933220605,18.01154899597168,11.362356185913086,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
40g,legacy_filtered,525,paper_transfer,224,324,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.32739302459514874,0.4045942563823347,0.3028527640284359,0.8389172058681553,10.300060272216797,7.308593273162842,0.8106050361731892,16.29131507873535,11.174442291259766,0.880594359611625,7.585475444793701,5.110447883605957,0.832787993792504,12.341728210449219,7.378782749176025,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
40g,legacy_filtered,1101,direct,219,319,831558,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.3220628111521465,0.4012871859106309,0.46338225071300104,0.8618371204433134,9.492782592773438,6.969630718231201,0.813562806747445,16.424924850463867,12.122930526733398,0.7428892960677338,13.575265884399414,9.910385131835938,0.8226997284307808,15.447153091430664,11.540725708007812,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
40g,legacy_filtered,1101,paper_transfer,164,264,242216,831558,experiments/e0_4g_baseline/checkpoints/best.pt,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,experiments/e0_4g_baseline/scaler.json,validation_only_minimum_combined_normalized_rmse,0.26069414213192915,0.36103610770387573,0.4862081160986285,0.8640876308843124,9.415151596069336,7.290194988250732,0.86958324219969,13.73737621307373,10.299100875854492,0.710489550749057,14.40523624420166,9.60107707977295,0.8112854842469782,15.936626434326172,10.223730087280273,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES
