column,paper_r2_v1,reproduction_r2_v1_mean,difference_v1,paper_r2_v2,reproduction_r2_v2_mean,difference_v2,reference_note
8g,0.759,0.7612066624782278,0.002206662478227761,0.752,0.8056692739610546,0.05366927396105459,Published Figure 4 value supplied by the task; never used for selection.
25g,0.747,0.5974693374734241,-0.14953066252657587,0.84,0.7168686335845036,-0.12313136641549638,Published Figure 4 value supplied by the task; never used for selection.
40g,0.826,0.6970111326456736,-0.12898886735432635,0.824,0.7891759746365532,-0.03482402536344675,Published Figure 4 value supplied by the task; never used for selection.
