outer_seed,method,selection_order,canonical_row_id,sample_id,canonical_index,compound_id,canonical_smiles,acquisition_space,raw_gradient_norm,transformed_feature_norm,nearest_l0_distance_own_space,nearest_l0_raw_gradient_distance,nearest_l0_latent_distance,nearest_l0_condition_distance,exact_model_input_hash,exact_X_duplicate_to_L0_or_earlier_batch,loading_solvent,eluent_EA_ratio,loading_amount_density_x_volume,loading_volume_ul,predicted_V1_q50,predicted_V2_q50,ensemble_uncertainty,ensemble_uncertainty_rank,ensemble_uncertainty_top_25pct
73,latent_farthest_first,11,eb151126b40eda411ab7,eb151126b40eda411ab7,2245,OC1(c2ccccc2)CCCCC1,OC1(c2ccccc2)CCCCC1,latent,252.79194144585014,107.40020712001818,45.7462909958871,194.97864188214885,45.7462909958871,0.0278034374696517,b1547fb3e8650a222dafc9dfa4d9fb468f95c7947d90ffe281ceda8866d3b24f,False,DCM,5/1,150.0,400.0,25.964946746826172,27.64408302307129,0.6939033666241383,30,True
73,latent_farthest_first,12,6ce2b891280aed137ab8,6ce2b891280aed137ab8,621,COC(=O)c1ccccc1N,COC(=O)c1ccccc1N,latent,475.7706436699661,181.85181637148006,44.85692990820934,308.052113562871,44.85692990820934,0.05282664432486885,5954eb4779fc3cbce34e79ca32ffb64c436ccc6c39280a6cf4d45f54249461c0,False,DCM,20/1,175.2,300.0,23.197912216186523,61.450111389160156,0.9963622184697705,6,True
73,latent_farthest_first,13,61771d230b285babe4b6,61771d230b285babe4b6,2664,CCOC(=O)C(Cc1ccccc1)C(C)=O,CCOC(=O)C(Cc1ccccc1)C(C)=O,latent,298.12801025351405,136.4044163463599,43.89268848327167,195.97943049673165,43.89268848327167,0.06672822164409434,1a95f6821843b82742a97eee724b343ea5e4a9b2393db7fb737add6447aa98ee,False,DCM,50/1,103.60000000000001,300.0,21.828895568847656,46.91878128051758,0.6479323777429651,39,True
73,latent_farthest_first,14,c63ed0daca6f4e0f5c52,c63ed0daca6f4e0f5c52,1606,Fc1cc(F)c(F)c(F)c1F,Fc1cc(F)c(F)c(F)c1F,latent,272.4216107742824,74.12249219826919,42.458196750344705,225.2720983447889,42.458196750344705,0.03429101934505608,19558f1fdd0b3765b650c50dcb497a4c52882aa671ac265124c7391fb692bcf7,False,PE,2/1,151.4,300.0,10.596089363098145,23.8319149017334,0.5009486083142388,99,True
73,latent_farthest_first,15,edfbbb86c05a0aeb1bfb,edfbbb86c05a0aeb1bfb,1373,Oc1ccc(OC(F)(F)F)cc1,Oc1ccc(OC(F)(F)F)cc1,latent,268.133787598939,146.79888598692145,41.63800220088571,212.52296314367257,41.63800220088571,0.8209191475476268,6b1ced81bb963688940b483f93e8020e3f3e363d9b267bc223a8a92b2c225178,False,PE,5/1,206.25,300.0,16.33242416381836,51.0377197265625,0.3707755680305511,231,True
73,latent_farthest_first,16,a4fc5d66da363324e2bf,a4fc5d66da363324e2bf,2560,OCc1ccc2ccccc2c1,OCc1ccc2ccccc2c1,latent,230.91080652758322,90.84289274776552,40.95844311952146,163.60163502724643,40.95844311952146,0.0,8d4d3c69513457eb519433ce99f3e3431875a7a916173fb8977745d5c9d1bfd0,False,DCM,1/1,150.0,300.0,16.890901565551758,29.70795249938965,0.5443915822987115,84,True
73,latent_farthest_first,17,a01a137fa48c1391b9e7,a01a137fa48c1391b9e7,1895,O=Cc1ccc([N+](=O)[O-])cc1,O=Cc1ccc([N+](=O)[O-])cc1,latent,415.76131285123745,169.32694835842128,51.84947853025616,173.09431494177556,51.84947853025616,0.29611544960382097,1879dbe639e05b5b410bd9686995eb5c5cf9be32e688f07a5891462969587b0a,False,DCM,10/1,74.8,700.0,30.019262313842773,55.919498443603516,0.22107410689170665,532,True
73,latent_farthest_first,18,f7f0c7d2b8250e0e304f,f7f0c7d2b8250e0e304f,1516,CC(C)=CCC/C(C)=C/C=O,CC(C)=CCC/C(C)=C/C=O,latent,309.81966611377356,149.67744484930856,41.740621773167724,79.69619751489081,41.740621773167724,0.06858182656674469,d282ed1d9f3e2e7c987a51f0272daac3ae4f212384b82171071cf00e215e837c,False,PE,20/1,44.4,300.0,22.950214385986328,49.7236328125,0.41397290203693404,175,True
73,latent_farthest_first,19,8f9a7ca0380c405ee685,8f9a7ca0380c405ee685,3298,CC(=O)c1ccc2c(c1)Cc1ccccc1-2,CC(=O)c1ccc2c(c1)Cc1ccccc1-2,latent,488.974588387856,140.4752749133946,38.17990965210389,212.50312859929593,38.17990965210389,0.29611544960382696,f00278a05d6095d33e9d24c599e803cc4d02caa135f793c8593a532130e58e66,False,DCM,20/1,100.0,1000.0,23.98463249206543,46.36933135986328,0.17322683291741497,773,False
73,latent_farthest_first,20,9a32b65bc21fdc5f7286,9a32b65bc21fdc5f7286,4160,O=C(O)/C=C/c1ccccc1,O=C(O)/C=C/c1ccccc1,latent,265.42637589096904,202.2771034839845,41.066436888749365,159.6109747818771,41.066436888749365,1.140025942114971,70e29d354c25d2317559bdaacbfc80a2b7635d0d353fb0881a046b0f52b775ad,False,DCM,2/1,124.75,1500.0,10.718999862670898,74.08599090576172,0.4008312659385746,190,True
