outer_seed,method,acquisition_space,batch_size,mean_raw_gradient_norm,median_raw_gradient_norm,mean_transformed_feature_norm,mean_nearest_l0_distance_own_space,mean_nearest_l0_raw_gradient_distance,mean_nearest_l0_latent_distance,mean_nearest_l0_condition_distance,unique_compounds,repeated_compound_fraction,exact_X_duplicate_rate,loading_solvent_counts_json,loading_solvent_PE_count,loading_solvent_EA_count,loading_solvent_DCM_count,eluent_EA_ratio_unique_count,eluent_EA_ratio_values_json,loading_amount_min,loading_amount_q25,loading_amount_median,loading_amount_q75,loading_amount_max,loading_volume_min,loading_volume_q25,loading_volume_median,loading_volume_q75,loading_volume_max,predicted_V1_q50_mean,predicted_V1_q50_std,predicted_V2_q50_mean,predicted_V2_q50_std,mean_ensemble_uncertainty,mean_ensemble_uncertainty_rank,fraction_in_uncertainty_top_25pct
311,latent_lcmd,latent,32,322.49260637405257,315.90043497091244,111.44433975829448,34.2172696552272,202.02515998973217,34.2172696552272,0.355516671157405,29,0.1875,0.0,"{""DCM"": 28, ""PE"": 4}",4,0,28,5,"[""0/1"", ""10/1"", ""20/1"", ""5/1"", ""50/1""]",49.85,53.550000000000004,95.91250000000001,138.8,278.59499999999997,300.0,300.0,300.0,425.0,1500.0,17.19819939136505,8.503062831363618,36.59689047932625,16.536084537155524,0.4733728499996129,439.78125,0.8125
311,gradient_farthest_first,raw_gradient,32,516.716979119326,492.9137218105175,516.716979119326,329.5022021502431,329.5022021502431,32.71813650874419,0.3280897221768518,25,0.40625,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,4,"[""10/1"", ""20/1"", ""5/1"", ""50/1""]",49.75,92.575,141.6,162.0375,278.59499999999997,300.0,300.0,300.0,400.0,1500.0,25.013440877199173,8.31348132327286,48.81968057155609,14.262881571557381,0.6744419253884404,174.71875,0.96875
311,raw_gradient_lcmd,raw_gradient,32,443.0079124641874,398.5227135160548,443.0079124641874,286.6830373573729,286.6830373573729,30.500218666643967,0.2521206498187904,29,0.1875,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,4,"[""10/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,53.550000000000004,149.175,169.49999999999997,278.59499999999997,200.0,300.0,300.0,400.0,1000.0,21.50042486190796,8.543323679719666,41.57483905553818,16.03993089553684,0.5616994116797575,278.6875,0.90625
311,gradient_norm_topB,raw_gradient,32,649.2616111928276,641.0947985410481,649.2616111928276,365.23358744071214,365.23358744071214,29.509822694386024,0.17649059609459472,8,1.0,0.0,"{""DCM"": 28, ""PE"": 4}",4,0,28,3,"[""10/1"", ""20/1"", ""50/1""]",50.0,55.8,102.4,150.0,210.89999999999998,200.0,300.0,300.0,325.0,1000.0,27.244952708482742,8.953978345018761,56.53891658782959,19.30172108643644,0.8752440580847893,116.46875,1.0
311,direction_lcmd,direction_gradient,32,91.1529124353064,76.42987938582979,1.0,0.8929589958970077,77.107626492793,19.864959131606593,0.3815830339041135,29,0.1875,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,6,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""5/1"", ""50/1""]",50.0,100.0,127.575,168.11249999999998,278.59499999999997,200.0,300.0,300.0,325.0,1500.0,6.365013960748911,2.875313105143419,13.28143835067749,6.026632534922834,0.1591260993646615,1334.25,0.15625
311,tempered_lcmd_alpha_0p5,tempered_gradient_alpha_0p5,32,335.35199351127187,326.8938877721598,17.79050019047085,12.177829582656557,228.33718309692514,26.99274259062413,0.41900315141523925,29,0.1875,0.0,"{""DCM"": 27, ""EA"": 1, ""PE"": 4}",4,1,27,5,"[""1/1"", ""10/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,55.5375,149.8,153.225,278.59499999999997,200.0,300.0,300.0,400.0,1500.0,16.466353356838226,7.230549328747125,32.27793464064598,12.762733035532325,0.42505022151012717,488.84375,0.75
311,output_whitened_lcmd,output_whitened_gradient,32,449.8433353935245,443.51162874386324,435.0514851257776,300.26198005300023,290.2735767377465,31.51750398126215,0.3036544820748641,27,0.28125,0.0,"{""DCM"": 27, ""EA"": 1, ""PE"": 4}",4,1,27,4,"[""10/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,92.575,120.625,150.0,224.4,200.0,300.0,300.0,400.0,1500.0,21.52792975306511,8.780893174663477,43.03437250852585,17.416549825007223,0.5481609668103895,290.78125,0.84375
311,center_width_lcmd,center_width_gradient,32,454.006573314206,451.25448250257637,382.3240516058742,248.49181639960636,290.63781757049605,32.70763530322686,0.35459266710722487,27,0.3125,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,4,"[""10/1"", ""20/1"", ""5/1"", ""50/1""]",49.75,59.44875,131.1,153.4875,278.59499999999997,300.0,300.0,300.0,525.0,1500.0,22.852099731564522,9.087216729822929,45.90423446893692,15.882845789467755,0.6174928455228206,200.6875,1.0
1297,latent_farthest_first,latent,32,339.1373215065514,336.6178756792282,172.34292479434873,48.42709390144638,187.7862574176715,48.42709390144638,0.39067684897715566,26,0.34375,0.0,"{""DCM"": 23, ""PE"": 9}",9,0,23,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,100.91625,150.075,170.925,224.4,200.0,300.0,300.0,425.0,1500.0,22.765973687171936,8.736973010930935,48.86120048165321,17.539416349565066,0.5492693401689168,309.4375,0.90625
1297,latent_lcmd,latent,32,291.709893388215,296.60915744782795,142.43714051213868,42.868982682697435,161.77336649881954,42.868982682697435,0.32906859422184465,25,0.40625,0.0,"{""DCM"": 21, ""PE"": 11}",11,0,21,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,100.0,150.0,175.65,210.89999999999998,200.0,300.0,300.0,500.0,1000.0,17.302884936332703,8.072274735730094,40.08765381574631,17.026747398569146,0.42703776661472675,503.625,0.8125
