selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
0,1285,292,1150679.7405144838,162996.5177327965
1,1747,221,959260.3337551171,76927.72238753273
2,1398,215,915338.4608693448,99353.70337207586
3,2157,221,882332.6113675844,67059.3321380055
4,1590,317,826395.2637939579,59481.097969243914
5,1382,304,709316.9657533128,57550.852576302015
6,2777,317,707433.2744279839,50239.402607506956
7,299,34,694924.0140905963,66245.42327419804
8,2615,321,687514.3836889975,54851.87433941511
9,1538,282,665626.081997962,63196.011048906366
10,2584,123,643244.5199587054,50137.46387496226
11,2416,215,617278.9457481549,62092.383218572824
12,2332,317,606954.7575644753,47959.699233115825
13,1571,218,596074.4565086686,54328.34747455741
14,2834,15,584772.4300971946,66865.25262868236
15,2320,62,564431.4569289789,25022.302717446182
16,1437,317,558995.0583313594,39606.02980974215
17,1507,165,554652.8095229834,139254.08630808908
18,842,220,550325.8143267193,35718.32065063161
19,233,321,522958.8400784287,36039.841837284825
20,907,215,493094.4161040933,48469.74054517163
21,1103,123,492832.5338159054,28815.50472161021
22,2942,62,489364.6734642728,23759.43202251223
23,1118,62,465605.24144176056,21975.727446373625
24,2379,323,457107.9237659031,53345.790742134384
25,1943,198,442117.7577977536,64399.47727051089
26,735,218,433089.64836498315,35251.00827531323
27,1763,196,423314.5039575242,44053.50971207182
28,1935,44,422697.1860577338,32867.164102887444
29,1078,62,421653.86110699055,21450.773916742706
30,1332,335,415801.3528967089,123983.8994884704
31,2968,341,394148.4389866595,111905.90669126145
32,725,221,391060.28370150365,65244.63085482363
33,1560,186,388096.1623190397,29814.419085872163
34,2272,3,386040.6873939611,38501.005299658544
35,1462,218,362587.7769183668,30037.670798327104
36,1703,187,359122.59574092564,60366.27912974858
37,1663,186,358281.74323316745,23854.315345326286
38,2392,317,358126.38536194596,36558.68804903075
39,876,220,357661.7955671039,27543.354444933953
40,2570,62,357301.8301907095,19047.523139260044
41,1243,123,337558.76500297326,26635.292558792913
42,406,44,324095.76406374,26029.29851920293
43,2883,15,318147.6139659827,52225.69761330492
44,869,249,306194.7741512821,74482.15564878134
45,2151,220,302575.11215358344,22141.54191901734
46,2832,218,302512.55005121836,28017.790628457762
47,57,62,300159.8653903807,16681.314961812284
48,1353,333,294592.6643114347,76325.95106225519
