column,protocol,seed,method,regime,rows,train_q1,train_q2,V1_rmse,V1_mae,V2_rmse,V2_mae
25g,compound,769539383,paper_style_current_v2,low,21,25.68125,34.8625,4.532535628423959,3.903362761904762,5.315624120549945,4.682703999999999
25g,compound,769539383,paper_style_current_v2,mid,32,25.68125,34.8625,5.091420399307696,3.7570421562500003,8.325123869580562,6.96537003125
25g,compound,769539383,paper_style_current_v2,high,39,25.68125,34.8625,11.940499131223895,8.895677410256411,16.496870533377592,13.116267487179487
25g,compound,769539383,M3_CENTER_WIDTH_FULL,low,21,25.68125,34.8625,2.8041395909333247,2.2615910102157515,4.116687558566809,3.0800892175914085
25g,compound,769539383,M3_CENTER_WIDTH_FULL,mid,32,25.68125,34.8625,3.3192054807050124,2.8169321873319517,5.845029086184885,4.7352642986601765
25g,compound,769539383,M3_CENTER_WIDTH_FULL,high,39,25.68125,34.8625,10.818060304145897,7.422462441472499,14.562735020193582,10.897333564903333
25g,compound,769539383,HIER_CW_25G_40G,low,21,25.68125,34.8625,2.690329261180892,2.282726482057242,4.194603695702769,3.4953953301155782
25g,compound,769539383,HIER_CW_25G_40G,mid,32,25.68125,34.8625,2.9928778497601973,2.5709983189848966,5.693670434088291,4.769053522725172
25g,compound,769539383,HIER_CW_25G_40G,high,39,25.68125,34.8625,11.214125283644345,7.585014029432545,14.088136536883153,10.654345304797998
25g,compound,769539383,HIER_CW_V2,low,21,25.68125,34.8625,2.583812629972165,2.153031177419369,3.3193359841460133,2.8075916802747454
25g,compound,769539383,HIER_CW_V2,mid,32,25.68125,34.8625,2.9883382078457434,2.5838849644770256,5.30764784905954,4.469168038316075
25g,compound,769539383,HIER_CW_V2,high,39,25.68125,34.8625,11.232469646896252,7.673200732030559,15.350431195441535,11.718487859457428
25g,compound,769539383,DIRECT_LATENT_RIDGE,low,21,25.68125,34.8625,2.9945495042312245,2.579793664071191,4.652399548133863,3.991462066036661
25g,compound,769539383,DIRECT_LATENT_RIDGE,mid,32,25.68125,34.8625,5.9244313412420695,4.370556730427484,8.004052974010252,6.143197264164888
25g,compound,769539383,DIRECT_LATENT_RIDGE,high,39,25.68125,34.8625,15.535218103606331,11.024874531702759,15.122226566523732,12.621250517263535
25g,compound,769539383,DIRECT_LATENT_PLS,low,21,25.68125,34.8625,3.698119145766158,3.235163690604868,4.921010993254764,4.090796125290666
25g,compound,769539383,DIRECT_LATENT_PLS,mid,32,25.68125,34.8625,6.74673424743904,5.031319719479235,8.240519398234488,6.546153512645386
25g,compound,769539383,DIRECT_LATENT_PLS,high,39,25.68125,34.8625,15.51119043385942,11.417751287630498,15.308110644431244,12.671408632874883
25g,compound,769539383,JOINT_HIER_LATENT_FULL128,low,21,25.68125,34.8625,2.80278114423857,2.163100912860898,3.1210528228851198,2.6673953713207346
25g,compound,769539383,JOINT_HIER_LATENT_FULL128,mid,32,25.68125,34.8625,3.5996875936067068,3.1712068898083334,5.773435045700694,4.778867806984394
25g,compound,769539383,JOINT_HIER_LATENT_FULL128,high,39,25.68125,34.8625,11.55878802433476,7.96589808870157,14.627314540139512,11.287913886357918
25g,compound,769539383,JOINT_HIER_LATENT_PCA16,low,21,25.68125,34.8625,2.6285310559190735,2.3272914998807956,3.230414028732984,2.6617359105228684
25g,compound,769539383,JOINT_HIER_LATENT_PCA16,mid,32,25.68125,34.8625,3.0247612159744004,2.6592526423038483,5.263079737647604,4.318707386293753
25g,compound,769539383,JOINT_HIER_LATENT_PCA16,high,39,25.68125,34.8625,11.323609253445424,7.684429596832446,15.12578785317519,11.40724084779692
25g,compound,1425370602,paper_style_current_v2,low,21,25.754166666666666,36.660416666666656,4.031587748349343,3.5915436666666674,5.987495674876589,4.6169221428571445
25g,compound,1425370602,paper_style_current_v2,mid,38,25.754166666666666,36.660416666666656,4.933385964110405,3.9012477631578952,7.3113379348988445,5.608154631578948
25g,compound,1425370602,paper_style_current_v2,high,25,25.754166666666666,36.660416666666656,12.340959279663675,10.18813024,14.876156142515981,12.530380920000002
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,low,21,25.754166666666666,36.660416666666656,3.685541953077902,3.1075292091748072,7.01397590392406,5.522708361186254
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,mid,38,25.754166666666666,36.660416666666656,5.486003170161439,4.218704733275149,8.900367141064207,7.5712475115256535
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,high,25,25.754166666666666,36.660416666666656,9.758134652371767,7.4742765838250955,11.389366104728053,9.32527549536307
25g,compound,1425370602,HIER_CW_25G_40G,low,21,25.754166666666666,36.660416666666656,4.331469090714466,3.389313665703948,8.162610825518163,5.900265422783794
25g,compound,1425370602,HIER_CW_25G_40G,mid,38,25.754166666666666,36.660416666666656,5.73621500604178,4.305303482453205,8.758250180812844,7.266086244497802
25g,compound,1425370602,HIER_CW_25G_40G,high,25,25.754166666666666,36.660416666666656,9.297420292366741,7.126234428916259,10.090080337548002,8.216517320784362
25g,compound,1425370602,HIER_CW_V2,low,21,25.754166666666666,36.660416666666656,4.157858508098736,3.147833185781513,6.28534872035993,4.113185192417147
25g,compound,1425370602,HIER_CW_V2,mid,38,25.754166666666666,36.660416666666656,5.735414107371754,4.306565151825153,6.875278352034921,5.4580357200363245
25g,compound,1425370602,HIER_CW_V2,high,25,25.754166666666666,36.660416666666656,9.392319270982162,7.276560170956817,12.751226151923333,10.853435702435968
25g,compound,1425370602,DIRECT_LATENT_RIDGE,low,21,25.754166666666666,36.660416666666656,3.6520413663996156,2.965887894313101,7.245282222362078,6.042460786635873
25g,compound,1425370602,DIRECT_LATENT_RIDGE,mid,38,25.754166666666666,36.660416666666656,6.92549966122259,5.350111888221953,8.04869649858537,6.581089553042792
25g,compound,1425370602,DIRECT_LATENT_RIDGE,high,25,25.754166666666666,36.660416666666656,9.979285977947642,7.718698127563598,10.876912103163919,8.759639079874882
25g,compound,1425370602,DIRECT_LATENT_PLS,low,21,25.754166666666666,36.660416666666656,3.8394409489415793,3.132103571880176,7.511204560535397,6.184305690851263
25g,compound,1425370602,DIRECT_LATENT_PLS,mid,38,25.754166666666666,36.660416666666656,7.040255109821254,5.362430901498482,8.607142536904975,6.889907047872404
25g,compound,1425370602,DIRECT_LATENT_PLS,high,25,25.754166666666666,36.660416666666656,10.6853747709246,8.23775988670834,10.993476977467198,8.734335891676277
