method,compound_25g_nrmse,compound_40g_nrmse,compound_mean_nrmse,row_25g_nrmse,row_40g_nrmse,row_mean_nrmse,compound_wins,row_wins,aggregate_mae,complexity,promotion_gate_passed,selected_working_baseline,final_rank
HIER_CW_25G_40G,0.7035534734307024,1.644238778677766,1.1738961260542342,0.881819270780263,1.494456702444067,1.188137986612165,0,3,8.452550354435372,18 coefficients,False,True,1
JOINT_HIER_LATENT_FULL128,0.7218982676914738,1.6188115647319232,1.1703549162116986,0.8818284585302107,1.4442105546748956,1.163019506602553,6,3,8.258582412059845,274 coefficients,False,False,2
JOINT_HIER_LATENT_PCA16,0.7153109134635518,1.6445602708498435,1.1799355921566976,0.8689752424601351,1.4790216379918228,1.1739984402259789,5,2,8.336817766205264,50 coefficients,False,False,3
HIER_CW_V2,0.7166989621729798,1.6536811247288572,1.1851900434509184,0.8690210408745763,1.4911867862438208,1.1801039135591986,3,2,8.42058599655273,18 coefficients,False,False,4
M3_CENTER_WIDTH_FULL,0.7191444857435867,1.7177455294905979,1.2184450076170923,0.8885986662449517,1.4957163475730446,1.1921575069089982,2,2,8.770950132671285,6 coefficients,False,False,5
DIRECT_LATENT_RIDGE,0.7957725295120048,1.7352216358101056,1.2654970826610552,0.9403580909171183,1.4135270772080741,1.1769425840625962,1,2,8.368901648940128,262 coefficients,False,False,6
DIRECT_LATENT_PLS,0.8171716029524069,1.735060600551624,1.2761161017520155,0.9719185997931712,1.4645366833553972,1.218227641574284,1,1,8.64654139801112,selected PLS components,False,False,7
paper_style_current_v2,0.8679854607850108,1.7525430013242882,1.3102642310546495,0.8257145674304758,1.369921518333949,1.0978180428822124,1,0,8.827986409386334,neural partial fine-tune,False,False,8
