protocol,seed,method,hier_score,joint_score,relative_gain
compound,769539383,JOINT_HIER_LATENT_FULL128,0.4704836837256702,0.46198210147890706,0.018069876896560366
compound,769539383,JOINT_HIER_LATENT_PCA16,0.4704836837256702,0.465325531124383,0.010963510063602522
compound,1425370602,JOINT_HIER_LATENT_FULL128,0.4713794382988805,0.4690134773992085,0.005019228051631464
compound,1425370602,JOINT_HIER_LATENT_PCA16,0.4713794382988805,0.47008024039206714,0.002756161599882123
compound,536279090,JOINT_HIER_LATENT_FULL128,0.4627352360569191,0.4559613011474485,0.014638900134757327
compound,536279090,JOINT_HIER_LATENT_PCA16,0.4627352360569191,0.4607324340845785,0.0043281812498372485
compound,2767143051,JOINT_HIER_LATENT_FULL128,0.4767956886336571,0.4687275730252054,0.016921536416514837
compound,2767143051,JOINT_HIER_LATENT_PCA16,0.4767956886336571,0.47350035750321295,0.006911411342429563
compound,1362771960,JOINT_HIER_LATENT_FULL128,0.46996228267011225,0.4662975348708252,0.007797961526754049
compound,1362771960,JOINT_HIER_LATENT_PCA16,0.46996228267011225,0.46820687878449246,0.0037352016328765503
row,769539383,JOINT_HIER_LATENT_FULL128,0.4615654252321658,0.44491387854980974,0.03607624352274741
row,769539383,JOINT_HIER_LATENT_PCA16,0.4615654252321658,0.455083652851894,0.014043019745275553
row,1425370602,JOINT_HIER_LATENT_FULL128,0.44716031864456696,0.4339233270023632,0.029602339676131684
row,1425370602,JOINT_HIER_LATENT_PCA16,0.44716031864456696,0.44218911756157275,0.011117267958979271
row,536279090,JOINT_HIER_LATENT_FULL128,0.4763584962893529,0.46620950888084184,0.0213053561289821
row,536279090,JOINT_HIER_LATENT_PCA16,0.4763584962893529,0.47297133328082863,0.007110533421590959
row,2767143051,JOINT_HIER_LATENT_FULL128,0.47231506672532414,0.45785166337981237,0.03062236283460129
row,2767143051,JOINT_HIER_LATENT_PCA16,0.47231506672532414,0.4673047795270218,0.010607934303345168
row,1362771960,JOINT_HIER_LATENT_FULL128,0.47482318852323047,0.4584571609994882,0.03446762483239918
row,1362771960,JOINT_HIER_LATENT_PCA16,0.47482318852323047,0.46964589448082955,0.010903625112545723
