method,compound_gain,compound_wins,row_change_vs_paper,max_compound_endpoint_deterioration,compound_mae_change,row_mae_change_vs_paper,promotion_gate_passed
HIER_CW_V2,-0.00962088309691067,3,0.0749540155679651,0.05975655495262644,-0.0019013877687996672,0.09800268194397943,False
DIRECT_LATENT_RIDGE,-0.07803156904070829,1,0.07207436759979835,0.1664161991569586,0.03027229261836939,0.04739974609647368,False
DIRECT_LATENT_PLS,-0.08707753048080047,1,0.10968083415348895,0.20056630218792693,0.05348302522481507,0.0947095285278805,False
JOINT_HIER_LATENT_FULL128,0.0030166296352288624,6,0.05939186748029823,0.04827435161859217,-0.01523676314976008,0.07015889822453292,False
JOINT_HIER_LATENT_PCA16,-0.005144804526073132,5,0.06939255356357821,0.05445079543859288,-0.008874599165338393,0.08369442421445972,False
