strategy,n_seed_round_observations,spearman_selected_error_vs_delta_nrmse,spearman_batch_diversity_vs_delta_nrmse
coverage,24,0.3060869565217391,0.248695652173913
ensemble,24,0.37043478260869556,0.2295652173913043
hybrid,24,0.5904347826086956,0.19304347826086957
random,24,0.4234782608695652,0.22608695652173913
