seed,strategy,round,selected_mean_true_error,selected_mean_ensemble_uncertainty,selected_mean_latent_distance,batch_mean_pairwise_latent_distance,nrmse_before,nrmse_after,delta_nrmse
42,coverage,0,1.4545802129285037,0.7470642072465832,14.288832238980785,26.711110373648175,0.8389539105408669,0.7649789422833158,0.07397496825755112
42,coverage,1,1.6023762169034972,0.5380412830523496,10.444385721602302,19.782182923972176,0.7649789422833158,0.8210796166939713,-0.05610067441065558
42,coverage,2,1.3979011527952792,0.7474769266563489,9.198088382706755,18.804299092791776,0.8210796166939713,0.6831536863611555,0.13792593033281586
42,coverage,3,1.0542454901412972,0.9502763795962562,8.434538236870463,16.009319726335658,0.6831536863611555,0.6115630506633037,0.07159063569785173
42,coverage,4,0.7905082756114485,0.4905643729394068,7.248709323541163,15.999811362500097,0.6115630506633037,0.6062430737379493,0.005319976925354464
42,coverage,5,0.7196040911101013,0.3657581197275587,6.176462867822387,11.677922042906395,0.6062430737379493,0.6017281521973497,0.004514921540599626
42,coverage,6,0.9053583235098293,0.8180288722451116,6.508617236755563,12.422534683626331,0.6017281521973497,0.5726744574326275,0.029053694764722193
42,coverage,7,0.4841767340787932,0.1613478208787792,5.524313548256328,12.117190176081532,0.5726744574326275,0.5444281768893812,0.028246280543246294
42,ensemble,0,2.6040594229039944,3.2039769412561037,10.611197945399812,22.852506057056697,0.8389539105408669,0.8191888588989037,0.019765051641963183
42,ensemble,1,0.819673916064687,3.521389996619815,9.633225778805558,26.55072161135172,0.8191888588989037,0.7896615909340121,0.02952726796489158
42,ensemble,2,1.470284999435624,1.7382326290619508,9.450871746294048,13.81404863750144,0.7896615909340121,0.76500537986782,0.02465621106619209
42,ensemble,3,1.70908150696229,1.9086986026585957,8.782358339315723,14.99168769017418,0.76500537986782,0.7464086049844603,0.018596774883359757
42,ensemble,4,1.774471929689243,1.7420832284162102,7.792887798768802,12.840667710581265,0.7464086049844603,0.7374410518316254,0.008967553152834817
42,ensemble,5,0.8213903215283253,1.4702433193787658,6.03545436026614,10.374945406267104,0.7374410518316254,0.7311620495066045,0.006279002325020988
42,ensemble,6,0.6217778792719347,2.0014461141067232,5.878675754975957,11.367496366206602,0.7311620495066045,0.7718480350874496,-0.04068598558084513
42,ensemble,7,0.9763240975900758,1.6499367154842108,3.6315538955877984,11.891181632857863,0.7718480350874496,0.7333378056284268,0.03851022945902283
42,hybrid,0,1.4002459318943854,0.8696449693716626,13.94367572800472,26.366261699355285,0.8389539105408669,0.7669256672447389,0.072028243296128
42,hybrid,1,1.5775641730984722,1.106614434346907,10.473693556950025,18.64819560413109,0.7669256672447389,0.7146258899232755,0.0522997773214634
42,hybrid,2,1.1331691804897372,0.5854621005707937,8.834438505525448,18.504829557186508,0.7146258899232755,0.6765857114741931,0.03804017844908236
42,hybrid,3,0.6326909039888474,0.4234279326117217,7.526934084877858,16.15928998529476,0.6765857114741931,0.6718338916124351,0.004751819861757989
42,hybrid,4,1.0621322829616198,0.6343990606898177,6.886147839088984,13.53592301803587,0.6718338916124351,0.5556844247942183,0.1161494668182168
42,hybrid,5,1.143430542107284,0.3318108187017444,6.759786654316423,14.758304691533976,0.5556844247942183,0.5346190262404746,0.021065398553743675
42,hybrid,6,0.7645823223219691,0.3665265744777007,6.456892332738098,14.961274846111188,0.5346190262404746,0.5358752045802238,-0.0012561783397491144
