strategy,comparison,mean_paired_difference,standard_deviation,paired_ci_low,paired_ci_high,win_count,seeds,differences_by_seed
coverage,coverage-random,-0.08226026457544945,0.02897926447883251,-0.15425455856930942,-0.010265970581589498,3,3,"{""42"": -0.08261329543792983, ""525"": -0.11106140081997012, ""1101"": -0.05310609746844841}"
ensemble,ensemble-random,-0.017900455700553024,0.039369372470643524,-0.11570729196707082,0.07990638056596476,2,3,"{""42"": 0.016605380325910857, ""525"": -0.06078456465018811, ""1101"": -0.009522182777381816}"
hybrid,hybrid-random,-0.10181054222635046,0.01929239305441842,-0.14973937142142663,-0.053881713031274286,3,3,"{""42"": -0.11179070179382966, ""525"": -0.11406846931360648, ""1101"": -0.07957245557161524}"
