round,strategy,seed,selected_total,selected_sample_ids,selected_unique_compounds,selected_mean_true_error_after_reveal,selected_mean_ensemble_uncertainty,selected_mean_quantile_width,selected_mean_latent_distance,batch_mean_pairwise_latent_distance,batch_min_pairwise_latent_distance,condition_distribution,best_epoch,hit_max_epoch,best_epoch_ge_490,hybrid_prefilter_count,hybrid_prefilter_fraction
3,ensemble,42,25,"[""822acada514c54d41f68"", ""bef8e35136c28810eb6b"", ""5bad82a6cffd60e7a6c9"", ""fd1d673cc647d6745303"", ""476cfe5a707e309dcbc1"", ""a4157c1e4630bc139965"", ""d6faa7e77464f5f9a34b"", ""2feb7d8e0a3566ddf97f"", ""36d971e3231c54486d05"", ""0ced19fd8372ed93361c"", ""53a1acff30433cff819f"", ""e12edd0198c0d750ecd5"", ""0f06772820e6693753e3"", ""35f2be5f5aa14265e8a4"", ""449b809e4efaaf2af86a"", ""0296d31e8c2e55602a19"", ""68a01853008546de06a1"", ""6b8fefaf0647d2239858"", ""0ac58929e586a4da4056"", ""8ab554cd154e9749790b"", ""1395836aef00d6a880b0"", ""a17bcdddcf0799baeee2"", ""376ba323d8d487f80cee"", ""8b0153f031bc52c2c1dd"", ""a0fb13951a097b6a1516""]",8,1.470284999435624,1.7382326290619508,2.4796535968780518,9.450871746294048,13.81404863750144,0.9678306045878645,"{""loading_solvent_counts"": {""DCM"": 25}, ""pe_ea_top_counts"": {""50/1"": 14, ""20/1"": 6, ""2/1"": 5}, ""mass_mean"": 125.942, ""loading_volume_mean"": 348.0}","[163, 258, 218]",False,False,,
4,ensemble,42,25,"[""d54c93a11164b4abac6e"", ""810b16f35a3a86f451ce"", ""8a4623d640cc619f2639"", ""b7cbf8a3f54b6d586198"", ""f4331eb64b6774466836"", ""55200f8e501a16ffa0cf"", ""690924276beda2d5e719"", ""6d54149d618f026681ef"", ""eed75e5b0d9c27fa754c"", ""96710afeabc594baa359"", ""c76d0420b34df595c0c9"", ""a47a3987d45e7c542d38"", ""c6159dcb5802e62284d1"", ""22214579a593fa764fe8"", ""374b71ac526fe1051993"", ""5695d3c04943153386bb"", ""19229d505f75d05a0bcb"", ""4fb92bd1fab3ba235858"", ""bad24d96575f423fe4fd"", ""0cf0d36290765378ae8d"", ""2d63ab3869184cde52bf"", ""44fcf641ccfa3b10a97c"", ""129036e0bccc4ff7e848"", ""2d178efe0181baca2bd5"", ""13bfaf03c35b4cff3bd5""]",11,1.70908150696229,1.9086986026585955,1.422330617904663,8.782358339315723,14.99168769017418,0.9298036676678343,"{""loading_solvent_counts"": {""DCM"": 19, ""PE"": 6}, ""pe_ea_top_counts"": {""50/1"": 11, ""10/1"": 8, ""20/1"": 5, ""2/1"": 1}, ""mass_mean"": 110.244, ""loading_volume_mean"": 308.0}","[256, 193, 188]",False,False,,
5,ensemble,42,25,"[""2b266fc41757f88e8b09"", ""6757824312738e94bd8e"", ""96840797cfdea44e1467"", ""2b97a1e0a6a4b944b760"", ""61771d230b285babe4b6"", ""eb3bc3fba39e57adbc2f"", ""6a11b71a3fb682d5f6da"", ""ebf38d80f4c5674cf120"", ""f1aa9023d49cdbe2d409"", ""28d8efb10e9abe6740a6"", ""869ed39b28b73a5de24e"", ""97b105f90c11a10a2cac"", ""c3add4f9b8eb5e002281"", ""619663c2b3ffb3a6c497"", ""d7b688cd2da99329d657"", ""6020a000a87663526cc8"", ""d3ffe87bbab76e5d5d56"", ""080258046c2cae5fb2ab"", ""66747ae127e03516ffda"", ""9ed7c1fb1c2cc499bbf9"", ""aa83ae83c0fa0cc37777"", ""49201b5817f204116f7f"", ""04ea307c7b7f3321cc20"", ""dea19ed5b8959a2a6619"", ""fbfb34ddee14b1ea50b1""]",10,1.774471929689243,1.7420832284162102,1.8681210279464722,7.792887798768802,12.840667710581263,0.949520001130185,"{""loading_solvent_counts"": {""DCM"": 14, ""PE"": 11}, ""pe_ea_top_counts"": {""50/1"": 13, ""10/1"": 4, ""1/1"": 3, ""20/1"": 3, ""5/1"": 2}, ""mass_mean"": 105.9, ""loading_volume_mean"": 328.0}","[205, 161, 212]",False,False,,
6,ensemble,42,25,"[""4e417c41d918e49abba1"", ""741f33ecf2e66f9958fd"", ""fe212637596386c24049"", ""419f6eb4080dcb9d293b"", ""0460dfc4e1747f0fc92c"", ""22f82413c75481d74e9b"", ""6a4e95d2a3cca31094a1"", ""7654254c03d9de79740f"", ""79362765eb92377a5970"", ""1ae3618ec277b0463686"", ""33ffc69a253a89f15995"", ""cf8ab33c25ad391a584c"", ""4659b6752f23c0b85f08"", ""0b247863fd6e8aaf44d8"", ""9a32b65bc21fdc5f7286"", ""fd11ee7c408d95a1a8e6"", ""595b6756e53ba1100289"", ""c395b34d5d170a501543"", ""df576d6e2e33250f1208"", ""1c312750e15ff66c6243"", ""5ff3e81c102706da6a30"", ""c698067a7f9c576a34a2"", ""31232902f2b6f3a67c60"", ""64f99f02d02cc2d0791d"", ""6f827d26c4f82a1bfa90""]",9,0.8213903215283253,1.4702433193787658,1.3946747779846191,6.03545436026614,10.374945406267104,0.970453535747088,"{""loading_solvent_counts"": {""DCM"": 17, ""PE"": 8}, ""pe_ea_top_counts"": {""50/1"": 9, ""2/1"": 9, ""5/1"": 3, ""1/1"": 3, ""20/1"": 1}, ""mass_mean"": 108.32800000000002, ""loading_volume_mean"": 416.0}","[177, 157, 190]",False,False,,
7,ensemble,42,25,"[""468a11345970afe65576"", ""65723de539453b98b181"", ""8e999302c4d108ec9f19"", ""bae7ff3dc7b9d8610a44"", ""eb56f25c331ea1ab9b2b"", ""5ba8cead5a790ba93029"", ""5e5b7c697bc0c268b288"", ""5f02dc3c13f7f2daed32"", ""8db24ae10df4095ada47"", ""b8abc8f40545556f07e0"", ""e82a87ee526fdd9b1e8d"", ""58669c7a3953b668d2e1"", ""f9a0fbbcf2f61d3843a5"", ""fd5fa962575144327bf4"", ""0776336aa1c106b4d645"", ""24e5dc14b855baed89fd"", ""70714ec13048a5060224"", ""0634486d18ed767b5150"", ""c219b2fe4227fb602c44"", ""eb1224edeb2e39f898b1"", ""483022b02f8329c323ac"", ""e9a7d193dc3d83532c1f"", ""247846e36e9c012df30f"", ""5258960e057b56ed51f8"", ""5a6c740e9306a2ffd60a""]",8,0.6217778792719347,2.0014461141067232,1.3312679529190063,5.878675754975957,11.367496366206602,0.5633457870641992,"{""loading_solvent_counts"": {""DCM"": 23, ""PE"": 2}, ""pe_ea_top_counts"": {""0/1"": 17, ""50/1"": 8}, ""mass_mean"": 95.97200000000001, ""loading_volume_mean"": 336.0}","[176, 161, 187]",False,False,,
8,ensemble,42,25,"[""25de8af35e546add9783"", ""3c0e2ce9feb019d1dd30"", ""1f40af3483bd97a7dfca"", ""8e330202a1983cbc02b5"", ""975d484a29fb5011f336"", ""e6e78489d1da4066c07e"", ""d05a91dc8e32e9edd7d0"", ""f433bc672465387d951a"", ""07b65328a3ec1d825fef"", ""2a7062ac85d66260b3be"", ""ade362756cf5f89aea03"", ""d550a2107daf4c532b6a"", ""88cccd3e55677c52f9b7"", ""04ecdea4151183669394"", ""563fd55865b603f34e87"", ""105457e008d11073c7b7"", ""13f4ada439a309a538b8"", ""c7e762106a9ec0d9ea75"", ""5067c9cd9f20d14c426f"", ""99263e4b13030998746e"", ""bc780f413159cf9913d4"", ""fe649dc2df825d5a80da"", ""0f9c311bea99fb35cf5f"", ""112c30dcf3a7a4f80ac1"", ""29db30571b2a1ae59cc7""]",12,0.9763240975900758,1.6499367154842108,1.121931791305542,3.6315538955877984,11.891181632857863,0.0,"{""loading_solvent_counts"": {""DCM"": 16, ""PE"": 9}, ""pe_ea_top_counts"": {""0/1"": 15, ""50/1"": 6, ""5/1"": 2, ""10/1"": 2}, ""mass_mean"": 117.62100000000001, ""loading_volume_mean"": 424.0}","[84, 207, 107]",False,False,,
1,hybrid,42,25,"[""efd84dffe823b6298db6"", ""89d752b5a7f7c8d0b91e"", ""a5f9179bfb146ad70953"", ""aed6d224edcb21e5d658"", ""b37608f8c4a8ee4b8696"", ""0c5c35afb3a24375c153"", ""a17bcdddcf0799baeee2"", ""3bb1d388702c98c505de"", ""6defbf00ecb558b77d50"", ""a38fee52661fd3e3b7ea"", ""bd62986a3ea6d28161ec"", ""1ce749f818905d3c61d4"", ""0b247863fd6e8aaf44d8"", ""ebf38d80f4c5674cf120"", ""5b706e17e8412d02342f"", ""5442611ea6789d42bc86"", ""434ffacb33eccce497c5"", ""91b6bda771851a5c78ac"", ""55200f8e501a16ffa0cf"", ""dee9f600ff021919b9d2"", ""bef8e35136c28810eb6b"", ""eb3bc3fba39e57adbc2f"", ""b51a88b6dc4049704214"", ""cf8ab33c25ad391a584c"", ""192516b3cc0500ef715b""]",18,1.4002459318943854,0.8696449693716626,2.1354453563690186,13.943675728004719,26.366261699355285,9.648667124666046,"{""loading_solvent_counts"": {""DCM"": 21, ""PE"": 4}, ""pe_ea_top_counts"": {""50/1"": 7, ""5/1"": 4, ""2/1"": 4, ""20/1"": 3, ""0/1"": 3, ""10/1"": 2, ""1/1"": 2}, ""mass_mean"": 115.448, ""loading_volume_mean"": 512.0}","[59, 185, 85]",False,False,843.0,0.25
2,hybrid,42,25,"[""70cba7a21b5a01fb8e73"", ""619663c2b3ffb3a6c497"", ""a1dc71bed9d8f372c9e5"", ""b213664a8c509420288b"", ""e82a87ee526fdd9b1e8d"", ""d3ffe87bbab76e5d5d56"", ""1e971da91b3a8229f0e0"", ""8ab3606b0d15babbd1c7"", ""66454b90cefcad2e4125"", ""2d178efe0181baca2bd5"", ""2d63ab3869184cde52bf"", ""a35c364f4fd2ced1ec2e"", ""53a9a2469f8d4ead8732"", ""aa0f0e8128794bdd469d"", ""ffffcd6f3b9393846ab4"", ""c76d0420b34df595c0c9"", ""db7f9ffa50eb931613f6"", ""9249ed2c527f70995033"", ""16cee53cbe16b60fb395"", ""b7cf293311f83700cd9a"", ""b4351e5f05f6d477a6c0"", ""bef81d4dd93af26c12a9"", ""7ac90b210e42d27c5a04"", ""463c07f492870522d9b8"", ""a47a3987d45e7c542d38""]",22,1.5775641730984722,1.106614434346907,1.661312222480774,10.473693556950023,18.64819560413109,8.202102523281626,"{""loading_solvent_counts"": {""DCM"": 19, ""PE"": 6}, ""pe_ea_top_counts"": {""50/1"": 9, ""10/1"": 6, ""20/1"": 4, ""0/1"": 2, ""5/1"": 2, ""2/1"": 2}, ""mass_mean"": 123.27399999999997, ""loading_volume_mean"": 420.0}","[178, 164, 180]",False,False,837.0,0.25
3,hybrid,42,25,"[""a6145bb0c9947f9515df"", ""d54c93a11164b4abac6e"", ""66747ae127e03516ffda"", ""6998dee6f6e69401798a"", ""af0f017d8214d08aa24f"", ""73502a52708e4f9c2391"", ""cb729a03dac0230812b1"", ""5df546d9e2f2a29dfc89"", ""3fc05dc2025715e68174"", ""87feacbcbae05abe90a8"", ""4466eabae9624380fbc6"", ""8aa864c9e33df9bb1a6a"", ""c3add4f9b8eb5e002281"", ""45a1b11ae63f2dab2e48"", ""9f3b75bc3a2c4004a893"", ""63109bac6659ba471955"", ""fe1a34b5975943e8f292"", ""97297c71a28a2ccbdeeb"", ""36786ca0d1deaa0687ba"", ""8a4623d640cc619f2639"", ""c65ac14ffed8749381c1"", ""5bad82a6cffd60e7a6c9"", ""a0fb13951a097b6a1516"", ""3163a9b58f1a52a1992c"", ""8e17cb06a37c48cc9ab5""]",22,1.1331691804897372,0.5854621005707937,1.5997978448867798,8.834438505525448,18.504829557186508,7.228476968977545,"{""loading_solvent_counts"": {""DCM"": 21, ""PE"": 4}, ""pe_ea_top_counts"": {""50/1"": 9, ""1/1"": 5, ""0/1"": 4, ""20/1"": 3, ""5/1"": 2, ""10/1"": 1, ""2/1"": 1}, ""mass_mean"": 124.49940000000001, ""loading_volume_mean"": 424.0}","[180, 140, 312]",False,False,831.0,0.25
4,hybrid,42,25,"[""b0802294da4fd71d0f9d"", ""1ab945e238082f589bc3"", ""741f33ecf2e66f9958fd"", ""fc27fa779102c4aeb8ab"", ""2a7062ac85d66260b3be"", ""1844eab177de5d01fab6"", ""d05a91dc8e32e9edd7d0"", ""6b8fefaf0647d2239858"", ""f402144b8672dd5ab2ab"", ""35a1d2abee0780ee1d48"", ""2928443b881ac6713786"", ""419f6eb4080dcb9d293b"", ""cace6f00c46aea69fe39"", ""7bde1bbf34aba54ccfef"", ""28d8efb10e9abe6740a6"", ""85591a54c419ed02c5f5"", ""3b41addf80b8138137db"", ""0ac58929e586a4da4056"", ""25fcfe22a4504f391482"", ""4fb92bd1fab3ba235858"", ""87265e4a49086b6ac4eb"", ""9d7b71b3f9f6ea222bc1"", ""9409394cdc0bcfb31fbc"", ""3b2c663a28a9f32bd1d3"", ""f9a0fbbcf2f61d3843a5""]",25,0.6326909039888474,0.42342793261172174,1.4412527084350586,7.526934084877858,16.15928998529476,6.312004290277941,"{""loading_solvent_counts"": {""DCM"": 17, ""EA"": 1, ""PE"": 7}, ""pe_ea_top_counts"": {""50/1"": 7, ""20/1"": 5, ""10/1"": 4, ""0/1"": 4, ""1/1"": 3, ""5/1"": 1, ""2/1"": 1}, ""mass_mean"": 104.73599999999999, ""loading_volume_mean"": 364.0}","[189, 171, 159]",False,False,824.0,0.25
