signal,slice,n_samples,tail_rows,spearman,spearman_ci_low,spearman_ci_high,hard_error_auroc,top10_count,top10_overlap_count,top10_overlap_rate,enrichment,ause,mean_error,mean_signal,split_mode,outer_seed,evaluation_pool
quantile_width,full,3371,0,0.5076833107274584,0.48250772575803974,0.5316576068222754,0.8406366263019995,338,168,0.4970414201183432,4.970414201183432,0.11274508031298883,0.5235448044152626,0.9236163802862662,row,42,U0
ensemble,full,3371,0,0.6636832183815013,0.6436603296414655,0.6843978748181335,0.8104167764062765,338,145,0.4289940828402367,4.289940828402367,0.09029869972975346,0.5235448044152626,0.21533768412559903,row,42,U0
latent_distance,full,3371,0,0.34660026563864593,0.31326247610662483,0.3780409935622866,0.804297695760832,338,139,0.41124260355029585,4.112426035502958,0.15315988841423192,0.5235448044152626,5.634083695579459,row,42,U0
random,full,3371,0,0.025438298517709467,-0.0061686278690955545,0.05957241079540742,0.532118101280393,338,44,0.1301775147928994,1.301775147928994,0.27959535269142344,0.5235448044152626,0.5064414221087333,row,42,U0
quantile_width,full,3371,0,0.5588111991017357,0.5314633663922377,0.5830350275517531,0.8472541686419797,338,172,0.5088757396449705,5.088757396449704,0.05662774060078992,0.2888901186353742,0.4830931771985327,row,525,U0
ensemble,full,3371,0,0.5152956416075826,0.4876425666040695,0.5404591570658401,0.8158237689166702,338,148,0.4378698224852071,4.378698224852071,0.06116680958302171,0.2888901186353742,0.06959320196837905,row,525,U0
latent_distance,full,3371,0,0.5320045360539876,0.5075282791135042,0.5550858303470511,0.8148487934495695,338,116,0.3431952662721893,3.4319526627218933,0.05836856972163621,0.2888901186353742,5.775503526225542,row,525,U0
random,full,3371,0,-0.0012303295119605305,-0.03662456414555746,0.03193228361666787,0.48553290530008175,338,35,0.10355029585798817,1.0355029585798816,0.1761924206051696,0.2888901186353742,0.49864835089490805,row,525,U0
quantile_width,full,3371,0,0.4420190065503451,0.4105684621179067,0.4682907149940665,0.860425360482425,338,171,0.5059171597633136,5.059171597633136,0.08868170408681555,0.37627282192645456,0.740633172911623,row,1101,U0
ensemble,full,3371,0,0.5972275147606139,0.5715291336690841,0.6193376014186935,0.7853771238272496,338,149,0.4408284023668639,4.408284023668639,0.08323196940256475,0.37627282192645456,0.16054144840055223,row,1101,U0
latent_distance,full,3371,0,0.428320770185543,0.39877191377282944,0.4553609905020599,0.8048815104852539,338,132,0.3905325443786982,3.905325443786982,0.09113186912234487,0.37627282192645456,6.05607377404714,row,1101,U0
random,full,3371,0,0.012382100073325722,-0.02230461971388356,0.044896900654757634,0.5134545638996677,338,32,0.09467455621301775,0.9467455621301775,0.2088886680717828,0.37627282192645456,0.5014662643406094,row,1101,U0
