record_type,strategy,comparison,outer_seed_count,mean_fixed_mean_pairwise_distance,mean_fixed_min_pairwise_distance,mean_selected_unique_compounds,mean_max_samples_per_compound,mean_compound_hhi,mean_selected_unique_condition_keys,positive_seed_count,differences_by_seed
strategy_summary,random,,3,14.306058839069975,3.068392511170046,23.458333333333332,1.9166666666666667,0.045066666666666665,24.75,,
strategy_summary,coverage,,3,19.552516505364995,6.315582208761559,22.208333333333332,2.125,0.04946666666666666,24.708333333333332,,
strategy_summary,ensemble,,3,17.142818522731833,0.6357605641315626,9.791666666666666,5.416666666666667,0.1344,24.458333333333332,,
strategy_summary,hybrid,,3,19.37289750395863,6.780461033798229,22.166666666666668,2.1666666666666665,0.05039999999999999,24.75,,
paired_effect,coverage,coverage-ensemble,3,2.4096979826331655,,,,,,3.0,"{""42"": 1.8315555878046084, ""525"": 2.45893780742783, ""1101"": 2.938600552667058}"
paired_effect,hybrid,hybrid-ensemble,3,2.2300789812268,,,,,,3.0,"{""42"": 1.3869713499343916, ""525"": 2.7031145699694044, ""1101"": 2.600151023776604}"
