stage,split,seed,slice,n_samples,signal_A,signal_B,spearman,top5_overlap,top5_overlap_count,top10_overlap,top10_overlap_count,top20_overlap,top20_overlap_count
E1_4g_to_8g_transfer,row,525,full,59,quantile_width,latent_distance,0.76364699006429,0.6666666666666666,3,1.0,6,0.8333333333333334,12
E1_4g_to_8g_transfer,row,525,full,59,ensemble,latent_distance,0.43477498538866166,0.3333333333333333,3,0.5,6,0.5833333333333334,12
E1_4g_to_8g_transfer,row,525,common,56,quantile_width,ensemble,0.4489405331510595,0.3333333333333333,3,0.3333333333333333,6,0.6666666666666666,12
E1_4g_to_8g_transfer,row,525,common,56,quantile_width,latent_distance,0.7237183868762816,1.0,3,0.8333333333333334,6,0.75,12
E1_4g_to_8g_transfer,row,525,common,56,ensemble,latent_distance,0.35297334244702666,0.3333333333333333,3,0.5,6,0.5833333333333334,12
E1_4g_to_8g_transfer,row,525,tail,3,quantile_width,ensemble,1.0,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,525,tail,3,quantile_width,latent_distance,1.0,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,525,tail,3,ensemble,latent_distance,1.0,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,1101,full,59,quantile_width,ensemble,0.13576855639976623,0.0,3,0.0,6,0.25,12
E1_4g_to_8g_transfer,row,1101,full,59,quantile_width,latent_distance,0.1337229690239626,0.0,3,0.0,6,0.25,12
E1_4g_to_8g_transfer,row,1101,full,59,ensemble,latent_distance,0.6945645821157219,0.6666666666666666,3,0.5,6,0.75,12
E1_4g_to_8g_transfer,row,1101,common,56,quantile_width,ensemble,0.20738209159261795,0.0,3,0.0,6,0.3333333333333333,12
E1_4g_to_8g_transfer,row,1101,common,56,quantile_width,latent_distance,0.23205741626794263,0.0,3,0.16666666666666666,6,0.25,12
E1_4g_to_8g_transfer,row,1101,common,56,ensemble,latent_distance,0.6595352016404649,0.6666666666666666,3,0.5,6,0.75,12
E1_4g_to_8g_transfer,row,1101,tail,3,quantile_width,ensemble,0.5,0.0,1,0.0,1,0.0,1
E1_4g_to_8g_transfer,row,1101,tail,3,quantile_width,latent_distance,1.0,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,1101,tail,3,ensemble,latent_distance,0.5,0.0,1,0.0,1,0.0,1
E2_source_free_round0,row,42,u0_full,3371,quantile_width,ensemble,0.4600500147947357,0.34911242603550297,169,0.34615384615384615,338,0.3362962962962963,675
E2_source_free_round0,row,42,u0_full,3371,quantile_width,latent_distance,0.5798744265882545,0.5562130177514792,169,0.606508875739645,338,0.5822222222222222,675
E2_source_free_round0,row,42,u0_full,3371,ensemble,latent_distance,0.37266543389816853,0.26627218934911245,169,0.39644970414201186,338,0.40296296296296297,675
E2_source_free_round0,row,525,u0_full,3371,quantile_width,ensemble,0.4775726351749221,0.3609467455621302,169,0.4970414201183432,338,0.522962962962963,675
E2_source_free_round0,row,525,u0_full,3371,quantile_width,latent_distance,0.5561854637801766,0.34911242603550297,169,0.42011834319526625,338,0.5896296296296296,675
E2_source_free_round0,row,525,u0_full,3371,ensemble,latent_distance,0.6662746634135281,0.3076923076923077,169,0.39644970414201186,338,0.6133333333333333,675
E2_source_free_round0,row,1101,u0_full,3371,quantile_width,ensemble,0.36372171065021947,0.5088757396449705,169,0.5384615384615384,338,0.5288888888888889,675
E2_source_free_round0,row,1101,u0_full,3371,quantile_width,latent_distance,0.5373146663118594,0.5029585798816568,169,0.5414201183431953,338,0.5955555555555555,675
E2_source_free_round0,row,1101,u0_full,3371,ensemble,latent_distance,0.38656126599855767,0.4556213017751479,169,0.46745562130177515,338,0.48444444444444446,675
