signal,seeds,positive_spearman_seeds,mean_spearman,mean_auroc,mean_enrichment,mean_ause
ensemble,3,3,0.5920687915832326,0.8038725563833987,4.358974358974359,0.0782324929051133
latent_distance,3,3,0.4356418572927255,0.8080093332318851,3.816568047337278,0.10088677575273768
quantile_width,3,3,0.5028378387931798,0.849438718475468,5.039447731755424,0.08601817500019811
random,3,2,0.012196689693024886,0.5103685234933808,1.0946745562130176,0.22155881378945863
