outer_seed,strategy,round,reference_encoder,normalization_reference,fixed_mean_pairwise_distance,fixed_min_pairwise_distance,selected_unique_compounds,max_samples_per_compound,compound_hhi,selected_unique_condition_keys
525,hybrid,1,shared_round_0/member_0,fixed L0_train,26.453444217481096,10.523189574471552,19,3,0.06239999999999999,25
525,hybrid,2,shared_round_0/member_0,fixed L0_train,18.676066742193044,6.815758097142294,20,4,0.0656,24
525,hybrid,3,shared_round_0/member_0,fixed L0_train,17.940394508993137,6.695151558961051,22,3,0.052799999999999986,25
525,hybrid,4,shared_round_0/member_0,fixed L0_train,19.15083852672588,6.153981853873557,25,1,0.04,24
525,hybrid,5,shared_round_0/member_0,fixed L0_train,17.571561742346287,7.886961948143418,21,3,0.05599999999999999,25
525,hybrid,6,shared_round_0/member_0,fixed L0_train,17.10778062991959,5.305152091972774,24,2,0.0432,24
525,hybrid,7,shared_round_0/member_0,fixed L0_train,17.64144914478535,6.227329625799625,24,2,0.0432,25
525,hybrid,8,shared_round_0/member_0,fixed L0_train,18.315485389528558,5.702456298948484,24,2,0.0432,25
525,random,1,shared_round_0/member_0,fixed L0_train,11.518663458485584,4.795355213297525,25,1,0.04,25
525,random,2,shared_round_0/member_0,fixed L0_train,14.551016229834337,4.349823684422845,24,2,0.0432,25
525,random,3,shared_round_0/member_0,fixed L0_train,11.488428742899366,0.9485848363100915,22,2,0.049599999999999984,24
525,random,4,shared_round_0/member_0,fixed L0_train,14.343006579173386,0.9666078903029595,23,2,0.04639999999999998,25
525,random,5,shared_round_0/member_0,fixed L0_train,12.715846299581273,3.9148149988968743,24,2,0.0432,25
525,random,6,shared_round_0/member_0,fixed L0_train,13.7071045397725,2.84123498569987,20,3,0.05919999999999999,25
525,random,7,shared_round_0/member_0,fixed L0_train,15.304852951497718,4.416158384806993,24,2,0.0432,25
525,random,8,shared_round_0/member_0,fixed L0_train,16.432073055066837,4.228864526746636,23,2,0.04639999999999998,25
1101,coverage,1,shared_round_0/member_0,fixed L0_train,27.81713413194973,11.883407084997858,17,3,0.06880000000000001,25
1101,coverage,2,shared_round_0/member_0,fixed L0_train,22.592045297261116,8.067930124890891,21,2,0.052799999999999986,25
1101,coverage,3,shared_round_0/member_0,fixed L0_train,21.14588841422491,5.934419824543894,24,2,0.0432,25
1101,coverage,4,shared_round_0/member_0,fixed L0_train,18.200361179030892,8.01298758192968,23,3,0.049599999999999984,24
1101,coverage,5,shared_round_0/member_0,fixed L0_train,19.231270361515126,6.547234552634426,20,2,0.055999999999999994,25
1101,coverage,6,shared_round_0/member_0,fixed L0_train,19.145502241172018,6.1600975842430845,23,2,0.04639999999999998,25
1101,coverage,7,shared_round_0/member_0,fixed L0_train,14.837413158107331,5.758995516408352,23,2,0.04639999999999998,25
1101,coverage,8,shared_round_0/member_0,fixed L0_train,15.449335178045182,3.2811048949828465,24,2,0.0432,25
1101,ensemble,1,shared_round_0/member_0,fixed L0_train,18.776511820958795,0.8517224215479762,12,3,0.09440000000000001,25
1101,ensemble,2,shared_round_0/member_0,fixed L0_train,21.732626068403132,0.946358246164418,9,8,0.184,25
1101,ensemble,3,shared_round_0/member_0,fixed L0_train,18.97414960244473,0.9226992900103075,11,4,0.10400000000000001,25
1101,ensemble,4,shared_round_0/member_0,fixed L0_train,15.366968375430107,0.90282585348254,9,5,0.1328,24
1101,ensemble,5,shared_round_0/member_0,fixed L0_train,11.092718741650375,0.0,9,5,0.13599999999999998,25
1101,ensemble,6,shared_round_0/member_0,fixed L0_train,21.06955860413853,0.946358246164418,11,4,0.10400000000000001,25
1101,ensemble,7,shared_round_0/member_0,fixed L0_train,12.309192282585073,0.8365807762510307,12,3,0.09760000000000002,25
1101,ensemble,8,shared_round_0/member_0,fixed L0_train,15.588420044359118,0.0,11,3,0.0976,25
1101,hybrid,1,shared_round_0/member_0,fixed L0_train,27.793475064052995,10.850960378311614,17,2,0.0656,25
1101,hybrid,2,shared_round_0/member_0,fixed L0_train,21.969821473683965,8.990304430491626,21,3,0.05599999999999999,25
1101,hybrid,3,shared_round_0/member_0,fixed L0_train,21.257193762848097,9.00970965519638,22,2,0.049599999999999984,24
1101,hybrid,4,shared_round_0/member_0,fixed L0_train,19.128282862893226,7.384800801087847,23,2,0.04639999999999998,25
1101,hybrid,5,shared_round_0/member_0,fixed L0_train,17.10714279327899,7.041650561091095,21,2,0.052799999999999986,25
1101,hybrid,6,shared_round_0/member_0,fixed L0_train,15.352939581744586,4.518988590948274,22,2,0.049599999999999984,25
1101,hybrid,7,shared_round_0/member_0,fixed L0_train,17.852591704836016,3.98700397555512,22,2,0.049599999999999984,25
1101,hybrid,8,shared_round_0/member_0,fixed L0_train,15.249906486844793,6.418226530845192,25,1,0.04,25
1101,random,1,shared_round_0/member_0,fixed L0_train,13.598850291361252,3.467393407261824,25,1,0.04,25
1101,random,2,shared_round_0/member_0,fixed L0_train,15.740566075848289,3.344772450464526,25,1,0.04,25
1101,random,3,shared_round_0/member_0,fixed L0_train,14.050137963790958,0.814814435507283,22,2,0.049599999999999984,25
1101,random,4,shared_round_0/member_0,fixed L0_train,14.136107133836955,0.9463582461644181,24,2,0.0432,24
1101,random,5,shared_round_0/member_0,fixed L0_train,14.62979869611802,5.119511527118566,24,2,0.0432,25
1101,random,6,shared_round_0/member_0,fixed L0_train,14.280180760837942,0.9463582461644181,24,2,0.0432,25
1101,random,7,shared_round_0/member_0,fixed L0_train,16.45442736444105,1.4327863269318057,24,2,0.0432,25
1101,random,8,shared_round_0/member_0,fixed L0_train,15.6130175034879,4.672968790725182,24,2,0.0432,25
