outer_seed,strategy,aulc_raw,aulc_normalized,final_nrmse
42,coverage,133.82780057711992,0.6691390028855996,0.5444281768893812
42,ensemble,153.67153572988806,0.7683576786494403,0.7333378056284268
42,hybrid,127.99231930593994,0.6399615965296997,0.48813200219520986
42,random,150.35045966470588,0.7517522983235294,0.6980222948315482
525,coverage,99.98688368797187,0.49993441843985936,0.41280258531663194
525,ensemble,110.04225092192829,0.5502112546096414,0.5190339136754769
525,hybrid,99.3854699892446,0.496927349946223,0.4224113098333822
525,random,122.19916385196589,0.6109958192598295,0.5785907443722048
1101,coverage,103.67858061471065,0.5183929030735532,0.43981902251978666
1101,ensemble,112.39536355292397,0.5619768177646198,0.5010761937957683
1101,hybrid,98.38530899407728,0.4919265449703864,0.42959381326194157
1101,random,114.29980010840032,0.5714990005420016,0.4761993310149879
