comparison,metric,mean_paired_difference,standard_deviation,descriptive_ci_low,descriptive_ci_high,win_count,seeds,differences_by_seed
hybrid-ensemble,mean_pairwise_distance_mean,2.4362666624961444,1.1244167959660218,-0.3571649458023254,5.229698270794614,3,3,"{""42"": 1.3284723952514543, ""525"": 2.4037279282306656, ""1101"": 3.576599664006313}"
hybrid-ensemble,min_pairwise_distance_mean,6.43615903239064,0.3348418987003541,5.604298509701945,7.268019555079336,3,3,"{""42"": 6.077764785619509, ""525"": 6.48972069089358, ""1101"": 6.740991620658831}"
hybrid-ensemble,unique_compounds_mean,12.375,1.1110243021644486,9.614839875757507,15.135160124242493,3,3,"{""42"": 12.75, ""525"": 13.25, ""1101"": 11.125}"
coverage-ensemble,mean_pairwise_distance_mean,2.596462863271766,1.4669467798984743,-1.0479290716063452,6.240854798149877,3,3,"{""42"": 1.105139408733157, ""525"": 2.6464963705041207, ""1101"": 4.03775281057802}"
coverage-ensemble,min_pairwise_distance_mean,6.692917492923698,0.4236126833453918,5.640520318158526,7.74531466768887,3,3,"{""42"": 6.231431505140238, ""525"": 6.783230013624152, ""1101"": 7.0640909600067054}"
coverage-ensemble,unique_compounds_mean,12.416666666666666,0.9042722672587794,10.17014852238885,14.663184810944482,3,3,"{""42"": 12.875, ""525"": 13.0, ""1101"": 11.375}"
