strategy,mean_pairwise_distance_mean,mean_pairwise_distance_std,min_pairwise_distance_mean,unique_compounds_mean
coverage,17.473626239564666,4.555135214422496,7.329101901407486,22.208333333333332
ensemble,14.877163376292899,4.313355419402818,0.6361844084837878,9.791666666666666
hybrid,17.313430038789043,4.275682950036283,7.072343440874428,22.166666666666668
random,14.699624340333678,1.8238808951918983,2.9536633970016593,23.458333333333332
