audit_step,parameter_name,numel,requires_grad,grad_is_none,grad_norm,classification
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.0.weight,15872,True,False,371.8049621582031,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.1.weight,1792,True,False,400.31475830078125,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.2.weight,2176,True,False,294.6051025390625,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.3.weight,2432,True,False,285.7524108886719,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.4.weight,2816,True,False,400.31475830078125,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.5.weight,1792,True,False,376.1531677246094,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.6.weight,2432,True,False,294.6773681640625,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.7.weight,896,True,False,367.4125671386719,gradient_bearing
legacy_multi_fixture,gnn_node.atom_encoder.atom_embedding_list.8.weight,1920,True,False,294.6773681640625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_encoder.bond_embedding_list.0.weight,1664,True,False,232.777587890625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_encoder.bond_embedding_list.1.weight,3584,True,False,207.28123474121094,gradient_bearing
legacy_multi_fixture,gnn_node.bond_encoder.bond_embedding_list.2.weight,1024,True,False,213.40000915527344,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.0.weight,2560,True,False,437.98236083984375,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.0.bias,128,True,False,299.49517822265625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.1.weight,2560,True,False,1057.7584228515625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.1.bias,128,True,False,299.49517822265625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.2.weight,2560,True,False,1060.116943359375,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.2.bias,128,True,False,299.49517822265625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.3.weight,2560,True,False,1072.7725830078125,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.3.bias,128,True,False,299.49517822265625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.4.weight,2560,True,False,1054.0931396484375,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.linear_list.4.bias,128,True,False,299.49517822265625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.rbf_list.0.gamma,1,True,False,1.4407951831817627,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.rbf_list.1.gamma,1,True,False,108.14947509765625,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.rbf_list.2.gamma,1,True,False,23.203752517700195,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.rbf_list.3.gamma,1,True,False,56.68334197998047,gradient_bearing
legacy_multi_fixture,gnn_node.bond_float_encoder.rbf_list.4.gamma,1,True,False,14.760025978088379,gradient_bearing
legacy_multi_fixture,gnn_node.bond_angle_encoder.linear_list.0.weight,4096,True,True,,structurally_unreachable
legacy_multi_fixture,gnn_node.bond_angle_encoder.linear_list.0.bias,128,True,True,,structurally_unreachable
legacy_multi_fixture,gnn_node.bond_angle_encoder.linear_list.1.weight,2048,True,True,,structurally_unreachable
legacy_multi_fixture,gnn_node.bond_angle_encoder.linear_list.1.bias,128,True,True,,structurally_unreachable
legacy_multi_fixture,gnn_node.bond_angle_encoder.rbf_list.0.gamma,1,True,True,,structurally_unreachable
legacy_multi_fixture,gnn_node.convs.0.eps,1,True,False,54.879730224609375,gradient_bearing
legacy_multi_fixture,gnn_node.convs.0.mlp.0.weight,16384,True,False,5995.478515625,gradient_bearing
legacy_multi_fixture,gnn_node.convs.0.mlp.0.bias,128,True,False,193.84268188476562,gradient_bearing
legacy_multi_fixture,gnn_node.convs.0.mlp.1.weight,128,True,False,83.11923217773438,gradient_bearing
legacy_multi_fixture,gnn_node.convs.0.mlp.1.bias,128,True,False,94.89026641845703,gradient_bearing
