epoch,train_loss,validation_selection_score,validation_V1_rmse,validation_V1_mae,validation_V1_r2,validation_V2_rmse,validation_V2_mae,validation_V2_r2,validation_combined_normalized_rmse,validation_all_outputs_finite
1,675.021240234375,1.3540345659108508,10.61970329284668,7.596806049346924,-1.0504319667816162,21.444305419921875,15.141744613647461,-0.9671441316604614,1.3540345659108508,True
2,605.2323303222656,1.3195567414879492,10.52049732208252,7.460291385650635,-1.0123019218444824,20.534149169921875,13.867369651794434,-0.8037055730819702,1.3195567414879492,True
3,590.4201354980469,1.292928650493184,10.414121627807617,7.309737205505371,-0.9718137979507446,19.888126373291016,12.870842933654785,-0.6919983625411987,1.292928650493184,True
4,581.1221923828125,1.2718897167035885,10.267313003540039,7.1012701988220215,-0.9166121482849121,19.51429557800293,12.265596389770508,-0.6289882659912109,1.2718897167035885,True
5,556.0539245605469,1.2516111592850763,10.08096981048584,6.828756332397461,-0.8476735353469849,19.25335121154785,11.844475746154785,-0.5857141017913818,1.2516111592850763,True
6,536.0817565917969,1.2310066197592642,9.872814178466797,6.518095970153809,-0.7721585035324097,19.029260635375977,11.485489845275879,-0.5490164756774902,1.2310066197592642,True
7,520.8342895507812,1.2109137385773607,9.665044784545898,6.200424671173096,-0.6983543634414673,18.820270538330078,11.147258758544922,-0.5151790380477905,1.2109137385773607,True
8,513.2749633789062,1.1918205131752002,9.469168663024902,5.893368244171143,-0.6302127838134766,18.61734962463379,10.811844825744629,-0.48268163204193115,1.1918205131752002,True
9,499.2911071777344,1.1738045960367949,9.288360595703125,5.6026411056518555,-0.5685513019561768,18.416481018066406,10.472025871276855,-0.4508599042892456,1.1738045960367949,True
10,483.52943420410156,1.156651797473911,9.119253158569336,5.32257080078125,-0.5119558572769165,18.218170166015625,10.129961013793945,-0.4197821617126465,1.156651797473911,True
11,467.97789001464844,1.1402180675371205,8.958733558654785,5.048422813415527,-0.4591965675354004,18.02451515197754,9.787755012512207,-0.389758825302124,1.1402180675371205,True
12,466.24627685546875,1.1245011904545705,8.806472778320312,4.779145240783691,-0.41001760959625244,17.836246490478516,9.457747459411621,-0.36087775230407715,1.1245011904545705,True
13,445.04750061035156,1.1094547205140364,8.661235809326172,4.512264728546143,-0.3638930320739746,17.654529571533203,9.158761978149414,-0.3332895040512085,1.1094547205140364,True
14,445.1763610839844,1.0950695059859146,8.522269248962402,4.2516188621521,-0.32047784328460693,17.480682373046875,8.889217376708984,-0.3071608543395996,1.0950695059859146,True
15,428.2952575683594,1.0813404655142727,8.389506340026855,4.008634090423584,-0.2796565294265747,17.314712524414062,8.653969764709473,-0.28245675563812256,1.0813404655142727,True
16,427.1958465576172,1.06829705453594,8.263341903686523,3.7881410121917725,-0.24145793914794922,17.15678596496582,8.451069831848145,-0.25916922092437744,1.06829705453594,True
17,412.5902557373047,1.0559158310621217,8.143575668334961,3.6120500564575195,-0.20573198795318604,17.006603240966797,8.281540870666504,-0.237221360206604,1.0559158310621217,True
18,414.7472839355469,1.0443332488568624,8.032590866088867,3.4973602294921875,-0.17309165000915527,16.863723754882812,8.131346702575684,-0.21651971340179443,1.0443332488568624,True
19,387.38795471191406,1.0335816075391049,7.931568145751953,3.433257818222046,-0.14377009868621826,16.72688102722168,8.008017539978027,-0.19685661792755127,1.0335816075391049,True
20,393.0390625,1.0236837326364618,7.840300559997559,3.4077067375183105,-0.1175990104675293,16.597299575805664,7.913105487823486,-0.1783846616744995,1.0236837326364618,True
21,389.025634765625,1.0145854486192427,7.758500099182129,3.416471004486084,-0.09440004825592041,16.473918914794922,7.838059425354004,-0.16093015670776367,1.0145854486192427,True
22,373.7914733886719,1.0062656354724586,7.6857428550720215,3.4475655555725098,-0.07397031784057617,16.356975555419922,7.778502464294434,-0.14450621604919434,1.0062656354724586,True
23,377.87278747558594,0.9987260958454848,7.622041702270508,3.493155002593994,-0.056241393089294434,16.24654197692871,7.738450050354004,-0.12910425662994385,0.9987260958454848,True
24,363.4854431152344,0.9918941436458814,7.566461086273193,3.548417091369629,-0.0408933162689209,16.1422176361084,7.7198076248168945,-0.11465013027191162,0.9918941436458814,True
25,362.3737487792969,0.9856978538939494,7.517664432525635,3.6057116985321045,-0.027511000633239746,16.044404983520508,7.710522174835205,-0.10118269920349121,0.9856978538939494,True
26,357.9718017578125,0.9800775843991009,7.474852085113525,3.6630778312683105,-0.015841126441955566,15.95281982421875,7.7169904708862305,-0.08864700794219971,0.9800775843991009,True
