sample_id,canonical_index,canonical_smiles,role,stage,protocol,seed
c32ed74eba9d7dfc4860,0,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
9a478db27ef04d7bb59c,1,CC(C)CCOC(=O)c1ccccc1,l0_train,A1a,row,4099
bfe9ce431b45599fd5e6,2,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
00024cd15c1b4e6c6ef8,3,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
85c21f6446e32913c1a9,4,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
8a288da5928f08936524,5,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
7937e75a777f4bf48438,6,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
aba0560d15516aeba617,7,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
0956abfd4514355d5383,8,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
98f205d21cdccb427f9e,9,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
16374e5b25572a4c37e5,10,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
26b3dfccf0d1cfb441c7,11,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
a62a679c00aad3b9b8e5,12,CC(C)CCOC(=O)c1ccccc1,u0,A1a,row,4099
6c387793968257d2f169,13,CCOC(=O)c1ccc(Cl)cc1,l0_train,A1a,row,4099
812adebe27af25dc2242,14,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
f159b69487cebc7dcf97,15,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
19ac0f010c25e2c5360d,16,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
0fb4ba3b33f8740a6a8a,17,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
d15ae6c5a25f630d3055,18,CCOC(=O)c1ccc(Cl)cc1,l0_train,A1a,row,4099
e1b9d0166a4779c27067,19,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
d9481b0f826e3bfbbb60,20,CCOC(=O)c1ccc(Cl)cc1,test,A1a,row,4099
ab49ee9538cdb7f47f70,21,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
b7e013953a302595b447,22,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
585d3167bdb0e8cd6b97,23,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
b819ee3c169e34252d65,24,CCOC(=O)c1ccc(Cl)cc1,u0,A1a,row,4099
