sample_id,canonical_index,source_canonical_index,V1_q50,V2_q50,V1_q10,V1_q90,V2_q10,V2_q90,checkpoint_sha256,ensemble_pred_V1,ensemble_pred_V2,ensemble_variance_V1,ensemble_variance_V2,ensemble_covariance_V1_V2,ensemble_score,V1_quantile_width,V2_quantile_width,quantile_width,member_0_seed,member_0_V1_q50,member_0_V2_q50,member_1_seed,member_1_V1_q50,member_1_V2_q50,member_2_seed,member_2_V1_q50,member_2_V2_q50,latent_distance,random_score,true_V1,true_V2,standardized_abs_error,ensemble_mean_standardized_abs_error,tail_flag,compound_id,round,strategy,seed
d49f2ae16cf70d54ccf4,2281,2281,10.837445,20.472794,9.354227,12.081563,9.052136,20.472794,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,9.82378355662028,17.56928602854411,0.012308721588823898,0.030585432324198688,0.011861454398212633,0.042894153913022585,2.727336,11.420657,0.48673776,110100,10.837445259094238,20.472793579101562,110101,9.574031829833984,14.291180610656738,110102,9.059873580932617,17.943883895874023,7.46354048665488,0.5894901935044028,12.066666666666666,22.741666666666667,0.28155156683546223,0.28155156683546223,False,O=S(c1ccccc1)c1ccccc1,8,hybrid,1101
76643e968ecc935c745c,2062,2062,4.038381,13.951964,3.8470538,5.748078,3.693944,13.951967,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,5.229857921600342,15.075053532918295,0.01574623806323847,0.028541875246214432,0.005388243172501292,0.0442881133094529,1.9010241,10.258023,0.4039142,110100,4.038381099700928,13.951964378356934,110101,5.750197887420654,18.47684669494629,110102,5.900994777679443,12.79634952545166,7.167863201959397,0.33305007705973455,4.991666666666666,20.416666666666668,0.16474127546035355,0.16474127546035355,False,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,8,hybrid,1101
efe14b6a1dc3741d71ba,3928,3928,8.134535,29.576256,7.415515,17.56076,12.929237,29.576256,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,8.546279589335123,26.42272694905599,0.003954616548716191,0.03162459649290145,-0.002562103906331026,0.03557921304161764,10.145246,16.647018,1.083641,110100,8.13453483581543,29.576255798339844,110101,9.128551483154297,26.43590545654297,110102,8.375752449035645,23.256019592285156,6.965788379326296,0.5640070589849107,9.633333333333333,22.733333333333334,0.16973110718546908,0.16973110718546908,False,C/C(=N\O)c1ccccc1,8,hybrid,1101
a1dc71bed9d8f372c9e5,2149,2149,16.094578,44.051422,11.79257,22.693865,18.923569,44.051422,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,14.264540990193685,36.09400177001953,0.037384638622126376,0.15150213598718243,0.07523991668604321,0.1888867746093088,10.901295,25.127853,1.3681152,110100,16.09457778930664,44.051422119140625,110101,13.521443367004395,32.707942962646484,110102,13.17760181427002,31.522640228271484,6.738899675814572,0.41436101392955726,23.908333333333335,49.36666666666667,0.9582871743706596,0.9582871743706596,False,N#Cc1ccc(C(=O)c2ccccc2)cc1,8,hybrid,1101
58669c7a3953b668d2e1,2154,2154,4.899781,18.643402,4.8275156,12.108898,8.126236,18.643423,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,4.432006041208903,13.424729665120443,0.034883675232942626,0.06951998015290238,0.025027661063798286,0.104403655385845,7.2813826,10.517187,0.73749125,110100,4.899781227111816,18.643402099609375,110101,5.6837873458862305,12.051212310791016,110102,2.712449550628662,9.579574584960938,6.700856157255852,0.13789999306672418,4.208333333333333,12.458333333333334,0.040755748622335886,0.040755748622335886,False,N#Cc1ccc(N)cc1,8,hybrid,1101
5b321e1d74077a216a70,3379,3379,10.670114,19.935305,7.3198185,12.221907,9.207167,19.935305,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,8.711247444152832,17.847154935201008,0.043999583634052625,0.01867859316191068,0.01721699513736989,0.0626781767959633,4.902088,10.728138,0.5991375,110100,10.670113563537598,19.935304641723633,110101,7.3954572677612305,18.424217224121094,110102,8.068171501159668,15.1819429397583,6.617575364818109,0.5465518291691405,4.85,9.433333333333334,0.4708993222690069,0.4708993222690069,False,FC(F)(F)Oc1ccc(I)c(Br)c1,8,hybrid,1101
9bc73e0c27d4d6b44abb,1951,1951,13.996988,29.604465,11.490593,16.246525,14.398512,29.604465,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,12.72094472249349,28.224170684814453,0.01825763368153084,0.12965390216216433,0.015068746186226018,0.14791153584369515,4.755932,15.205954,0.7162659,110100,13.996988296508789,29.60446548461914,110101,12.223997116088867,33.81999588012695,110102,11.941848754882812,21.248050689697266,6.834426849456243,0.6650326251739708,26.8,57.06666666666667,1.6653449040955888,1.6653449040955888,False,CCOC(=O)c1ccc(N)cc1,8,hybrid,1101
8e330202a1983cbc02b5,3192,3192,13.344049,36.6815,9.307005,19.510366,16.628313,36.6815,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,10.577693303426107,31.36447270711263,0.09734242097876249,0.08665482978538168,0.05942338458159428,0.18399725076414417,10.2033615,20.053186,1.1830044,110100,13.344049453735352,36.68149948120117,110101,10.131317138671875,26.223833084106445,110102,8.257713317871094,31.188085556030273,6.42614541119714,0.810483588545363,5.891666666666667,23.158333333333335,0.5150734646674717,0.5150734646674717,False,O=C(c1ccccc1)c1ccc(Cl)cc1,8,hybrid,1101
ab6fe239e569be0d7dd2,2219,2219,7.961279,16.23964,7.5900774,8.401579,4.254342,16.23965,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,6.519705295562744,13.266773541768393,0.035099363512237296,0.026767420640703067,0.030323141167938904,0.06186678415294036,0.8115015,11.985309,0.386442,110100,7.961278915405273,16.239639282226562,110101,6.708524703979492,13.130977630615234,110102,4.889312267303467,10.429703712463379,6.23002483777172,0.3437800621498259,6.05,10.266666666666667,0.11289840420280506,0.11289840420280506,False,c1ccc2ccccc2c1,8,hybrid,1101
985361f6699d97f9464f,863,863,13.098086,21.233564,8.457911,14.141409,11.468007,21.233564,ac931fc51d0c57124823bae4d0da9153df4c877b85e3a65a024d22f43bbbab36,14.107548713684082,24.183591842651367,0.014555465879258128,0.025495391101309904,0.019242441540689673,0.04005085698056803,5.6834984,9.765557,0.61944103,110100,13.0980863571167,21.233564376831055,110101,14.137737274169922,24.42410659790039,110102,15.086822509765625,26.893104553222656,6.019967255325321,0.8949444698007553,27.633333333333333,36.916666666666664,1.1785232290548502,1.1785232290548502,False,CC(O)CCc1ccccc1,8,hybrid,1101
