sample_id,column,exact_source_ids,exact_source_train_ids,exact_matches,exact_train_matches,exact_source_train_V1,exact_source_train_V1_std,exact_source_train_V2,exact_source_train_V2_std,relaxed_source_ids,relaxed_source_train_ids,relaxed_matches,relaxed_train_matches,relaxed_source_train_V1,relaxed_source_train_V1_std,relaxed_source_train_V2,relaxed_source_train_V2_std,pair_status,relaxed_pair_status,source_train_compound_seen
bbabdb9085edbb8c178b,8g,"[""732bc8c6389cb2672c5c""]","[""732bc8c6389cb2672c5c""]",1,1,4.366666666666666,,6.958333333333333,,"[""732bc8c6389cb2672c5c""]","[""732bc8c6389cb2672c5c""]",1,1,4.366666666666666,,6.958333333333333,,exact_paired,relaxed_paired,True
96dc3dc2ebd074200228,8g,"[""43fedc4d11b4af1afbd9""]","[""43fedc4d11b4af1afbd9""]",1,1,4.5,,6.533333333333333,,"[""43fedc4d11b4af1afbd9""]","[""43fedc4d11b4af1afbd9""]",1,1,4.5,,6.533333333333333,,exact_paired,relaxed_paired,True
6322e8f867a741eed74c,8g,"[""bc00dfd68dec75d7e01f""]","[""bc00dfd68dec75d7e01f""]",1,1,4.533333333333333,,7.016666666666667,,"[""bc00dfd68dec75d7e01f""]","[""bc00dfd68dec75d7e01f""]",1,1,4.533333333333333,,7.016666666666667,,exact_paired,relaxed_paired,True
c2b0aff65443af0a8618,8g,"[""3e27148996fd8db4f9b2""]","[""3e27148996fd8db4f9b2""]",1,1,4.666666666666667,,7.841666666666667,,"[""3e27148996fd8db4f9b2""]","[""3e27148996fd8db4f9b2""]",1,1,4.666666666666667,,7.841666666666667,,exact_paired,relaxed_paired,True
f4b69d88ad1d916ee71a,8g,"[""7b5ad733102ce39fbb82""]","[""7b5ad733102ce39fbb82""]",1,1,4.858333333333333,,8.225,,"[""7b5ad733102ce39fbb82""]","[""7b5ad733102ce39fbb82""]",1,1,4.858333333333333,,8.225,,exact_paired,relaxed_paired,True
0f3559d035355b0eec80,8g,"[""48d7cf32cd29fbf43934""]",[],1,0,,,,,"[""48d7cf32cd29fbf43934""]",[],1,0,,,,,exact_paired,relaxed_paired,True
d29a94054067cd60dd70,8g,"[""0a8147b86bc21cbe11d1""]","[""0a8147b86bc21cbe11d1""]",1,1,5.166666666666667,,8.783333333333333,,"[""0a8147b86bc21cbe11d1""]","[""0a8147b86bc21cbe11d1""]",1,1,5.166666666666667,,8.783333333333333,,exact_paired,relaxed_paired,True
31d92ca6486b229184cf,8g,"[""a3a9c58c8aa6145907a6""]",[],1,0,,,,,"[""a3a9c58c8aa6145907a6""]",[],1,0,,,,,exact_paired,relaxed_paired,True
8a84cca322477165b719,8g,"[""c46b86dae7e6845f08cd""]","[""c46b86dae7e6845f08cd""]",1,1,9.333333333333334,,16.158333333333335,,"[""c46b86dae7e6845f08cd""]","[""c46b86dae7e6845f08cd""]",1,1,9.333333333333334,,16.158333333333335,,exact_paired,relaxed_paired,True
9cf769277f6b42d15f11,8g,"[""53c1be5b96937954b9fa""]",[],1,0,,,,,"[""53c1be5b96937954b9fa""]",[],1,0,,,,,exact_paired,relaxed_paired,True
7a0a82051f50d5b0c89c,8g,"[""b7b1a1bb666c8cc99bad""]","[""b7b1a1bb666c8cc99bad""]",1,1,28.616666666666667,,51.266666666666666,,"[""b7b1a1bb666c8cc99bad""]","[""b7b1a1bb666c8cc99bad""]",1,1,28.616666666666667,,51.266666666666666,,exact_paired,relaxed_paired,True
c79f29f048bbfd157f98,8g,"[""fea64b3ae258f6efc23e""]","[""fea64b3ae258f6efc23e""]",1,1,4.091666666666667,,6.908333333333333,,"[""fea64b3ae258f6efc23e""]","[""fea64b3ae258f6efc23e""]",1,1,4.091666666666667,,6.908333333333333,,exact_paired,relaxed_paired,True
df0074b49eeb620c0768,8g,"[""d83390ae62e2719a17b7""]",[],1,0,,,,,"[""d83390ae62e2719a17b7""]",[],1,0,,,,,exact_paired,relaxed_paired,True
f0097bc6b7827ef65922,8g,"[""3a5731977a5dc4a065ed""]","[""3a5731977a5dc4a065ed""]",1,1,5.908333333333333,,8.325,,"[""3a5731977a5dc4a065ed""]","[""3a5731977a5dc4a065ed""]",1,1,5.908333333333333,,8.325,,exact_paired,relaxed_paired,True
44348f5c4aea3b41ee9d,8g,"[""c311fd559f5c65c17475""]","[""c311fd559f5c65c17475""]",1,1,6.083333333333333,,8.541666666666666,,"[""c311fd559f5c65c17475""]","[""c311fd559f5c65c17475""]",1,1,6.083333333333333,,8.541666666666666,,exact_paired,relaxed_paired,True
482cb91fac7f2a936dca,8g,"[""ad0c1e52e2dd98a268bb""]","[""ad0c1e52e2dd98a268bb""]",1,1,6.383333333333334,,9.308333333333334,,"[""ad0c1e52e2dd98a268bb""]","[""ad0c1e52e2dd98a268bb""]",1,1,6.383333333333334,,9.308333333333334,,exact_paired,relaxed_paired,True
a5c6210123f05414ffc0,8g,"[""479ebc0343b2c91eecc5""]","[""479ebc0343b2c91eecc5""]",1,1,6.641666666666667,,9.616666666666667,,"[""479ebc0343b2c91eecc5""]","[""479ebc0343b2c91eecc5""]",1,1,6.641666666666667,,9.616666666666667,,exact_paired,relaxed_paired,True
a82e55e1cd19814ea307,8g,"[""24bf82db0ce55835b608""]","[""24bf82db0ce55835b608""]",1,1,6.875,,10.041666666666666,,"[""24bf82db0ce55835b608""]","[""24bf82db0ce55835b608""]",1,1,6.875,,10.041666666666666,,exact_paired,relaxed_paired,True
6ee3c70647b37dcd5417,8g,"[""e720f0e103e4481f1ab2""]","[""e720f0e103e4481f1ab2""]",1,1,4.391666666666667,,7.45,,"[""e720f0e103e4481f1ab2""]","[""e720f0e103e4481f1ab2""]",1,1,4.391666666666667,,7.45,,exact_paired,relaxed_paired,True
2c7e37ef828eb17c78fb,8g,"[""b75496c856f75b72251c""]","[""b75496c856f75b72251c""]",1,1,4.575,,6.941666666666666,,"[""b75496c856f75b72251c""]","[""b75496c856f75b72251c""]",1,1,4.575,,6.941666666666666,,exact_paired,relaxed_paired,True
7ab9c351196ad891e172,8g,"[""d0836ca48b1b333388a4""]","[""d0836ca48b1b333388a4""]",1,1,4.658333333333333,,7.825,,"[""d0836ca48b1b333388a4""]","[""d0836ca48b1b333388a4""]",1,1,4.658333333333333,,7.825,,exact_paired,relaxed_paired,True
