column,protocol,seed,target,feature,source_bin,condition_level,rows,compounds,ratio_defined_rows,ratio_median,ratio_q25,ratio_q75,ratio_mean,ratio_std,scale_rmse,scale_mae,scale_signed_mean,scale_signed_median,scale_r2,scale_nrmse,scale_sse,affine_rmse,affine_mae,affine_signed_mean,affine_signed_median,affine_r2,affine_nrmse,affine_sse
25g,compound,536279090,V1,EA_fraction,extreme_tail,0,9,8,9,6.690653367295605,5.846170521725065,8.78301304950872,6.554322688609165,2.5960192190875646,54.86172068460831,43.44795790290604,14.031323911459667,16.338799235011606,-0.03564123172381772,6.962448558178292,27088.275568283814,56.43249336963488,43.57875035452756,3.8647614933818013,5.559544381134003,-0.09579410967475877,7.161793818946924,28661.636771224956
25g,compound,536279090,V1,EA_fraction,extreme_tail,1,1,1,1,5.880175690851739,5.880175690851739,5.880175690851739,5.880175690851739,,1.3837319414677722,1.3837319414677722,-1.3837319414677722,-1.3837319414677722,,0.17560809869896124,1.9147140858381702,6.565852683107266,6.565852683107266,-6.565852683107266,-6.565852683107266,,0.8332660911150866,43.11042145626689
25g,compound,536279090,V1,EA_fraction,high,0,18,10,18,5.432246690065039,4.95960955196295,6.575494082532286,5.577074627793347,2.0010960235393207,20.28822465434002,15.117720420876092,-2.7080371081310437,-4.307432451424486,0.23427890022287057,2.574759207875827,7409.0170732494635,20.081074073118998,14.653295220466381,-1.4174859598499,-3.084088286890296,0.24983568649970767,2.548469925521022,7258.491646741657
25g,compound,536279090,V1,EA_fraction,high,1,3,3,3,4.292303858496371,3.821211108977291,5.142310641517132,4.544913214164159,1.3390902097338915,16.67739826454916,13.027022921306553,-12.95896013753296,-13.377360600973752,-1.3065516671707749,2.1165126804663306,834.4068386231621,14.945405922648492,11.609081935263319,-10.803940684417805,-9.616006620441595,-0.8523455975053382,1.8967071870701795,670.0954745782099
25g,compound,536279090,V1,EA_fraction,low,0,6,4,6,4.730831260047147,4.227920223809171,5.376696472016912,5.107514097273509,1.2779212187382427,7.416166739812012,6.440315565107501,-3.1683646485574166,-4.8783149137394055,-0.6376277543533044,0.9411786356766656,329.9971746761636,7.365927662606295,5.2869231565065125,3.1166086883635313,1.6571128020122838,-0.6155154581138074,0.9348028423860026,325.54134198449185
25g,compound,536279090,V1,EA_fraction,low,1,24,12,24,4.224946187649019,3.8139372290422933,4.650350005360151,4.252711585760192,0.6412633248689259,7.837579498386521,6.932203193292179,-6.818613906414622,-7.153461160928254,-4.593169017719466,0.9946597262571546,1474.2636574446892,3.8870701310541316,3.426733988399123,-0.8978951041693767,-2.102335075499502,-0.37574764443076725,0.49330435669489553,362.62354088959637
25g,compound,536279090,V1,EA_fraction,medium,0,15,9,15,5.620595825789603,4.730571610438247,6.7990494743646614,6.332479512433663,2.5638015115965893,15.356840425193566,10.311727118218156,3.372633450067821,-0.1425361807050649,-0.12122821549364082,1.94892194671102,3537.4882176728897,17.528229204744203,11.498776313813941,8.500911603973313,5.810248553041781,-0.4607179372245094,2.2244908222178417,4608.582285810713
25g,compound,536279090,V1,EA_fraction,medium,1,15,9,15,3.5308990550594457,3.2353236379768138,4.09136988569361,3.693446270574563,0.6663652840428501,13.793641676965526,13.072152341942585,-13.072152341942585,-14.315450184501515,-10.108502626493255,1.750537887025486,2853.9682606878055,8.691092677459116,7.703670196655674,-7.703670196655674,-8.660241923570993,-3.4100793549526927,1.102978268382053,1133.0263789227522
25g,compound,536279090,V1,solvent_DCM,extreme_tail,0,1,1,1,0.8053347004198309,0.8053347004198309,0.8053347004198309,0.8053347004198309,,103.84015027049193,103.84015027049193,-103.84015027049193,-103.84015027049193,,13.178254263808379,10782.776808198345,112.81980342583387,112.81980342583387,-112.81980342583387,-112.81980342583387,,14.317853466753029,12728.308045043796
25g,compound,536279090,V1,solvent_DCM,extreme_tail,1,9,7,9,6.690653367295605,5.880175690851739,8.78301304950872,7.118193909768264,1.5189050656127703,42.56682781772067,32.063911421903356,25.41537039246235,16.338799235011606,-0.10663211858268173,5.402115450762021,16307.413474171306,42.13264654983173,31.77275582755793,15.670756020351424,5.559544381134003,-0.08417197671231236,5.347013920863243,15976.439147637428
25g,compound,536279090,V1,solvent_DCM,high,0,4,1,4,4.93048614209547,4.801149076866912,5.07558178760187,4.9462447223733115,0.39571499177453534,11.408944913282026,10.588467208954444,-10.588467208954444,-8.515297041891476,-0.15283502038511543,1.4478982990429903,520.6560961372153,10.281146411544789,8.707484973452962,-8.707484973452962,-6.293289519725803,0.06382016525626799,1.3047704686660067,422.80788614248115
25g,compound,536279090,V1,solvent_DCM,high,1,17,10,17,5.667687017765227,4.981763292327532,6.633124345507647,5.543359061957616,2.1327222281819243,21.31385605068078,15.81448044140421,-2.6628046778317582,-2.556461885339168,0.22167805915665517,2.704921108515566,7722.76781573541,21.012292249982384,15.51509528708076,-1.3586252609846925,-1.2427183958518384,0.24354676959705612,2.6666499346775865,7505.779235177385
25g,compound,536279090,V1,solvent_DCM,low,0,1,1,1,4.197598979334345,4.197598979334345,4.197598979334345,4.197598979334345,,9.623924989777983,9.623924989777983,-9.623924989777983,-9.623924989777983,,1.2213631259271567,92.61993220887315,3.4299494897222402,3.4299494897222402,-3.4299494897222402,-3.4299494897222402,,0.4352916128283387,11.764553502045857
