sample_id,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,canonical_smiles,source_V1,source_V2,EA_fraction,solvent_DCM,loading_ul,amount_density_ul,loading_volume_ul,exact_source_ids,exact_source_train_ids,exact_matches,exact_train_matches,exact_source_train_V1,exact_source_train_V1_std,exact_source_train_V2,exact_source_train_V2_std,relaxed_source_ids,relaxed_source_train_ids,relaxed_matches,relaxed_train_matches,relaxed_source_train_V1,relaxed_source_train_V1_std,relaxed_source_train_V2,relaxed_source_train_V2_std,pair_status,relaxed_pair_status,source_train_compound_seen,MolWt,MolLogP,TPSA,HBD,HBA,RotatableBonds,RingCount
57bcc79ddb88e585e433,1.049,100,DCM,300,0/1,30,CCOC(=O)/C=C/c1ccccc1,8.511007,12.665709,1.0,1.0,100,104.89999999999999,300,[],[],0,0,,,,,"[""b187c8a6f7beb2c7f61f""]","[""b187c8a6f7beb2c7f61f""]",1,1,4.391666666666667,,9.416666666666666,,same_compound_condition_different,relaxed_paired,True,176.215,2.2629,26.3,0,2,3,1
0defe74121fd2cc056a9,1.049,100,DCM,300,1/1,30,CCOC(=O)/C=C/c1ccccc1,8.053641,13.97286,0.5,1.0,100,104.89999999999999,300,[],[],0,0,,,,,"[""2cf789c87f7c6325c020""]","[""2cf789c87f7c6325c020""]",1,1,18.6,,18.958333333333332,,same_compound_condition_different,relaxed_paired,True,176.215,2.2629,26.3,0,2,3,1
d77499b6e2eaf950c51e,1.049,100,DCM,300,2/1,30,CCOC(=O)/C=C/c1ccccc1,6.0311584,12.995986,0.3333333333333333,1.0,100,104.89999999999999,300,[],[],0,0,,,,,[],[],0,0,,,,,same_compound_condition_different,same_compound_condition_different,True,176.215,2.2629,26.3,0,2,3,1
16e1201373d47de97027,1.049,100,DCM,300,5/1,30,CCOC(=O)/C=C/c1ccccc1,5.4555583,14.944628,0.16666666666666666,1.0,100,104.89999999999999,300,[],[],0,0,,,,,"[""761c1abe2efeaef568fd""]","[""761c1abe2efeaef568fd""]",1,1,4.508333333333334,,13.208333333333334,,same_compound_condition_different,relaxed_paired,True,176.215,2.2629,26.3,0,2,3,1
6f6340b30a916be701cf,1.049,100,DCM,300,10/1,30,CCOC(=O)/C=C/c1ccccc1,5.00345,16.307816,0.09090909090909091,1.0,100,104.89999999999999,300,[],[],0,0,,,,,"[""1142bc62e11864dd8c8f""]",[],1,0,,,,,same_compound_condition_different,relaxed_paired,True,176.215,2.2629,26.3,0,2,3,1
7d976bbe5a51508b1c3b,1.049,100,DCM,300,20/1,30,CCOC(=O)/C=C/c1ccccc1,6.721796,17.588242,0.047619047619047616,1.0,100,104.89999999999999,300,[],[],0,0,,,,,[],[],0,0,,,,,same_compound_condition_different,same_compound_condition_different,True,176.215,2.2629,26.3,0,2,3,1
46ce843148f5f1efa0a6,1.049,100,DCM,300,50/1,30,CCOC(=O)/C=C/c1ccccc1,9.159051,27.638561,0.0196078431372549,1.0,100,104.89999999999999,300,[],[],0,0,,,,,[],[],0,0,,,,,same_compound_condition_different,same_compound_condition_different,True,176.215,2.2629,26.3,0,2,3,1
6bc1f063057ff5a6f53b,0.995,100,PE,300,0/1,30,COC(=O)c1ccc(C(C)(C)C)cc1,4.5274363,9.500103,1.0,0.0,100,99.5,300,[],[],0,0,,,,,"[""9d3a4d340c6dfd54a0e9""]","[""9d3a4d340c6dfd54a0e9""]",1,1,4.0375,,12.795833333333333,,same_compound_condition_different,relaxed_paired,True,192.25799999999998,2.7707000000000015,26.3,0,2,1,1
39f83f45ff848c0d07c5,0.995,100,PE,300,1/1,30,COC(=O)c1ccc(C(C)(C)C)cc1,4.0698633,8.520529,0.5,0.0,100,99.5,300,[],[],0,0,,,,,"[""05fe6f157ca6ce0374d7"", ""d268d676bd6d324ae708""]","[""d268d676bd6d324ae708""]",2,1,4.270833333333333,,12.0125,,same_compound_condition_different,relaxed_paired,True,192.25799999999998,2.7707000000000015,26.3,0,2,1,1
2c25c3255cb2a14dd1d9,0.995,100,PE,300,2/1,30,COC(=O)c1ccc(C(C)(C)C)cc1,4.2619405,8.661192,0.3333333333333333,0.0,100,99.5,300,[],[],0,0,,,,,"[""ce1784be47d6d0869494""]","[""ce1784be47d6d0869494""]",1,1,4.5,,10.754166666666666,,same_compound_condition_different,relaxed_paired,True,192.25799999999998,2.7707000000000015,26.3,0,2,1,1
55d0b43c59477e399995,0.995,100,PE,300,5/1,30,COC(=O)c1ccc(C(C)(C)C)cc1,5.187659,10.587995,0.16666666666666666,0.0,100,99.5,300,[],[],0,0,,,,,[],[],0,0,,,,,same_compound_condition_different,same_compound_condition_different,True,192.25799999999998,2.7707000000000015,26.3,0,2,1,1
9ad3dc9dcb7bf0a43a57,0.995,100,PE,300,10/1,30,COC(=O)c1ccc(C(C)(C)C)cc1,5.2625628,12.1684265,0.09090909090909091,0.0,100,99.5,300,[],[],0,0,,,,,"[""11f27c83c1e956b8b00a""]","[""11f27c83c1e956b8b00a""]",1,1,5.545833333333333,,13.408333333333331,,same_compound_condition_different,relaxed_paired,True,192.25799999999998,2.7707000000000015,26.3,0,2,1,1
