neighbor_rho,neighbor_scale_residual_rho,permutation_p,molecules,column,protocol,seed,budget,target,condition_halves_rho,condition_halves_compounds,source_train_exact_coverage,source_error_partial_rho
-0.0945054945054945,-0.6087912087912088,0.43,14,25g,compound,536279090,100,V1,0.5868131868131868,14,0.0,
0.27472527472527475,-0.13406593406593406,0.1,14,25g,compound,536279090,100,V2,0.37142857142857144,14,0.0,
-0.6285714285714286,-0.3321428571428571,0.94,15,25g,compound,769539383,100,V1,0.5252747252747253,14,0.0,
-0.23928571428571427,-0.46071428571428563,0.59,15,25g,compound,769539383,100,V2,0.49890109890109896,14,0.0,
-0.27245979474704257,-0.3991167804132353,0.57,16,25g,compound,1362771960,100,V1,0.13736263736263735,13,0.0,
0.36377064487848376,0.07069227106950293,0.05,16,25g,compound,1362771960,100,V2,0.5604395604395606,13,0.0,
0.21071428571428572,-0.021447729743912333,0.14,15,25g,compound,1425370602,100,V1,0.12967032967032965,14,0.0,
-0.008936554059963471,-0.2984809056027799,0.38,15,25g,compound,1425370602,100,V2,0.11208791208791209,14,0.0,
0.3934065934065934,0.24835164835164836,0.045,14,25g,compound,2767143051,100,V1,0.0857142857142857,14,0.0,
0.621978021978022,0.04175824175824176,0.005,14,25g,compound,2767143051,100,V2,0.2,14,0.0,
-0.07789380323228035,-0.09660121767315928,0.59,53,25g,row,536279090,100,V1,,2,0.0,
-0.36127965818617164,-0.3970487444262406,0.975,53,25g,row,536279090,100,V2,,2,0.0,
-0.10219648463745401,-0.07061584783925284,0.605,49,25g,row,769539383,100,V1,,2,0.0,
-0.05877850918411797,-0.05291086286799508,0.56,49,25g,row,769539383,100,V2,,2,0.0,
0.04436241842708563,-0.07013346558082806,0.3,56,25g,row,1362771960,100,V1,,2,0.0,
-0.1888307872185271,-0.15731911557771586,0.825,56,25g,row,1362771960,100,V2,,2,0.0,
-0.09645583190787232,0.04048163106617357,0.625,57,25g,row,1425370602,100,V1,,1,0.0,
0.13178194103008659,0.02660962298264892,0.12,57,25g,row,1425370602,100,V2,,1,0.0,
0.24408337720922635,0.21235334452609764,0.055,53,25g,row,2767143051,100,V1,,3,0.0,
0.011248639286649181,-0.0921278098650847,0.345,53,25g,row,2767143051,100,V2,,3,0.0,
-0.34159909235002334,-0.36088291207946016,0.61,13,40g,compound,536279090,100,V1,0.6043956043956044,13,0.0,
-0.48760515601575916,-0.5922887488327018,0.805,13,40g,compound,536279090,100,V2,-0.005494505494505494,13,0.0,
0.24759308154632828,0.06877585598509117,0.055,13,40g,compound,769539383,100,V1,0.3021978021978022,13,0.0,
0.46703296703296704,0.33516483516483514,0.025,13,40g,compound,769539383,100,V2,0.7197802197802198,13,0.0,
-0.05719394598376622,0.07327974329170046,0.375,15,40g,compound,1362771960,100,V1,-0.4065934065934066,14,0.0,
0.125,0.010723864871956167,0.185,15,40g,compound,1362771960,100,V2,0.05054945054945055,14,0.0,
-0.8246882605485139,-0.44186117213770704,0.995,15,40g,compound,1425370602,100,V1,0.2087912087912088,14,0.0,
-0.4329166139972676,-0.6583194791363408,0.795,15,40g,compound,1425370602,100,V2,-0.02417582417582418,14,0.0,
-0.18921903639263984,-0.45764604150778004,0.545,14,40g,compound,2767143051,100,V1,0.5472527472527472,14,0.0,
0.008800885413611154,-0.23982412752090398,0.295,14,40g,compound,2767143051,100,V2,0.5736263736263736,14,0.0,
0.1319423136072114,0.04228583118264339,0.115,59,40g,row,536279090,100,V1,,0,0.0,
0.39711275738834906,0.20841917622295275,0.005,59,40g,row,536279090,100,V2,,0,0.0,
-0.09802112176339108,0.053899788218075326,0.63,56,40g,row,769539383,100,V1,,2,0.0,
-0.15691434857906394,-0.2960216016212749,0.745,56,40g,row,769539383,100,V2,,2,0.0,
0.07148320550669995,0.017963679280497514,0.23,65,40g,row,1362771960,100,V1,,0,0.0,
0.02871534872711548,-0.04278939663164737,0.35,65,40g,row,1362771960,100,V2,,0,0.0,
-0.0035255159217611855,0.09158786719603879,0.395,62,40g,row,1425370602,100,V1,,3,0.0,
0.24346205665419385,0.1452260737199768,0.035,62,40g,row,1425370602,100,V2,,3,0.0,
0.14946157039896069,0.12128864685550797,0.14,55,40g,row,2767143051,100,V1,,0,0.0,
0.2184061475500432,0.12453551723534013,0.075,55,40g,row,2767143051,100,V2,,0,0.0,
-0.8769230769230769,-0.7186813186813187,1.0,14,8g,compound,536279090,100,V1,-0.5560439560439561,14,0.6777777777777778,0.3717538332294167
-0.6879120879120879,-0.665934065934066,0.96,14,8g,compound,536279090,100,V2,0.3010989010989011,14,0.6777777777777778,0.23833379715738937
-0.5151534699149545,-0.8005509636664615,0.915,13,8g,compound,769539383,100,V1,0.3131868131868132,13,0.5652173913043478,0.3288741273394803
-0.1212125811564599,-0.2727283076020348,0.45,13,8g,compound,769539383,100,V2,0.24175824175824176,13,0.5652173913043478,0.05582836631624587
-0.09903723261853131,-0.2837476331617129,0.415,13,8g,compound,1362771960,100,V1,0.15384615384615383,13,0.6333333333333333,0.17728221662562996
0.11845774976654036,0.6208791208791209,0.15,13,8g,compound,1362771960,100,V2,0.34615384615384615,13,0.6333333333333333,0.5303684098398398
-0.26373626373626374,-0.17032967032967034,0.58,13,8g,compound,1425370602,100,V1,0.2582417582417582,13,0.4777777777777778,0.11832731316232414
-0.3516483516483516,-0.3131868131868132,0.685,13,8g,compound,1425370602,100,V2,0.19780219780219782,13,0.4777777777777778,-0.18758441839563128
-0.3494505494505495,-0.24835164835164836,0.67,14,8g,compound,2767143051,100,V1,0.2175824175824176,14,0.6923076923076923,0.4818292864717349
-0.3054945054945055,0.08131868131868132,0.63,14,8g,compound,2767143051,100,V2,0.04175824175824176,14,0.6923076923076923,0.2740466609500823
0.0459985096223473,0.14924893356489033,0.32,59,8g,row,536279090,100,V1,,2,0.5543478260869565,0.24618589582791425
0.06841328527694727,0.1164574719473024,0.235,59,8g,row,536279090,100,V2,,2,0.5543478260869565,0.17172585147154198
0.11500200350816925,0.20451943791759858,0.155,64,8g,row,769539383,100,V1,,1,0.6521739130434783,0.13394415116470268
0.05886325921152762,0.0798580506144723,0.255,64,8g,row,769539383,100,V2,,1,0.6521739130434783,0.3836444229051396
-0.1313109179344936,-0.03942542361309412,0.71,59,8g,row,1362771960,100,V1,,1,0.6413043478260869,0.33181435404903364
0.0364736313336853,-0.04287405221675988,0.37,59,8g,row,1362771960,100,V2,,1,0.6413043478260869,-0.06891502999559725
-0.20798519301956633,-0.31555984529759423,0.85,61,8g,row,1425370602,100,V1,,1,0.5760869565217391,-0.05607618758545242
0.1381863374832602,-0.08749686007120322,0.125,61,8g,row,1425370602,100,V2,,1,0.5760869565217391,-0.06977385520961085
0.12037037042732238,0.14012151056984512,0.135,58,8g,row,2767143051,100,V1,,4,0.40217391304347827,0.51261444237706
0.30445281890444725,0.19416758960829517,0.03,58,8g,row,2767143051,100,V2,,4,0.40217391304347827,0.6130197153684269
