canonical_smiles,MolWt,MolLogP,TPSA,HBD,HBA,RotatableBonds,RingCount
COC(=O)Cc1cccc2ccccc12,200.237,2.555300000000001,26.3,0,2,2,2
COC(=O)c1ccc(C(C)(C)C)cc1,192.25799999999998,2.7707000000000015,26.3,0,2,1,1
COC(=O)c1ccc(Cl)cc1,170.595,2.1266,26.3,0,2,1,1
COC(=O)c1ccccc1N,151.16499999999996,1.0554,52.32,1,3,1,1
COC(=O)c1ccccc1O,152.14899999999997,1.1787999999999998,46.53,1,3,1,1
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,260.255,3.7048000000000023,26.3,0,2,6,1
COCCOC(=O)CC(C)=O,160.16899999999998,0.15510000000000002,52.6,0,4,5,0
COc1cc(Br)cc(OC)c1,217.06199999999998,2.4663000000000004,18.46,0,2,2,1
COc1cc(F)cc(Br)c1,205.026,2.596800000000001,9.23,0,1,1,1
COc1ccc(Br)c(C)c1,201.063,2.766120000000001,9.23,0,1,1,1
COc1ccc(Br)cc1,187.036,2.4577,9.23,0,1,1,1
COc1ccc(C)cc1OC,152.19299999999998,2.01222,18.46,0,2,2,1
COc1ccc(C=O)c(O)c1,152.149,1.2132999999999998,46.53,1,3,2,1
COc1ccc(C=O)cc1,136.14999999999998,1.5076999999999998,26.3,0,2,2,1
COc1ccc(CCO)cc1,152.193,1.23,29.46,1,2,3,1
COc1ccc(CO)cc1,138.166,1.1874999999999998,29.46,1,2,2,1
COc1ccc(OC)c(Br)c1,217.06199999999998,2.4663000000000004,18.46,0,2,2,1
COc1cccc(OC)c1C=O,166.176,1.5162999999999998,35.53,0,3,3,1
COc1ccccc1,108.13999999999997,1.6952,9.23,0,1,1,1
COc1ccccc1C(C)=O,150.17699999999996,1.8978,26.3,0,2,2,1
CSc1ccc(C=O)cc1,152.218,2.221,17.07,0,2,2,1
Cc1ccc(C(=O)c2ccccc2)cc1C,210.276,3.534440000000002,17.07,0,1,2,2
Cc1ccc(C(C)C)cc1,134.222,3.1184200000000013,0.0,0,0,1,1
Cc1ccc(C)cc1,106.16799999999999,2.30344,0.0,0,0,0,1
Cc1ccc(C=O)c(C)c1,134.178,2.11594,17.07,0,1,1,1
Cc1ccc(Cl)cc1Br,205.482,3.410920000000001,0.0,0,0,0,1
Cc1cccc(C=O)c1,120.15099999999998,1.80752,17.07,0,1,1,1
Cc1cccc(C=O)c1Br,199.04699999999997,2.5700200000000013,17.07,0,1,1,1
Cc1ccccc1C#N,117.151,1.8667,23.79,0,1,0,1
Cc1ccccc1C=O,120.15099999999998,1.80752,17.07,0,1,1,1
ClCCCc1ccccc1,154.64,2.8580000000000005,0.0,0,0,3,1
ClCCc1ccccc1,140.61299999999997,2.4679,0.0,0,0,2,1
Clc1cccc(Br)c1,191.45499999999998,3.102500000000001,0.0,0,0,0,1
Clc1ccccc1I,238.45499999999998,2.9446000000000003,0.0,0,0,0,1
FC(F)(F)Oc1ccc(I)c(Br)c1,366.902,3.9523,9.23,0,1,1,1
FC(F)(F)Oc1ccc(I)cc1,288.006,3.189800000000001,9.23,0,1,1,1
FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,293.00399999999996,4.486700000000001,0.0,0,0,0,1
Ic1ccc(I)cc1,329.906,2.8958000000000013,0.0,0,0,0,1
N#Cc1ccccc1Br,182.01999999999998,2.32078,23.79,0,1,0,1
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,234.29800000000003,3.982300000000003,17.07,0,1,4,2
O=C(/C=C/c1ccccc1)c1ccccc1,208.26000000000002,3.5827000000000018,17.07,0,1,3,2
O=C(CC(=O)C(F)(F)F)c1ccccc1,216.15800000000002,2.3908000000000005,34.14,0,2,3,1
O=C(CCCCl)c1ccc(F)cc1,200.64000000000001,3.027400000000001,17.07,0,1,4,1
O=C(Cc1ccccc1)c1ccccc1,196.249,3.112000000000002,17.07,0,1,3,2
O=C(Cc1ccccc1F)C1CC1,178.20599999999993,2.3473000000000006,17.07,0,1,3,2
O=C(c1ccccc1)C1CCCCC1,188.2699999999999,3.449600000000002,17.07,0,1,2,2
O=C(c1ccccc1)c1ccc(Cl)cc1,216.667,3.5710000000000024,17.07,0,1,2,2
O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,286.33,4.148600000000003,34.14,0,2,4,3
O=C1CCCc2ccccc21,146.189,2.2056000000000004,17.07,0,1,0,2
O=CCCc1ccccc1,134.17799999999997,1.8181,17.07,0,1,3,1
O=Cc1c(Br)cccc1Br,263.916,3.0241000000000007,17.07,0,1,1,1
O=Cc1c(F)cccc1F,142.10399999999996,1.7773,17.07,0,1,1,1
O=Cc1cc(Br)ccc1O,201.019,1.9671999999999996,37.3,1,2,1,1
O=Cc1cc(Cl)ccc1Br,219.46499999999997,2.915000000000001,17.07,0,1,1,1
O=Cc1ccc(-c2ccccc2)cc1,182.222,3.166100000000001,17.07,0,1,2,2
O=Cc1ccc(Br)cc1O,201.01899999999998,1.9672000000000005,37.3,1,2,1,1
O=Cc1ccc(Cl)cc1Br,219.46499999999997,2.915000000000001,17.07,0,1,1,1
O=Cc1ccc2c(c1)CCO2,148.16099999999997,1.434,26.3,0,2,1,2
O=Cc1ccc2ccccc2c1Br,235.07999999999996,3.4148000000000014,17.07,0,1,1,2
O=Cc1ccccc1[N+](=O)[O-],151.12099999999998,1.4073,60.209999999999994,0,3,2,1
O=[P+](Oc1ccccc1)Oc1ccccc1,233.183,3.801800000000002,35.53,0,3,4,2
OCCCc1ccccc1,136.194,1.6115,20.23,1,1,3,1
OCc1cccc(Br)c1,187.036,1.9413999999999998,20.23,1,1,1,1
c1ccc(COCc2ccccc2)cc1,198.26500000000001,3.403400000000002,9.23,0,1,4,2
