column,protocol,seed,budget,actual_budget,conditional_policy,additive_policy,conditional_EA_penalty,additive_EA_control_penalty
25g,compound,536279090,30,33,affine,affine,0.1,0.1
25g,compound,536279090,50,48,conditional_EA,local_identity_shrinkage,0.1,0.1
25g,compound,536279090,70,71,affine,affine,0.1,0.0
25g,compound,536279090,100,98,affine,affine,0.1,0.0
25g,compound,769539383,30,30,conditional_EA,local_identity_shrinkage,0.1,0.1
25g,compound,769539383,50,52,conditional_EA,additive_EA_control,0.1,0.1
25g,compound,769539383,70,70,conditional_EA,scale_only,0.0,0.0
25g,compound,769539383,100,98,conditional_EA,additive_EA_control,0.0,0.0
25g,compound,1362771960,30,32,scale_only,scale_only,0.0,0.0
25g,compound,1362771960,50,52,scale_only,scale_only,1.0,1.0
25g,compound,1362771960,70,70,scale_only,scale_only,1.0,1.0
25g,compound,1362771960,100,98,conditional_EA,scale_only,0.0,0.1
25g,compound,1425370602,30,33,conditional_EA,additive_EA_control,0.0,0.0
25g,compound,1425370602,50,47,conditional_EA,affine,0.0,0.0
25g,compound,1425370602,70,72,conditional_EA,additive_EA_control,0.0,0.0
25g,compound,1425370602,100,99,conditional_EA,additive_EA_control,0.0,0.0
25g,compound,2767143051,30,30,conditional_EA,additive_EA_control,0.1,0.0
25g,compound,2767143051,50,48,conditional_EA,affine,0.0,0.0
25g,compound,2767143051,70,69,conditional_EA,additive_EA_control,0.0,0.0
25g,compound,2767143051,100,102,conditional_EA,affine,0.0,0.0
25g,row,536279090,30,30,local_identity_shrinkage,local_identity_shrinkage,0.1,0.1
25g,row,536279090,50,50,local_identity_shrinkage,local_identity_shrinkage,0.1,0.1
25g,row,536279090,70,70,local_identity_shrinkage,local_identity_shrinkage,0.1,0.1
25g,row,536279090,100,100,affine,affine,0.1,0.1
25g,row,769539383,30,30,conditional_EA,additive_EA_control,1.0,1.0
25g,row,769539383,50,50,conditional_EA,additive_EA_control,1.0,0.1
25g,row,769539383,70,70,conditional_EA,additive_EA_control,0.1,0.1
25g,row,769539383,100,100,conditional_EA,additive_EA_control,0.0,0.0
25g,row,1362771960,30,30,conditional_EA,additive_EA_control,0.1,0.1
25g,row,1362771960,50,50,conditional_EA,additive_EA_control,0.1,0.1
25g,row,1362771960,70,70,conditional_EA,additive_EA_control,0.1,0.1
25g,row,1362771960,100,100,conditional_EA,additive_EA_control,0.0,0.0
25g,row,1425370602,30,30,scale_only,scale_only,0.1,0.1
25g,row,1425370602,50,50,scale_only,scale_only,1.0,1.0
