column,protocol,target,tail_row_fraction,tail_sse_fraction,tail_rmse,rest_rmse,tail_signed_mean
25g,compound,V1,0.11061707368307964,0.46495688204707386,30.077940810206428,11.144219421194668,9.666078307561984
25g,compound,V2,0.10699583650515052,0.44780040045285013,43.01160944532212,16.053252580346744,15.06666215652669
25g,row,V1,0.11428571428571424,0.4234973015483371,38.496109221552324,14.599271900767935,11.970838463472294
25g,row,V2,0.11224489795918362,0.6284761487773081,70.68864254150022,16.896931950940044,33.13522922038823
40g,compound,V1,0.10872352952857538,0.21116479369693958,45.842120131194164,32.754383068592276,-0.4465652976375967
40g,compound,V2,0.09886027046348143,0.19966373125362408,55.46517265367292,40.34813488865215,17.931067121230875
40g,row,V1,0.08490566037735844,0.20438931511528297,54.64465578782652,32.88535322337958,31.821655411075266
40g,row,V2,0.09811320754716976,0.2843239589336496,69.09121799572986,37.82398135536821,35.99570297221083
8g,compound,V1,0.13670142360939225,0.5965519617286412,14.080025332208654,4.328389609359621,-1.2889209579169865
8g,compound,V2,0.1074023939254499,0.5784703011213523,19.700716721138622,5.922371538283943,0.12874992206438787
8g,row,V1,0.12869565217391302,0.5276100629728548,13.177674115985619,4.447698987101021,-4.237962868496461
8g,row,V2,0.12347826086956518,0.4490313196776475,19.73902607470773,7.232890362339665,-7.404810366876054
